timestamp,selflet 
1424438855478,100
1424439436477,101
1424424860035,10
1424438692838,102
1424439446972,103
1424439104002,104
1424439149441,106
1424439483476,107
1424439205994,108
1424439462640,109
1424439614903,110
1424428227526,11
1424439862404,112
1424439948330,113
1424439870486,114
1424440235985,115
1424440148967,116
1424441001591,117
1424440748225,118
1424440576368,119
1424440936769,120
1424440903249,121
1424424731992,12
1424441303916,122
1424441088363,123
1424444800940,124
1424441615830,125
1424441291051,126
1424442255423,127
1424442120834,128
1424442150368,130
1424442107118,131
1424425164469,13
1424442130104,132
1424443547549,133
1424443720155,134
1424444782410,135
1424444943967,136
1424444680243,137
1424444802832,138
1424444625999,140
1424425189189,14
1424428479179,15
1424425254419,16
1424425440411,17
1424426158284,18
1424428959121,19
1424429489150,20
1424429089011,21
1424423713180,2
1424426325351,22
1424426353967,23
1424426121919,24
1424426849737,25
1424434256162,26
1424427200133,27
1424427062083,28
1424430475285,29
1424427031159,30
1424430490142,31
1424423654481,3
1424427200770,32
1424427376658,33
1424427241199,34
1424427761969,35
1424427528053,36
1424427510038,37
1424428428055,38
1424428517900,41
1424423701682,4
1424428198603,42
1424428787974,43
1424429057040,44
1424428598971,45
1424428646626,46
1424428918796,47
1424429377897,48
1424429160825,49
1424429202451,50
1424429344484,51
1424424534145,5
1424429255672,52
1424429677199,53
1424429922331,54
1424430010629,55
1424429856423,56
1424429848110,57
1424429818886,58
1424430209090,59
1424430631419,60
1424434333013,61
1424423970988,6
1424430652000,62
1424430555577,63
1424430721589,64
1424431330028,66
1424431337068,67
1424431366531,68
1424439415847,69
1424437332925,70
1424440688538,71
1424424045500,7
1424440886954,72
1424433808851,73
1424434215771,74
1424435940058,76
1424435909916,77
1424435798216,78
1424439470713,79
1424435935704,80
1424439558123,81
1424425001748,8
1424439923389,82
1424440140265,83
1424437231378,85
1424440678899,86
1424437270764,87
1424437170430,88
1424437908012,89
1424441083793,90
1424438145233,91
1424428063247,9
1424438288634,92
1424437929027,93
1424437885326,94
1424438801996,95
1424438158340,96
1424438217664,97
1424438228972,99
