timestamp,selflet,started,ended,lifetime 
1424620132140,100,1424616916111,1424620132140,3216029
1424619649334,101,1424616943619,1424619649334,2705715
1424606429917,10,1424603223813,1424606429917,3206104
1424619651518,102,1424616945773,1424619651518,2705745
1424620133626,103,1424617297845,1424620133626,2835781
1424620024049,104,1424617318310,1424620024049,2705739
1424620092864,105,1424617327094,1424620092864,2765770
1424620653084,106,1424617597178,1424620653083,3055905
1424620648530,107,1424617632642,1424620648529,3015887
1424620384941,108,1424617679143,1424620384940,2705797
1424620681575,109,1424617905782,1424620681575,2775793
1424620794015,110,1424617918159,1424620794014,2875855
1424620641492,111,1424617925784,1424620641492,2715708
1424610212404,11,1424603418455,1424610212404,6793949
1424620933730,112,1424618207990,1424620933729,2725739
1424620948473,113,1424618242697,1424620948473,2705776
1424620989557,114,1424618283837,1424620989556,2705719
1424621281656,115,1424618535897,1424621281656,2745759
1424621243383,116,1424618537661,1424621243383,2705722
1424621255845,117,1424618550169,1424621255845,2705676
1424621646948,118,1424618901194,1424621646948,2745754
1424621610451,119,1424618904689,1424621610450,2705761
1424621898263,120,1424618922360,1424621898262,2975902
1424625549203,121,1424619245890,1424625549203,6303313
1424606456516,12,1424603690698,1424606456516,2765818
1424622145068,122,1424619419366,1424622145068,2725702
1424622241563,123,1424619425762,1424622241563,2815801
1424622302678,124,1424619576989,1424622302677,2725688
1424622447364,125,1424619691591,1424622447364,2755773
1424623275303,126,1424619719143,1424623275303,3556160
1424622666484,127,1424619890729,1424622666484,2775755
1424622707245,128,1424619901485,1424622707245,2805760
1424622624913,129,1424619919187,1424622624912,2705725
1424623548296,130,1424620412331,1424623548296,3135965
1424623408718,131,1424620452911,1424623408718,2955807
1424606429138,13,1424603703418,1424606429138,2725720
1424623873240,132,1424620857378,1424623873239,3015861
1424623733625,133,1424620927883,1424623733625,2805742
1424623857951,134,1424621152188,1424623857951,2705763
1424625579818,135,1424622263878,1424625579818,3315940
1424625037175,136,1424622331498,1424625037175,2705677
1424625134889,137,1424622429215,1424625134888,2705673
1424625383995,138,1424622678338,1424625383995,2705657
1424625662545,139,1424622956909,1424625662545,2705636
1424606475869,14,1424603750120,1424606475869,2725749
1424626207640,142,1424623191861,1424626207640,3015779
1424606815724,15,1424603859883,1424606815724,2955841
1424606667746,16,1424603921872,1424606667745,2745873
1424606887068,17,1424604141318,1424606887068,2745750
1424607226894,18,1424604301066,1424607226894,2925828
1424607200346,19,1424604314551,1424607200346,2885795
1424610815900,20,1424604472528,1424610815900,6343372
1424607466824,21,1424604490922,1424607466823,2975901
1424605299875,2,1424602374002,1424605299874,2925872
1424607436159,22,1424604540339,1424607436159,2895820
1424608330236,23,1424604774020,1424608330236,3556216
1424608265568,24,1424604999546,1424608265568,3266022
1424608196934,25,1424605171051,1424608196934,3025883
1424611856430,26,1424605242410,1424611856429,6614019
1424611689613,27,1424605286055,1424611689612,6403557
1424608439974,28,1424605474101,1424608439973,2965872
1424608533875,29,1424605487991,1424608533875,3045884
1424608455002,30,1424605589159,1424608455001,2865842
1424608512183,31,1424605806426,1424608512183,2705757
1424605830074,3,1424602373977,1424605830074,3456097
1424609527257,32,1424606031088,1424609527256,3496168
