timestamp,reqType,service,rt,selflet,numberOfReqs 
1424695157007,LocalReqLocalExe,checkIfAvailable,303,100,1
1424695158630,LocalReqLocalExe,downloadVideo,1622,100,1
1424695158631,LocalReqLocalExe,getVideoResource,1927,100,1
1424695183477,LocalReqLocalExe,scaleVideo,24845,100,1
1424695183821,LocalReqLocalExe,transcodeVideo,343,100,1
1424695185517,LocalReqLocalExe,bitDepthReduction,1695,100,1
1424695185518,LocalReqLocalExe,videoProvisioner,28815,100,1
1424695221373,LocalReqLocalExe,checkIfAvailable,3703,100,1
1424695224369,LocalReqLocalExe,downloadVideo,2995,100,1
1424695224370,LocalReqLocalExe,getVideoResource,6701,100,1
1424695299567,LocalReqLocalExe,scaleVideo,75196,100,1
1424695300318,LocalReqLocalExe,transcodeVideo,749,100,1
1424695300746,LocalReqLocalExe,checkIfAvailable,4661,100,1
1424695300810,LocalReqLocalExe,bitDepthReduction,491,100,1
1424695300881,LocalReqLocalExe,downloadVideo,134,100,1
1424695300882,LocalReqLocalExe,getVideoResource,4798,100,1
1424695300920,LocalReqLocalExe,checkIfSubtitlesAvailable,103,100,1
1424695303736,LocalReqLocalExe,checkIfSubtitlesExists,2815,100,1
1424695305625,LocalReqLocalExe,getDefaultSubtitle,1888,100,1
1424695305626,LocalReqLocalExe,getSubtitles,4816,100,1
1424695306768,LocalReqLocalExe,applySubtitles,1141,100,1
1424695306768,LocalReqLocalExe,videoProvisioner,89099,100,1
1424695336985,LocalReqLocalExe,checkIfAvailable,1692,100,1
1424695337241,LocalReqLocalExe,downloadVideo,255,100,1
1424695337241,LocalReqLocalExe,getVideoResource,1949,100,1
1424695361048,LocalReqLocalExe,scaleVideo,23806,100,1
1424695361428,LocalReqLocalExe,transcodeVideo,379,100,1
1424695361489,LocalReqLocalExe,bitDepthReduction,60,100,1
1424695361490,LocalReqLocalExe,videoProvisioner,26199,100,1
1424695361769,LocalReqLocalExe,scaleVideo,60886,100,1
1424695362337,LocalReqLocalExe,transcodeVideo,567,100,1
1424695363029,LocalReqLocalExe,bitDepthReduction,691,100,1
1424695363177,LocalReqLocalExe,checkIfSubtitlesAvailable,146,100,1
1424695364113,LocalReqLocalExe,checkIfSubtitlesExists,935,100,1
1424695365541,LocalReqLocalExe,getDefaultSubtitle,1427,100,1
1424695365542,LocalReqLocalExe,getSubtitles,2512,100,1
1424695366273,LocalReqLocalExe,applySubtitles,731,100,1
1424695366274,LocalReqLocalExe,videoProvisioner,70191,100,1
1424695444013,LocalReqLocalExe,checkIfAvailable,1991,100,1
1424695444205,LocalReqLocalExe,downloadVideo,191,100,1
1424695444206,LocalReqLocalExe,getVideoResource,2184,100,1
1424695454253,LocalReqLocalExe,scaleVideo,10047,100,1
1424695456741,LocalReqLocalExe,transcodeVideo,2487,100,1
1424695457213,LocalReqLocalExe,bitDepthReduction,471,100,1
1424695458817,LocalReqLocalExe,checkIfSubtitlesAvailable,1602,100,1
1424695459921,LocalReqLocalExe,checkIfSubtitlesExists,1103,100,1
1424695460261,LocalReqLocalExe,getDefaultSubtitle,339,100,1
1424695460262,LocalReqLocalExe,getSubtitles,3048,100,1
1424695460549,LocalReqLocalExe,applySubtitles,287,100,1
1424695460550,LocalReqLocalExe,videoProvisioner,18529,100,1
1424695539025,LocalReqLocalExe,checkIfAvailable,1959,100,1
1424695539897,LocalReqLocalExe,downloadVideo,871,100,1
1424695539898,LocalReqLocalExe,getVideoResource,2832,100,1
1424695549693,LocalReqLocalExe,scaleVideo,9795,100,1
1424695550873,LocalReqLocalExe,transcodeVideo,1179,100,1
1424695555685,LocalReqLocalExe,bitDepthReduction,4811,100,1
1424695555737,LocalReqLocalExe,checkIfSubtitlesAvailable,51,100,1
