timestamp,reqType,service,rt,numberOfReqs 
1422215129664,local,checkIfAvailable,808,1
1422215129912,local,downloadVideo,243,1
1422215129913,local,getVideoResource,1058,1
1422215152314,local,scaleVideo,22400,1
1422215152390,local,transcodeVideo,75,1
1422215152630,local,bitDepthReduction,239,1
1422215152631,local,videoProvisioner,23777,1
1422215198646,local,checkIfAvailable,324,1
1422215198678,local,downloadVideo,31,1
1422215198680,local,getVideoResource,358,1
1422215211039,local,checkIfAvailable,87,1
1422215213201,local,downloadVideo,2161,1
1422215213202,local,getVideoResource,2251,1
1422215222451,local,checkIfAvailable,5180,1
1422215222451,local,getVideoResource,5184,1
1422215228270,local,scaleVideo,29590,1
1422215228925,local,transcodeVideo,653,1
1422215231105,local,bitDepthReduction,2179,1
1422215231105,local,videoProvisioner,32784,1
1422215245467,local,scaleVideo,32264,1
1422215246768,local,transcodeVideo,1300,1
1422215247328,local,bitDepthReduction,559,1
1422215247329,local,videoProvisioner,36378,1
1422215252298,local,scaleVideo,29846,1
1422215252958,local,transcodeVideo,659,1
1422215255134,local,bitDepthReduction,2175,1
1422215255135,local,videoProvisioner,37868,1
1422215289678,local,checkIfAvailable,402,1
1422215290178,local,downloadVideo,499,1
1422215290179,local,getVideoResource,903,1
1422215318546,local,scaleVideo,28366,1
1422215319526,local,transcodeVideo,979,1
1422215322756,local,bitDepthReduction,3229,1
1422215322756,local,videoProvisioner,33481,1
1422215324418,local,checkIfAvailable,3569,1
1422215325834,local,downloadVideo,1414,1
1422215325835,local,getVideoResource,4987,1
1422215349698,local,scaleVideo,23862,1
1422215350894,local,transcodeVideo,1195,1
1422215352334,local,bitDepthReduction,1439,1
1422215352335,local,videoProvisioner,31487,1
1422215559222,local,checkIfAvailable,269,1
1422215561186,local,downloadVideo,1963,1
1422215561187,local,getVideoResource,2234,1
1422215582530,local,scaleVideo,21343,1
1422215584086,local,transcodeVideo,1555,1
1422215584310,local,bitDepthReduction,223,1
1422215584311,local,videoProvisioner,25359,1
1422215627690,local,checkIfAvailable,562,1
1422215628606,local,downloadVideo,915,1
1422215628607,local,getVideoResource,1480,1
1422215642579,local,checkIfAvailable,4089,1
1422215642758,local,downloadVideo,178,1
1422215642759,local,getVideoResource,4270,1
1422215647257,local,scaleVideo,18649,1
1422215648323,local,transcodeVideo,1065,1
1422215648455,local,bitDepthReduction,131,1
1422215648455,local,videoProvisioner,21329,1
1422215714442,local,checkIfAvailable,2907,1
