timestamp,selfletID,service,numberOfReqs 
1422199784994, 4, videoProvisioner, 1
1422199785016, 4, videoProvisioner, 1
1422199792920, 4, videoProvisioner, 1
1422199800813, 2, videoProvisioner, 1
1422199808711, 3, videoProvisioner, 1
1422199816610, 2, videoProvisioner, 1
1422199824507, 4, videoProvisioner, 1
1422199832406, 2, videoProvisioner, 1
1422199840304, 2, videoProvisioner, 1
1422199848202, 4, videoProvisioner, 1
1422199856101, 4, videoProvisioner, 1
1422199863999, 4, videoProvisioner, 1
1422199871897, 2, videoProvisioner, 1
1422199879795, 2, videoProvisioner, 1
1422199887694, 4, videoProvisioner, 1
1422199895592, 2, videoProvisioner, 1
1422199903490, 2, videoProvisioner, 1
1422199911388, 2, videoProvisioner, 1
1422199919286, 2, videoProvisioner, 1
1422199927185, 2, videoProvisioner, 1
1422199935083, 2, videoProvisioner, 1
1422199942981, 4, videoProvisioner, 1
1422199950880, 3, videoProvisioner, 1
1422199958778, 3, videoProvisioner, 1
1422199966676, 2, videoProvisioner, 1
1422199974574, 2, videoProvisioner, 1
1422199982472, 3, videoProvisioner, 1
1422199990371, 3, videoProvisioner, 1
1422199998269, 3, videoProvisioner, 1
1422200006167, 4, videoProvisioner, 1
1422200014065, 3, videoProvisioner, 1
1422200021963, 3, videoProvisioner, 1
1422200029862, 3, videoProvisioner, 1
1422200037760, 3, videoProvisioner, 1
1422200045658, 2, videoProvisioner, 1
1422200053556, 4, videoProvisioner, 1
1422200061455, 3, videoProvisioner, 1
1422200069353, 4, videoProvisioner, 1
1422200077252, 3, videoProvisioner, 1
1422200085156, 4, videoProvisioner, 1
1422200091910, 2, videoProvisioner, 1
1422200098671, 4, videoProvisioner, 1
1422200105433, 3, videoProvisioner, 1
1422200112194, 4, videoProvisioner, 1
1422200118956, 4, videoProvisioner, 1
1422200125717, 2, videoProvisioner, 1
1422200132478, 4, videoProvisioner, 1
1422200139239, 3, videoProvisioner, 1
1422200146000, 3, videoProvisioner, 1
1422200152762, 4, videoProvisioner, 1
1422200159523, 2, videoProvisioner, 1
1422200166284, 2, videoProvisioner, 1
1422200173045, 3, videoProvisioner, 1
1422200179807, 3, videoProvisioner, 1
1422200186568, 5, videoProvisioner, 1
1422200193329, 3, videoProvisioner, 1
1422200200090, 3, videoProvisioner, 1
1422200206852, 2, videoProvisioner, 1
1422200213613, 4, videoProvisioner, 1
1422200220374, 3, videoProvisioner, 1
1422200227135, 6, videoProvisioner, 1
1422200233898, 4, videoProvisioner, 1
1422200240658, 3, videoProvisioner, 1
1422200247420, 6, videoProvisioner, 1
1422200254181, 7, videoProvisioner, 1
1422200260943, 2, videoProvisioner, 1
1422200267704, 3, videoProvisioner, 1
1422200274465, 2, videoProvisioner, 1
1422200281227, 3, videoProvisioner, 1
1422200287988, 6, videoProvisioner, 1
1422200294749, 4, videoProvisioner, 1
1422200301510, 5, videoProvisioner, 1
1422200308271, 4, videoProvisioner, 1
1422200315033, 7, videoProvisioner, 1
1422200321794, 2, videoProvisioner, 1
1422200328555, 4, videoProvisioner, 1
1422200335316, 2, videoProvisioner, 1
1422200342077, 6, videoProvisioner, 1
1422200348839, 3, videoProvisioner, 1
1422200355600, 3, videoProvisioner, 1
1422200362361, 3, videoProvisioner, 1
1422200369122, 3, videoProvisioner, 1
1422200375883, 5, videoProvisioner, 1
1422200382645, 6, videoProvisioner, 1
1422200389406, 5, videoProvisioner, 1
1422200394584, 7, videoProvisioner, 1
1422200399763, 6, videoProvisioner, 1
1422200404941, 5, videoProvisioner, 1
1422200410119, 6, videoProvisioner, 1
1422200415297, 6, videoProvisioner, 1
1422200420475, 2, videoProvisioner, 1
1422200425654, 4, videoProvisioner, 1
1422200430832, 4, videoProvisioner, 1
1422200436010, 5, videoProvisioner, 1
1422200441189, 6, videoProvisioner, 1
1422200446366, 3, videoProvisioner, 1
1422200451545, 6, videoProvisioner, 1
1422200456723, 5, videoProvisioner, 1
1422200461901, 6, videoProvisioner, 1
1422200467079, 5, videoProvisioner, 1
1422200472258, 7, videoProvisioner, 1
1422200477436, 4, videoProvisioner, 1
1422200482614, 4, videoProvisioner, 1
1422200487793, 7, videoProvisioner, 1
1422200492970, 4, videoProvisioner, 1
1422200498149, 6, videoProvisioner, 1
1422200503327, 5, videoProvisioner, 1
1422200508504, 6, videoProvisioner, 1
1422200513684, 7, videoProvisioner, 1
1422200518862, 5, videoProvisioner, 1
1422200524040, 4, videoProvisioner, 1
1422200529217, 5, videoProvisioner, 1
1422200534396, 7, videoProvisioner, 1
1422200539574, 5, videoProvisioner, 1
1422200544753, 6, videoProvisioner, 1
1422200549931, 3, videoProvisioner, 1
1422200555108, 9, videoProvisioner, 1
1422200560287, 9, videoProvisioner, 1
1422200565465, 9, videoProvisioner, 1
1422200570646, 2, videoProvisioner, 1
1422200575822, 8, videoProvisioner, 1
1422200581000, 3, videoProvisioner, 1
1422200586179, 5, videoProvisioner, 1
1422200591356, 2, videoProvisioner, 1
1422200596535, 4, videoProvisioner, 1
1422200601712, 8, videoProvisioner, 1
1422200606890, 3, videoProvisioner, 1
1422200612068, 6, videoProvisioner, 1
1422200617246, 3, videoProvisioner, 1
1422200622424, 8, videoProvisioner, 1
1422200627601, 9, videoProvisioner, 1
1422200632780, 2, videoProvisioner, 1
1422200637959, 8, videoProvisioner, 1
1422200643136, 2, videoProvisioner, 1
1422200648313, 5, videoProvisioner, 1
1422200653492, 2, videoProvisioner, 1
1422200658670, 2, videoProvisioner, 1
1422200663847, 9, videoProvisioner, 1
1422200669025, 10, videoProvisioner, 1
1422200674203, 7, videoProvisioner, 1
1422200679380, 2, videoProvisioner, 1
1422200684558, 8, videoProvisioner, 1
1422200689736, 2, videoProvisioner, 1
1422200695060, 8, videoProvisioner, 1
1422200700384, 7, videoProvisioner, 1
1422200705708, 6, videoProvisioner, 1
1422200711033, 5, videoProvisioner, 1
1422200716357, 7, videoProvisioner, 1
1422200721681, 9, videoProvisioner, 1
1422200727006, 10, videoProvisioner, 1
1422200732330, 3, videoProvisioner, 1
1422200737654, 5, videoProvisioner, 1
1422200742978, 2, videoProvisioner, 1
1422200748301, 5, videoProvisioner, 1
1422200753626, 2, videoProvisioner, 1
1422200758950, 6, videoProvisioner, 1
1422200764274, 7, videoProvisioner, 1
1422200769598, 8, videoProvisioner, 1
1422200774922, 6, videoProvisioner, 1
1422200780246, 10, videoProvisioner, 1
1422200785570, 8, videoProvisioner, 1
1422200790894, 2, videoProvisioner, 1
1422200796219, 8, videoProvisioner, 1
1422200801542, 5, videoProvisioner, 1
1422200806865, 9, videoProvisioner, 1
1422200812190, 7, videoProvisioner, 1
1422200817514, 7, videoProvisioner, 1
1422200822838, 9, videoProvisioner, 1
1422200828162, 5, videoProvisioner, 1
1422200833486, 3, videoProvisioner, 1
1422200838811, 8, videoProvisioner, 1
1422200844135, 4, videoProvisioner, 1
1422200849459, 7, videoProvisioner, 1
1422200854783, 9, videoProvisioner, 1
1422200860107, 6, videoProvisioner, 1
1422200865432, 7, videoProvisioner, 1
1422200870756, 10, videoProvisioner, 1
1422200876081, 8, videoProvisioner, 1
1422200881404, 9, videoProvisioner, 1
1422200886729, 8, videoProvisioner, 1
1422200892053, 2, videoProvisioner, 1
1422200897378, 12, videoProvisioner, 1
1422200902701, 6, videoProvisioner, 1
1422200908026, 7, videoProvisioner, 1
1422200913350, 2, videoProvisioner, 1
1422200918674, 5, videoProvisioner, 1
1422200923999, 8, videoProvisioner, 1
1422200929323, 4, videoProvisioner, 1
1422200934647, 6, videoProvisioner, 1
1422200939971, 12, videoProvisioner, 1
1422200945296, 9, videoProvisioner, 1
1422200950620, 3, videoProvisioner, 1
1422200955945, 4, videoProvisioner, 1
1422200961269, 12, videoProvisioner, 1
1422200966592, 5, videoProvisioner, 1
1422200971918, 7, videoProvisioner, 1
1422200977242, 11, videoProvisioner, 1
1422200982566, 10, videoProvisioner, 1
1422200987890, 9, videoProvisioner, 1
1422200992230, 9, videoProvisioner, 1
1422200996570, 4, videoProvisioner, 1
1422201000914, 9, videoProvisioner, 1
1422201005251, 8, videoProvisioner, 1
1422201009592, 3, videoProvisioner, 1
1422201013932, 5, videoProvisioner, 1
1422201018272, 5, videoProvisioner, 1
1422201022613, 8, videoProvisioner, 1
1422201026952, 10, videoProvisioner, 1
1422201031293, 4, videoProvisioner, 1
1422201035632, 9, videoProvisioner, 1
1422201039973, 9, videoProvisioner, 1
1422201044313, 10, videoProvisioner, 1
1422201048654, 7, videoProvisioner, 1
1422201052994, 5, videoProvisioner, 1
1422201057335, 6, videoProvisioner, 1
1422201061675, 12, videoProvisioner, 1
1422201066015, 2, videoProvisioner, 1
1422201070355, 11, videoProvisioner, 1
1422201074695, 7, videoProvisioner, 1
1422201079036, 6, videoProvisioner, 1
1422201083376, 12, videoProvisioner, 1
1422201087716, 3, videoProvisioner, 1
1422201092056, 5, videoProvisioner, 1
1422201096396, 9, videoProvisioner, 1
1422201100736, 3, videoProvisioner, 1
1422201105076, 5, videoProvisioner, 1
1422201109417, 7, videoProvisioner, 1
1422201113757, 10, videoProvisioner, 1
1422201118097, 7, videoProvisioner, 1
1422201122437, 6, videoProvisioner, 1
1422201126777, 4, videoProvisioner, 1
1422201131117, 6, videoProvisioner, 1
1422201135458, 8, videoProvisioner, 1
1422201139798, 4, videoProvisioner, 1
1422201144138, 3, videoProvisioner, 1
1422201148478, 3, videoProvisioner, 1
1422201152819, 10, videoProvisioner, 1
1422201157159, 6, videoProvisioner, 1
1422201161499, 5, videoProvisioner, 1
1422201165839, 8, videoProvisioner, 1
1422201170180, 12, videoProvisioner, 1
1422201174520, 2, videoProvisioner, 1
1422201178859, 13, videoProvisioner, 1
1422201183200, 9, videoProvisioner, 1
1422201187541, 9, videoProvisioner, 1
1422201191880, 11, videoProvisioner, 1
1422201196221, 2, videoProvisioner, 1
1422201200561, 2, videoProvisioner, 1
1422201204902, 2, videoProvisioner, 1
1422201209241, 6, videoProvisioner, 1
1422201213582, 9, videoProvisioner, 1
1422201217922, 13, videoProvisioner, 1
1422201222262, 2, videoProvisioner, 1
1422201226603, 8, videoProvisioner, 1
1422201230944, 3, videoProvisioner, 1
1422201235283, 8, videoProvisioner, 1
1422201239623, 6, videoProvisioner, 1
1422201243964, 10, videoProvisioner, 1
1422201248304, 11, videoProvisioner, 1
1422201252645, 6, videoProvisioner, 1
1422201256984, 4, videoProvisioner, 1
1422201261325, 7, videoProvisioner, 1
1422201265665, 13, videoProvisioner, 1
1422201270005, 9, videoProvisioner, 1
1422201274345, 11, videoProvisioner, 1
1422201278685, 12, videoProvisioner, 1
1422201283026, 9, videoProvisioner, 1
1422201287366, 11, videoProvisioner, 1
1422201290959, 3, videoProvisioner, 1
1422201294553, 8, videoProvisioner, 1
1422201298146, 11, videoProvisioner, 1
1422201301739, 3, videoProvisioner, 1
1422201305332, 14, videoProvisioner, 1
1422201308926, 12, videoProvisioner, 1
1422201312519, 3, videoProvisioner, 1
1422201316112, 11, videoProvisioner, 1
1422201319705, 2, videoProvisioner, 1
1422201323298, 14, videoProvisioner, 1
1422201326892, 13, videoProvisioner, 1
1422201330485, 12, videoProvisioner, 1
1422201334078, 12, videoProvisioner, 1
1422201337671, 14, videoProvisioner, 1
1422201341264, 8, videoProvisioner, 1
1422201344857, 8, videoProvisioner, 1
1422201348451, 9, videoProvisioner, 1
1422201352044, 15, videoProvisioner, 1
1422201355637, 6, videoProvisioner, 1
1422201359230, 12, videoProvisioner, 1
1422201362824, 15, videoProvisioner, 1
1422201366417, 14, videoProvisioner, 1
