timestamp,service,rt,selfletID,numberOfReqs 
1424524655255,videoProvisioner,15171,2, 1
1424524660970,videoProvisioner,20907,3, 1
1424524699364,videoProvisioner,51375,4, 1
1424524715953,videoProvisioner,60072,4, 1
1424524720615,videoProvisioner,25242,3, 1
1424524725025,videoProvisioner,37551,2, 1
1424524737154,videoProvisioner,73375,4, 1
1424524769282,videoProvisioner,89705,2, 1
1424524784568,videoProvisioner,18111,3, 1
1424524788578,videoProvisioner,45816,2, 1
1424524798802,videoProvisioner,87630,4, 1
1424524802512,videoProvisioner,43953,3, 1
1424524806822,videoProvisioner,103551,4, 1
1424524809078,videoProvisioner,34722,2, 1
1424524811534,videoProvisioner,92466,2, 1
1424524819303,videoProvisioner,92336,4, 1
1424524843918,videoProvisioner,30071,2, 1
1424524844971,videoProvisioner,94310,4, 1
1424524868628,videoProvisioner,78476,3, 1
1424524875795,videoProvisioner,77745,3, 1
1424524877449,videoProvisioner,32009,2, 1
1424524892034,videoProvisioner,62391,3, 1
1424524899201,videoProvisioner,14268,2, 1
1424524899953,videoProvisioner,228275,4, 1
1424524901557,videoProvisioner,95608,3, 1
1424524904664,videoProvisioner,27631,2, 1
1424524922256,videoProvisioner,100511,4, 1
1424524930075,videoProvisioner,76737,4, 1
1424524937192,videoProvisioner,75955,3, 1
1424524937644,videoProvisioner,68509,3, 1
1424524937744,videoProvisioner,29118,2, 1
1424524946916,videoProvisioner,164662,3, 1
1424524949873,videoProvisioner,49143,3, 1
1424524960649,videoProvisioner,44124,2, 1
1424524963757,videoProvisioner,70927,4, 1
1424524971776,videoProvisioner,236912,4, 1
1424524977490,videoProvisioner,30509,3, 1
1424524984958,videoProvisioner,60535,2, 1
1424524988417,videoProvisioner,48195,4, 1
1424524992076,videoProvisioner,59754,2, 1
1424524998692,videoProvisioner,38188,3, 1
1424525005158,videoProvisioner,31132,6, 1
1424525009469,videoProvisioner,171926,4, 1
1424525014581,videoProvisioner,20270,5, 1
1424525015985,videoProvisioner,35197,5, 1
1424525020947,videoProvisioner,67204,2, 1
1424525022200,videoProvisioner,54935,2, 1
1424525029067,videoProvisioner,41518,2, 1
1424525031774,videoProvisioner,30701,3, 1
1424525040946,videoProvisioner,33110,3, 1
1424525043202,videoProvisioner,28605,6, 1
1424525050419,videoProvisioner,29059,7, 1
1424525061195,videoProvisioner,33073,7, 1
1424525061295,videoProvisioner,26411,3, 1
1424525066106,videoProvisioner,24461,2, 1
1424525077232,videoProvisioner,28825,7, 1
1424525082695,videoProvisioner,27527,2, 1
1424525088559,videoProvisioner,26630,6, 1
1424525089862,videoProvisioner,21171,3, 1
1424525103995,videoProvisioner,28544,4, 1
1424525116325,videoProvisioner,34113,7, 1
1424525116877,videoProvisioner,27903,4, 1
1424525128203,videoProvisioner,32468,7, 1
1424525138076,videoProvisioner,35580,7, 1
1424525145243,videoProvisioner,29225,2, 1
1424525145995,videoProvisioner,23216,4, 1
1424525162386,videoProvisioner,32846,2, 1
1424525180881,videoProvisioner,71624,3, 1
1424525182785,videoProvisioner,32962,4, 1
1424525186895,videoProvisioner,30311,5, 1
1424525210858,videoProvisioner,33990,2, 1
1424525211460,videoProvisioner,27831,6, 1
1424525213515,videoProvisioner,23125,2, 1
1424525221384,videoProvisioner,78321,6, 1
1424525223289,videoProvisioner,86988,4, 1
1424525234516,videoProvisioner,37365,2, 1
1424525236571,videoProvisioner,66465,3, 1
1424525257220,videoProvisioner,39784,4, 1
1424525258723,videoProvisioner,48049,5, 1
1424525260177,videoProvisioner,96831,7, 1
1424525274711,videoProvisioner,50515,5, 1
1424525277619,videoProvisioner,17605,3, 1
1424525283883,videoProvisioner,39404,6, 1
1424525287442,videoProvisioner,49724,5, 1
1424525288345,videoProvisioner,33509,2, 1
1424525289147,videoProvisioner,58190,7, 1
1424525302278,videoProvisioner,37086,5, 1
1424525320871,videoProvisioner,116959,7, 1
1424525321072,videoProvisioner,14455,5, 1
1424525327187,videoProvisioner,77530,4, 1
1424525330394,videoProvisioner,34133,8, 1
1424525332500,videoProvisioner,31061,4, 1
1424525340619,videoProvisioner,28824,5, 1
1424525340619,videoProvisioner,65071,7, 1
1424525346133,videoProvisioner,29159,8, 1
1424525347987,videoProvisioner,25835,6, 1
1424525352699,videoProvisioner,66795,7, 1
1424525353150,videoProvisioner,72423,7, 1
1424525358264,videoProvisioner,87893,3, 1
1424525359122,videoProvisioner,68039,3, 1
1424525366038,videoProvisioner,28351,2, 1
1424525378217,videoProvisioner,35351,8, 1
1424525392851,videoProvisioner,24093,2, 1
1424525399066,videoProvisioner,51021,7, 1
1424525401623,videoProvisioner,38043,4, 1
1424525413501,videoProvisioner,24030,5, 1
1424525415506,videoProvisioner,31213,6, 1
1424525428337,videoProvisioner,75114,5, 1
1424525428788,videoProvisioner,54852,4, 1
1424525438562,videoProvisioner,59447,3, 1
1424525451492,videoProvisioner,56842,3, 1
1424525455100,videoProvisioner,50093,7, 1
1424525457005,videoProvisioner,98604,4, 1
1424525465826,videoProvisioner,40106,8, 1
1424525467731,videoProvisioner,135222,7, 1
1424525468934,videoProvisioner,141603,7, 1
1424525471089,videoProvisioner,29834,10, 1
1424525472944,videoProvisioner,26510,9, 1
1424525483168,videoProvisioner,26379,5, 1
1424525486076,videoProvisioner,70712,9, 1
1424525487379,videoProvisioner,35768,6, 1
1424525491540,videoProvisioner,24394,7, 1
1424525493044,videoProvisioner,31076,8, 1
1424525502215,videoProvisioner,24713,10, 1
1424525502717,videoProvisioner,30393,9, 1
1424525504671,videoProvisioner,94485,3, 1
1424525504722,videoProvisioner,22042,8, 1
1424525505173,videoProvisioner,105345,4, 1
1424525513542,videoProvisioner,93000,3, 1
1424525527275,videoProvisioner,23881,5, 1
1424525529781,videoProvisioner,93704,3, 1
1424525534693,videoProvisioner,26122,10, 1
1424525538602,videoProvisioner,45565,2, 1
1424525539906,videoProvisioner,26157,8, 1
1424525542813,videoProvisioner,44597,2, 1
1424525546822,videoProvisioner,115923,3, 1
1424525548827,videoProvisioner,29900,10, 1
1424525560103,videoProvisioner,30819,9, 1
1424525560153,videoProvisioner,25691,4, 1
1424525570228,videoProvisioner,25410,8, 1
1424525570629,videoProvisioner,30988,6, 1
1424525578898,videoProvisioner,91040,2, 1
1424525580703,videoProvisioner,25236,9, 1
1424525580903,videoProvisioner,30760,5, 1
1424525596239,videoProvisioner,72133,7, 1
1424525599247,videoProvisioner,38456,8, 1
1424525611475,videoProvisioner,13414,5, 1
1424525615535,videoProvisioner,38772,7, 1
1424525615585,videoProvisioner,33498,8, 1
1424525625709,videoProvisioner,38297,7, 1
1424525646459,videoProvisioner,37751,8, 1
1424525656333,videoProvisioner,84893,10, 1
1424525658989,videoProvisioner,23658,5, 1
1424525672772,videoProvisioner,26794,3, 1
1424525673123,videoProvisioner,59090,4, 1
1424525675579,videoProvisioner,109464,4, 1
1424525677283,videoProvisioner,57926,8, 1
1424525678135,videoProvisioner,74751,7, 1
1424525685152,videoProvisioner,33849,3, 1
1424525688109,videoProvisioner,31483,10, 1
1424525690565,videoProvisioner,60559,8, 1
1424525697682,videoProvisioner,73001,2, 1
1424525701341,videoProvisioner,108605,4, 1
1424525702644,videoProvisioner,35369,5, 1
1424525705050,videoProvisioner,32451,7, 1
1424525709561,videoProvisioner,26313,2, 1
1424525711366,videoProvisioner,33442,7, 1
1424525727254,videoProvisioner,86600,8, 1
1424525734622,videoProvisioner,35401,8, 1
1424525737279,videoProvisioner,32732,7, 1
1424525740387,videoProvisioner,30518,9, 1
1424525748807,videoProvisioner,28288,6, 1
1424525757427,videoProvisioner,31585,4, 1
1424525758630,videoProvisioner,64733,8, 1
1424525760736,videoProvisioner,45543,9, 1
1424525765648,videoProvisioner,34481,2, 1
1424525768356,videoProvisioner,79783,9, 1
1424525778732,videoProvisioner,15620,4, 1
1424525781389,videoProvisioner,28926,11, 1
1424525783294,videoProvisioner,121342,8, 1
1424525787504,videoProvisioner,45689,2, 1
1424525793869,videoProvisioner,57378,2, 1
1424525797127,videoProvisioner,28691,11, 1
1424525801137,videoProvisioner,53998,2, 1
1424525810108,videoProvisioner,36348,10, 1
1424525812063,videoProvisioner,32978,3, 1
1424525816776,videoProvisioner,27043,3, 1
