timestamp,reqType,service,rt,selflet,numberOfReqs 
1428393957636,LocalReqLocalExe,checkIfAvailable,1539,10,1
1428393961382,LocalReqLocalExe,downloadVideo,3745,10,1
1428393961382,LocalReqLocalExe,getVideoResource,5286,10,1
1428393982980,LocalReqLocalExe,scaleVideo,21597,10,1
1428393983153,LocalReqLocalExe,transcodeVideo,173,10,1
1428393986753,LocalReqLocalExe,bitDepthReduction,3599,10,1
1428393986754,LocalReqLocalExe,videoProvisioner,30659,10,1
1428394240585,LocalReqLocalExe,checkIfAvailable,1304,10,1
1428394240757,LocalReqLocalExe,downloadVideo,171,10,1
1428394240758,LocalReqLocalExe,getVideoResource,1477,10,1
1428394260577,LocalReqLocalExe,scaleVideo,19819,10,1
1428394261593,LocalReqLocalExe,transcodeVideo,1015,10,1
1428394263286,LocalReqLocalExe,bitDepthReduction,1692,10,1
1428394263286,LocalReqLocalExe,videoProvisioner,24006,10,1
1428394374805,LocalReqLocalExe,checkIfAvailable,301,10,1
1428394376134,LocalReqLocalExe,downloadVideo,1328,10,1
1428394376134,LocalReqLocalExe,getVideoResource,1631,10,1
1428394437841,LocalReqLocalExe,scaleVideo,61706,10,1
1428394439710,LocalReqLocalExe,transcodeVideo,1868,10,1
1428394439873,LocalReqLocalExe,bitDepthReduction,163,10,1
1428394439874,LocalReqLocalExe,videoProvisioner,65372,10,1
1428394666629,LocalReqLocalExe,checkIfAvailable,405,10,1
1428394668013,LocalReqLocalExe,downloadVideo,1383,10,1
1428394668014,LocalReqLocalExe,getVideoResource,1791,10,1
1428394689585,LocalReqLocalExe,scaleVideo,21571,10,1
1428394689933,LocalReqLocalExe,transcodeVideo,347,10,1
1428394690057,LocalReqLocalExe,bitDepthReduction,123,10,1
1428394691973,LocalReqLocalExe,checkIfSubtitlesAvailable,1914,10,1
1428394694205,LocalReqLocalExe,checkIfSubtitlesExists,2231,10,1
1428394695529,LocalReqLocalExe,getDefaultSubtitle,1323,10,1
1428394695530,LocalReqLocalExe,getSubtitles,5472,10,1
1428394695593,LocalReqLocalExe,applySubtitles,62,10,1
1428394695594,LocalReqLocalExe,videoProvisioner,29371,10,1
1428394733965,LocalReqLocalExe,checkIfAvailable,425,10,1
1428394733966,LocalReqLocalExe,getVideoResource,427,10,1
1428394753297,LocalReqLocalExe,scaleVideo,19331,10,1
1428394754633,LocalReqLocalExe,transcodeVideo,1335,10,1
1428394756405,LocalReqLocalExe,bitDepthReduction,1771,10,1
1428394757017,LocalReqLocalExe,checkIfSubtitlesAvailable,610,10,1
