timestamp,service,rt,selfletID,numberOfReqs 
1428393957311,videoProvisioner,24927,23, 1
1428393982505,videoProvisioner,34324,4, 1
1428393986768,videoProvisioner,30690,10, 1
1428393993840,videoProvisioner,29864,41, 1
1428394002868,videoProvisioner,30994,26, 1
1428394007281,videoProvisioner,27508,46, 1
1428394013300,videoProvisioner,80938,22, 1
1428394018467,videoProvisioner,30795,33, 1
1428394018718,videoProvisioner,78430,45, 1
1428394024788,videoProvisioner,29219,25, 1
1428394041794,videoProvisioner,30428,5, 1
1428394042747,videoProvisioner,39280,38, 1
1428394057744,videoProvisioner,30582,35, 1
1428394067426,videoProvisioner,16569,41, 1
1428394069232,videoProvisioner,34172,23, 1
1428394069383,videoProvisioner,26424,22, 1
1428394092152,videoProvisioner,33397,20, 1
1428394099074,videoProvisioner,79810,21, 1
1428394100429,videoProvisioner,33775,39, 1
1428394104292,videoProvisioner,29741,30, 1
1428394110311,videoProvisioner,27862,46, 1
1428394122451,videoProvisioner,32103,23, 1
1428394130426,videoProvisioner,32180,24, 1
1428394139403,videoProvisioner,25361,11, 1
1428394140657,videoProvisioner,34513,11, 1
1428394140807,videoProvisioner,18867,3, 1
1428394160768,videoProvisioner,30929,33, 1
1428394161822,videoProvisioner,24085,42, 1
1428394179479,videoProvisioner,25945,6, 1
1428394183291,videoProvisioner,37655,16, 1
1428394187856,videoProvisioner,26424,2, 1
1428394196835,videoProvisioner,27503,40, 1
1428394197738,videoProvisioner,20509,21, 1
1428394212034,videoProvisioner,26906,45, 1
1428394221513,videoProvisioner,28488,31, 1
1428394246636,videoProvisioner,29916,2, 1
1428394261127,videoProvisioner,36509,42, 1
1428394261980,videoProvisioner,29463,24, 1
1428394263334,videoProvisioner,24057,10, 1
1428394275920,videoProvisioner,29882,18, 1
1428394277575,videoProvisioner,76652,20, 1
1428394281437,videoProvisioner,28637,8, 1
1428394289108,videoProvisioner,80285,45, 1
1428394295126,videoProvisioner,35565,27, 1
1428394296430,videoProvisioner,30108,37, 1
1428394300893,videoProvisioner,27809,28, 1
1428394318644,videoProvisioner,38799,23, 1
1428394320600,videoProvisioner,27232,12, 1
1428394326015,videoProvisioner,25886,26, 1
1428394336996,videoProvisioner,23345,35, 1
1428394339052,videoProvisioner,32162,13, 1
1428394349180,videoProvisioner,28768,25, 1
1428394355198,videoProvisioner,68592,43, 1
1428394360964,videoProvisioner,27028,27, 1
1428394366429,videoProvisioner,25733,9, 1
1428394369839,videoProvisioner,42666,21, 1
1428394380720,videoProvisioner,26502,41, 1
