timestamp,reqType,service,rt,selflet,numberOfReqs 
1424767172548,LocalReqLocalExe,checkIfAvailable,467,10,1
1424767172786,LocalReqLocalExe,downloadVideo,237,10,1
1424767172786,LocalReqLocalExe,getVideoResource,706,10,1
1424767182049,LocalReqLocalExe,checkIfAvailable,3223,10,1
1424767183546,LocalReqLocalExe,downloadVideo,1496,10,1
1424767183546,LocalReqLocalExe,getVideoResource,4721,10,1
1424767195897,LocalReqLocalExe,scaleVideo,23110,10,1
1424767198316,LocalReqLocalExe,transcodeVideo,2418,10,1
1424767199623,LocalReqLocalExe,bitDepthReduction,1306,10,1
1424767199623,LocalReqLocalExe,videoProvisioner,27544,10,1
1424767209286,LocalReqLocalExe,scaleVideo,25739,10,1
1424767209333,LocalReqLocalExe,transcodeVideo,46,10,1
1424767210014,LocalReqLocalExe,bitDepthReduction,680,10,1
1424767210015,LocalReqLocalExe,videoProvisioner,31191,10,1
1424767351953,LocalReqLocalExe,checkIfAvailable,71,10,1
1424767355678,LocalReqLocalExe,downloadVideo,3724,10,1
1424767355679,LocalReqLocalExe,getVideoResource,3798,10,1
1424767376769,LocalReqLocalExe,scaleVideo,21090,10,1
1424767377173,LocalReqLocalExe,transcodeVideo,403,10,1
1424767377433,LocalReqLocalExe,bitDepthReduction,259,10,1
1424767377434,LocalReqLocalExe,videoProvisioner,25554,10,1
1424768407614,LocalReqLocalExe,checkIfAvailable,1783,10,1
1424768410438,LocalReqLocalExe,downloadVideo,2824,10,1
1424768410438,LocalReqLocalExe,getVideoResource,4607,10,1
1424768427845,LocalReqLocalExe,checkIfAvailable,427,10,1
1424768428578,LocalReqLocalExe,downloadVideo,732,10,1
1424768428578,LocalReqLocalExe,getVideoResource,1183,10,1
1424768435263,LocalReqLocalExe,scaleVideo,24824,10,1
1424768435757,LocalReqLocalExe,transcodeVideo,493,10,1
1424768436001,LocalReqLocalExe,bitDepthReduction,243,10,1
1424768436002,LocalReqLocalExe,videoProvisioner,30171,10,1
