timestamp,service,rt,selfletID,numberOfReqs 
1424766745620,videoProvisioner,29204,13, 1
1424766747175,videoProvisioner,30739,4, 1
1424766752640,videoProvisioner,28297,49, 1
1424766757052,videoProvisioner,24819,17, 1
1424766765525,videoProvisioner,25394,5, 1
1424766779662,videoProvisioner,31633,28, 1
1424766790341,videoProvisioner,26515,22, 1
1424766798964,videoProvisioner,43036,30, 1
1424766800568,videoProvisioner,28844,33, 1
1424766813402,videoProvisioner,33780,30, 1
1424766816611,videoProvisioner,29091,27, 1
1424766828442,videoProvisioner,33024,5, 1
1424766830598,videoProvisioner,27280,48, 1
1424766838018,videoProvisioner,26804,44, 1
1424766850100,videoProvisioner,15191,44, 1
1424766852257,videoProvisioner,25246,48, 1
1424766872710,videoProvisioner,29903,24, 1
1424766877022,videoProvisioner,26317,25, 1
1424766890306,videoProvisioner,31702,50, 1
1424766897274,videoProvisioner,78161,50, 1
1424766900081,videoProvisioner,33579,32, 1
1424766910814,videoProvisioner,20617,23, 1
1424766911917,videoProvisioner,29619,48, 1
1424766913972,videoProvisioner,39572,7, 1
1424766925955,videoProvisioner,27860,45, 1
1424766930467,videoProvisioner,24475,33, 1
1424766942198,videoProvisioner,28307,30, 1
1424766957388,videoProvisioner,35599,49, 1
1424766964257,videoProvisioner,34569,23, 1
1424766980399,videoProvisioner,34915,31, 1
1424766989123,videoProvisioner,35741,5, 1
1424766993634,videoProvisioner,32354,27, 1
1424766995941,videoProvisioner,26762,8, 1
1424767008624,videoProvisioner,71038,39, 1
1424767009827,videoProvisioner,32751,31, 1
1424767020153,videoProvisioner,35177,22, 1
1424767021105,videoProvisioner,28232,7, 1
1424767031231,videoProvisioner,30460,33, 1
1424767034840,videoProvisioner,26171,3, 1
1424767039602,videoProvisioner,23035,17, 1
1424767050730,videoProvisioner,27401,32, 1
1424767061807,videoProvisioner,31717,3, 1
1424767062759,videoProvisioner,25907,29, 1
1424767073285,videoProvisioner,29673,39, 1
1424767085816,videoProvisioner,15159,41, 1
1424767091179,videoProvisioner,27284,26, 1
1424767091380,videoProvisioner,34246,7, 1
1424767108723,videoProvisioner,11021,36, 1
1424767111029,videoProvisioner,33611,30, 1
1424767112583,videoProvisioner,28403,25, 1
1424767123811,videoProvisioner,19348,20, 1
1424767126067,videoProvisioner,35127,17, 1
1424767137595,videoProvisioner,26371,9, 1
1424767146467,videoProvisioner,96094,9, 1
1424767154788,videoProvisioner,30041,47, 1
1424767156041,videoProvisioner,24534,32, 1
1424767159901,videoProvisioner,21632,33, 1
1424767174638,videoProvisioner,29607,24, 1
1424767180904,videoProvisioner,29113,39, 1
1424767187420,videoProvisioner,28867,49, 1
1424767189125,videoProvisioner,71140,12, 1
1424767195792,videoProvisioner,30479,30, 1
1424767199652,videoProvisioner,27577,10, 1
1424767210079,videoProvisioner,31243,10, 1
1424767213187,videoProvisioner,27590,40, 1
1424767231733,videoProvisioner,32614,7, 1
1424767231884,videoProvisioner,39526,51, 1
1424767243162,videoProvisioner,30520,11, 1
1424767257699,videoProvisioner,31536,6, 1
1424767260105,videoProvisioner,20419,50, 1
1424767270732,videoProvisioner,37807,17, 1
1424767273388,videoProvisioner,26941,36, 1
1424767284867,videoProvisioner,78986,48, 1
1424767285519,videoProvisioner,66116,28, 1
1424767294291,videoProvisioner,27560,46, 1
1424767294492,videoProvisioner,34523,8, 1
1424767296998,videoProvisioner,23507,15, 1
1424767308077,videoProvisioner,27825,21, 1
1424767312038,videoProvisioner,25025,17, 1
1424767325271,videoProvisioner,72062,25, 1
1424767334995,videoProvisioner,34458,16, 1
1424767343115,videoProvisioner,35819,17, 1
1424767350835,videoProvisioner,30017,49, 1
1424767354995,videoProvisioner,28998,11, 1
1424767361111,videoProvisioner,29936,17, 1
1424767365973,videoProvisioner,29620,45, 1
1424767368880,videoProvisioner,11814,51, 1
1424767369131,videoProvisioner,27600,5, 1
1424767370134,videoProvisioner,76360,50, 1
1424767377453,videoProvisioner,25566,10, 1
1424767379659,videoProvisioner,32950,40, 1
1424767380211,videoProvisioner,66154,39, 1
1424767396505,videoProvisioner,29083,27, 1
1424767397307,videoProvisioner,35063,34, 1
1424767408836,videoProvisioner,31057,36, 1
1424767408937,videoProvisioner,36337,45, 1
1424767413097,videoProvisioner,30140,26, 1
1424767420666,videoProvisioner,32532,2, 1
1424767431243,videoProvisioner,22396,14, 1
1424767433047,videoProvisioner,39734,24, 1
1424767440065,videoProvisioner,26039,25, 1
1424767441920,videoProvisioner,22716,16, 1
1424767442371,videoProvisioner,43880,16, 1
1424767445981,videoProvisioner,42312,5, 1
1424767456657,videoProvisioner,27097,29, 1
1424767466431,videoProvisioner,31693,45, 1
1424767470491,videoProvisioner,30575,21, 1
1424767472196,videoProvisioner,21923,13, 1
1424767478411,videoProvisioner,22960,32, 1
1424767483574,videoProvisioner,38480,26, 1
1424767491644,videoProvisioner,31014,25, 1
1424767492797,videoProvisioner,26989,19, 1
1424767497308,videoProvisioner,26323,4, 1
1424767502321,videoProvisioner,77938,25, 1
1424767505028,videoProvisioner,23686,35, 1
1424767510543,videoProvisioner,34379,18, 1
1424767524378,videoProvisioner,27500,46, 1
1424767525882,videoProvisioner,34183,6, 1
1424767530794,videoProvisioner,28737,27, 1
1424767539867,videoProvisioner,32632,14, 1
1424767558063,videoProvisioner,30112,18, 1
1424767559266,videoProvisioner,26137,16, 1
1424767572801,videoProvisioner,86281,8, 1
1424767575006,videoProvisioner,31519,17, 1
1424767585583,videoProvisioner,21381,31, 1
1424767590545,videoProvisioner,72952,41, 1
1424767590897,videoProvisioner,78483,3, 1
1424767591599,videoProvisioner,37755,21, 1
1424767595309,videoProvisioner,72537,21, 1
1424767605283,videoProvisioner,25544,41, 1
1424767607188,videoProvisioner,32627,50, 1
1424767607289,videoProvisioner,68981,26, 1
1424767610647,videoProvisioner,15371,43, 1
1424767616161,videoProvisioner,26064,17, 1
1424767621323,videoProvisioner,36405,15, 1
1424767625133,videoProvisioner,24678,11, 1
1424767626637,videoProvisioner,77970,12, 1
1424767627589,videoProvisioner,68566,17, 1
1424767633304,videoProvisioner,27670,38, 1
1424767633455,videoProvisioner,64073,28, 1
1424767646238,videoProvisioner,14274,15, 1
1424767652252,videoProvisioner,30936,47, 1
1424767653205,videoProvisioner,15916,28, 1
1424767656414,videoProvisioner,29774,20, 1
1424767682833,videoProvisioner,66842,42, 1
1424767686492,videoProvisioner,75680,44, 1
1424767686893,videoProvisioner,33630,39, 1
1424767687294,videoProvisioner,28706,34, 1
1424767690903,videoProvisioner,42965,50, 1
1424767695114,videoProvisioner,31201,28, 1
1424767696368,videoProvisioner,27131,40, 1
1424767703836,videoProvisioner,29274,21, 1
1424767705641,videoProvisioner,25755,12, 1
1424767713009,videoProvisioner,70395,48, 1
1424767719174,videoProvisioner,33964,47, 1
1424767722282,videoProvisioner,31747,31, 1
1424767726844,videoProvisioner,30985,7, 1
1424767727646,videoProvisioner,26463,32, 1
1424767733210,videoProvisioner,26702,9, 1
1424767740929,videoProvisioner,23773,28, 1
1424767744288,videoProvisioner,32456,19, 1
1424767751055,videoProvisioner,28574,14, 1
1424767757571,videoProvisioner,13793,45, 1
1424767759626,videoProvisioner,31821,27, 1
