timestamp,reqType,service,rt,selflet,numberOfReqs 
1425285307164,LocalReqLocalExe,checkIfAvailable,1318,10,1
1425285308126,LocalReqLocalExe,downloadVideo,961,10,1
1425285308127,LocalReqLocalExe,getVideoResource,2281,10,1
1425285315422,LocalReqLocalExe,scaleVideo,7295,10,1
1425285315830,LocalReqLocalExe,transcodeVideo,408,10,1
1425285316038,LocalReqLocalExe,bitDepthReduction,208,10,1
1425285316038,LocalReqLocalExe,videoProvisioner,10194,10,1
1425285997753,LocalReqLocalExe,checkIfAvailable,304,10,1
1425285998726,LocalReqLocalExe,downloadVideo,972,10,1
1425285998726,LocalReqLocalExe,getVideoResource,1277,10,1
1425286017798,LocalReqLocalExe,scaleVideo,19071,10,1
1425286018125,LocalReqLocalExe,transcodeVideo,327,10,1
1425286018846,LocalReqLocalExe,bitDepthReduction,720,10,1
1425286019241,LocalReqLocalExe,checkIfSubtitlesAvailable,393,10,1
1425286022918,LocalReqLocalExe,checkIfSubtitlesExists,3676,10,1
1425286024150,LocalReqLocalExe,getDefaultSubtitle,1232,10,1
1425286024150,LocalReqLocalExe,getSubtitles,5303,10,1
1425286024629,LocalReqLocalExe,applySubtitles,478,10,1
1425286024630,LocalReqLocalExe,videoProvisioner,27182,10,1
1425286128785,LocalReqLocalExe,checkIfAvailable,1884,10,1
1425286128885,LocalReqLocalExe,downloadVideo,99,10,1
1425286128886,LocalReqLocalExe,getVideoResource,1985,10,1
1425286142615,LocalReqLocalExe,checkIfAvailable,180,10,1
1425286144878,LocalReqLocalExe,downloadVideo,2262,10,1
1425286144879,LocalReqLocalExe,getVideoResource,2445,10,1
1425286151442,LocalReqLocalExe,scaleVideo,22556,10,1
1425286152209,LocalReqLocalExe,transcodeVideo,767,10,1
1425286158337,LocalReqLocalExe,bitDepthReduction,6127,10,1
1425286158337,LocalReqLocalExe,videoProvisioner,31437,10,1
1425286211214,LocalReqLocalExe,scaleVideo,66334,10,1
1425286211774,LocalReqLocalExe,transcodeVideo,560,10,1
1425286214022,LocalReqLocalExe,bitDepthReduction,2248,10,1
1425286214022,LocalReqLocalExe,videoProvisioner,71588,10,1
1425286403410,LocalReqLocalExe,checkIfAvailable,662,10,1
1425286403538,LocalReqLocalExe,downloadVideo,128,10,1
1425286403538,LocalReqLocalExe,getVideoResource,790,10,1
1425286428398,LocalReqLocalExe,scaleVideo,24859,10,1
1425286431102,LocalReqLocalExe,transcodeVideo,2704,10,1
1425286434565,LocalReqLocalExe,bitDepthReduction,3463,10,1
1425286434566,LocalReqLocalExe,videoProvisioner,31819,10,1
1425287123986,LocalReqLocalExe,checkIfAvailable,233,10,1
1425287127154,LocalReqLocalExe,downloadVideo,3168,10,1
1425287127154,LocalReqLocalExe,getVideoResource,3402,10,1
1425287213186,LocalReqLocalExe,scaleVideo,86031,10,1
