timestamp,service,rt,selfletID,numberOfReqs 
1425285288017,videoProvisioner,29598,16, 1
1425285290375,videoProvisioner,31977,36, 1
1425285294486,videoProvisioner,12373,15, 1
1425285301003,videoProvisioner,26787,18, 1
1425285316042,videoProvisioner,10229,10, 1
1425285330378,videoProvisioner,40366,16, 1
1425285330830,videoProvisioner,9227,19, 1
1425285348075,videoProvisioner,81751,12, 1
1425285357752,videoProvisioner,28248,13, 1
1425285364170,videoProvisioner,26771,16, 1
1425285370022,videoProvisioner,16827,15, 1
1425285372479,videoProvisioner,27182,26, 1
1425285384761,videoProvisioner,71055,24, 1
1425285391528,videoProvisioner,93619,4, 1
1425285391980,videoProvisioner,30887,17, 1
1425285392080,videoProvisioner,23089,6, 1
1425285403309,videoProvisioner,26420,17, 1
1425285428172,videoProvisioner,35487,23, 1
1425285431882,videoProvisioner,31299,38, 1
1425285453186,videoProvisioner,28909,17, 1
1425285457798,videoProvisioner,73011,24, 1
1425285459001,videoProvisioner,26826,35, 1
1425285475544,videoProvisioner,35471,20, 1
1425285476697,videoProvisioner,28726,30, 1
1425285487625,videoProvisioner,79144,11, 1
1425285492688,videoProvisioner,76309,29, 1
1425285495345,videoProvisioner,31578,14, 1
1425285522716,videoProvisioner,35255,25, 1
1425285523468,videoProvisioner,12312,8, 1
1425285528381,videoProvisioner,72512,20, 1
1425285543921,videoProvisioner,72256,9, 1
1425285546076,videoProvisioner,42819,36, 1
1425285557006,videoProvisioner,30055,24, 1
1425285557658,videoProvisioner,38605,8, 1
1425285570189,videoProvisioner,90626,9, 1
1425285585077,videoProvisioner,89717,39, 1
1425285585628,videoProvisioner,42880,34, 1
1425285586882,videoProvisioner,28339,3, 1
1425285587985,videoProvisioner,37339,5, 1
1425285593298,videoProvisioner,27994,28, 1
1425285606934,videoProvisioner,28108,9, 1
1425285612549,videoProvisioner,26961,7, 1
1425285616459,videoProvisioner,24111,11, 1
1425285618865,videoProvisioner,19755,36, 1
1425285620018,videoProvisioner,85169,13, 1
1425285647085,videoProvisioner,34453,4, 1
1425285649391,videoProvisioner,29998,12, 1
1425285657460,videoProvisioner,24545,16, 1
1425285657611,videoProvisioner,31457,25, 1
1425285659816,videoProvisioner,87751,13, 1
1425285672648,videoProvisioner,26211,15, 1
1425285673751,videoProvisioner,34075,15, 1
1425285682622,videoProvisioner,29423,28, 1
1425285684527,videoProvisioner,78656,12, 1
1425285690943,videoProvisioner,30983,8, 1
1425285701670,videoProvisioner,28186,4, 1
1425285711093,videoProvisioner,24090,28, 1
1425285714953,videoProvisioner,34710,8, 1
1425285721970,videoProvisioner,28206,19, 1
1425285729289,videoProvisioner,28764,8, 1
1425285734953,videoProvisioner,27666,24, 1
1425285741870,videoProvisioner,75150,12, 1
1425285741921,videoProvisioner,27873,28, 1
1425285751294,videoProvisioner,30485,39, 1
1425285767534,videoProvisioner,26441,31, 1
1425285771644,videoProvisioner,23790,28, 1
1425285789187,videoProvisioner,34572,12, 1
1425285789438,videoProvisioner,21300,2, 1
1425285792445,videoProvisioner,31065,13, 1
1425285804375,videoProvisioner,76805,7, 1
1425285810339,videoProvisioner,21916,28, 1
1425285810791,videoProvisioner,29130,8, 1
1425285810841,videoProvisioner,35941,29, 1
1425285820615,videoProvisioner,86283,38, 1
1425285825377,videoProvisioner,30193,6, 1
1425285829738,videoProvisioner,27793,17, 1
1425285839812,videoProvisioner,24345,32, 1
1425285839812,videoProvisioner,31106,34, 1
1425285849887,videoProvisioner,27658,20, 1
1425285858558,videoProvisioner,29566,25, 1
1425285863019,videoProvisioner,27268,27, 1
1425285873845,videoProvisioner,31332,21, 1
1425285876305,videoProvisioner,27031,36, 1
1425285886630,videoProvisioner,30595,19, 1
1425285892996,videoProvisioner,25021,14, 1
1425285897106,videoProvisioner,34310,39, 1
1425285905427,videoProvisioner,32274,25, 1
1425285906580,videoProvisioner,28249,12, 1
1425285907633,videoProvisioner,13767,21, 1
1425285911994,videoProvisioner,23304,20, 1
1425285912946,videoProvisioner,29436,18, 1
1425285932494,videoProvisioner,33450,23, 1
1425285933146,videoProvisioner,23745,25, 1
1425285952544,videoProvisioner,27608,25, 1
1425285959060,videoProvisioner,23767,31, 1
1425285959161,videoProvisioner,29046,36, 1
1425285970638,videoProvisioner,24988,2, 1
1425285973095,videoProvisioner,22265,40, 1
1425285981214,videoProvisioner,25208,19, 1
1425285985725,videoProvisioner,45254,38, 1
1425285989585,videoProvisioner,69827,5, 1
1425285989986,videoProvisioner,75406,21, 1
1425285990287,videoProvisioner,86064,23, 1
1425285993044,videoProvisioner,26681,24, 1
1425285996202,videoProvisioner,35018,16, 1
1425286005775,videoProvisioner,29056,25, 1
1425286013594,videoProvisioner,31696,13, 1
1425286016401,videoProvisioner,29325,15, 1
1425286024671,videoProvisioner,27239,10, 1
1425286027127,videoProvisioner,19338,8, 1
1425286030686,videoProvisioner,28076,26, 1
1425286040961,videoProvisioner,69420,35, 1
1425286041362,videoProvisioner,23216,34, 1
1425286046725,videoProvisioner,23401,39, 1
1425286064769,videoProvisioner,36267,18, 1
1425286069731,videoProvisioner,25694,11, 1
1425286074543,videoProvisioner,40862,11, 1
1425286076598,videoProvisioner,27383,2, 1
1425286077450,videoProvisioner,85195,6, 1
1425286080608,videoProvisioner,41750,37, 1
1425286081912,videoProvisioner,27519,33, 1
1425286086573,videoProvisioner,73605,3, 1
1425286090282,videoProvisioner,30710,31, 1
1425286098903,videoProvisioner,34153,30, 1
1425286104567,videoProvisioner,19103,16, 1
1425286104768,videoProvisioner,34839,14, 1
1425286121508,videoProvisioner,30866,13, 1
1425286125768,videoProvisioner,24769,4, 1
1425286128876,videoProvisioner,33056,29, 1
1425286133588,videoProvisioner,27410,21, 1
1425286144514,videoProvisioner,33158,17, 1
1425286146920,videoProvisioner,71812,5, 1
1425286148073,videoProvisioner,26360,39, 1
