timestamp,reqType,service,rt,selflet,numberOfReqs 
1424871114092,LocalReqLocalExe,checkIfAvailable,296,100,1
1424871114378,LocalReqLocalExe,downloadVideo,284,100,1
1424871114378,LocalReqLocalExe,getVideoResource,583,100,1
1424871138970,LocalReqLocalExe,scaleVideo,24591,100,1
1424871141170,LocalReqLocalExe,transcodeVideo,2200,100,1
1424871143222,LocalReqLocalExe,bitDepthReduction,2052,100,1
1424871143222,LocalReqLocalExe,videoProvisioner,29428,100,1
1424871168214,LocalReqLocalExe,checkIfAvailable,82,100,1
1424871168402,LocalReqLocalExe,downloadVideo,188,100,1
1424871168402,LocalReqLocalExe,getVideoResource,270,100,1
1424871194774,LocalReqLocalExe,scaleVideo,26371,100,1
1424871194994,LocalReqLocalExe,transcodeVideo,220,100,1
1424871198250,LocalReqLocalExe,bitDepthReduction,3256,100,1
1424871199142,LocalReqLocalExe,checkIfSubtitlesAvailable,890,100,1
1424871199530,LocalReqLocalExe,checkIfSubtitlesExists,388,100,1
1424871200566,LocalReqLocalExe,getDefaultSubtitle,1036,100,1
1424871200906,LocalReqLocalExe,translateSubtitleToLanguage,339,100,1
1424871200906,LocalReqLocalExe,getSubtitles,2655,100,1
1424871200961,LocalReqLocalExe,applySubtitles,54,100,1
1424871200962,LocalReqLocalExe,videoProvisioner,32831,100,1
1424871220406,LocalReqLocalExe,checkIfAvailable,810,100,1
1424871224074,LocalReqLocalExe,downloadVideo,3668,100,1
1424871224074,LocalReqLocalExe,getVideoResource,4479,100,1
1424871248178,LocalReqLocalExe,scaleVideo,24103,100,1
1424871248377,LocalReqLocalExe,transcodeVideo,199,100,1
1424871249202,LocalReqLocalExe,bitDepthReduction,824,100,1
1424871249989,LocalReqLocalExe,checkIfSubtitlesAvailable,786,100,1
1424871250942,LocalReqLocalExe,checkIfSubtitlesExists,952,100,1
1424871251894,LocalReqLocalExe,getDefaultSubtitle,951,100,1
1424871253202,LocalReqLocalExe,translateSubtitleToLanguage,1308,100,1
1424871253202,LocalReqLocalExe,getSubtitles,4000,100,1
1424871254382,LocalReqLocalExe,applySubtitles,1179,100,1
1424871254382,LocalReqLocalExe,videoProvisioner,34787,100,1
1424871280262,LocalReqLocalExe,checkIfAvailable,827,100,1
1424871282522,LocalReqLocalExe,downloadVideo,2260,100,1
1424871282522,LocalReqLocalExe,getVideoResource,3087,100,1
1424871308402,LocalReqLocalExe,scaleVideo,25879,100,1
1424871308614,LocalReqLocalExe,transcodeVideo,212,100,1
1424871308934,LocalReqLocalExe,bitDepthReduction,320,100,1
1424871308934,LocalReqLocalExe,videoProvisioner,29500,100,1
1424871487030,LocalReqLocalExe,checkIfAvailable,1489,100,1
1424871487258,LocalReqLocalExe,downloadVideo,228,100,1
1424871487258,LocalReqLocalExe,getVideoResource,1718,100,1
1424871509358,LocalReqLocalExe,scaleVideo,22099,100,1
1424871509830,LocalReqLocalExe,transcodeVideo,472,100,1
1424871510026,LocalReqLocalExe,bitDepthReduction,195,100,1
1424871510026,LocalReqLocalExe,videoProvisioner,24486,100,1
1424871609041,LocalReqLocalExe,checkIfAvailable,21,100,1
1424871613234,LocalReqLocalExe,downloadVideo,4192,100,1
1424871613234,LocalReqLocalExe,getVideoResource,4215,100,1
1424871632810,LocalReqLocalExe,scaleVideo,19575,100,1
1424871633218,LocalReqLocalExe,transcodeVideo,408,100,1
1424871636857,LocalReqLocalExe,bitDepthReduction,3639,100,1
1424871636858,LocalReqLocalExe,videoProvisioner,27840,100,1
1424871758801,LocalReqLocalExe,checkIfAvailable,421,100,1
1424871759662,LocalReqLocalExe,downloadVideo,860,100,1
1424871759662,LocalReqLocalExe,getVideoResource,1283,100,1
1424871784502,LocalReqLocalExe,scaleVideo,24839,100,1
1424871784650,LocalReqLocalExe,transcodeVideo,148,100,1
1424871787916,LocalReqLocalExe,bitDepthReduction,3266,100,1
1424871787917,LocalReqLocalExe,videoProvisioner,29538,100,1
1424871951966,LocalReqLocalExe,checkIfAvailable,313,100,1
1424871955378,LocalReqLocalExe,downloadVideo,3411,100,1
1424871955378,LocalReqLocalExe,getVideoResource,3726,100,1
1424871979486,LocalReqLocalExe,scaleVideo,24107,100,1
1424871979985,LocalReqLocalExe,transcodeVideo,499,100,1
1424871980574,LocalReqLocalExe,bitDepthReduction,588,100,1
1424871980574,LocalReqLocalExe,videoProvisioner,28922,100,1
1424872346314,LocalReqLocalExe,checkIfAvailable,408,100,1
1424872346766,LocalReqLocalExe,downloadVideo,452,100,1
1424872346766,LocalReqLocalExe,getVideoResource,861,100,1
1424872354562,LocalReqLocalExe,scaleVideo,7795,100,1
1424872356758,LocalReqLocalExe,transcodeVideo,2196,100,1
1424872357906,LocalReqLocalExe,bitDepthReduction,1148,100,1
1424872357906,LocalReqLocalExe,videoProvisioner,12001,100,1
1424872450578,LocalReqLocalExe,checkIfAvailable,1144,100,1
1424872451498,LocalReqLocalExe,downloadVideo,920,100,1
1424872451498,LocalReqLocalExe,getVideoResource,2065,100,1
1424872474590,LocalReqLocalExe,scaleVideo,23091,100,1
1424872474641,LocalReqLocalExe,transcodeVideo,51,100,1
1424872475282,LocalReqLocalExe,bitDepthReduction,640,100,1
1424872475282,LocalReqLocalExe,videoProvisioner,25849,100,1
1424872817370,LocalReqLocalExe,checkIfAvailable,1048,100,1
1424872820630,LocalReqLocalExe,downloadVideo,3260,100,1
1424872820630,LocalReqLocalExe,getVideoResource,4309,100,1
1424872845470,LocalReqLocalExe,scaleVideo,24839,100,1
1424872845561,LocalReqLocalExe,transcodeVideo,91,100,1
1424872848225,LocalReqLocalExe,bitDepthReduction,2663,100,1
1424872848226,LocalReqLocalExe,videoProvisioner,31905,100,1
1424872853605,LocalReqLocalExe,checkIfAvailable,431,100,1
1424872853773,LocalReqLocalExe,downloadVideo,167,100,1
1424872853774,LocalReqLocalExe,getVideoResource,601,100,1
1424872878614,LocalReqLocalExe,scaleVideo,24840,100,1
1424872879802,LocalReqLocalExe,transcodeVideo,1188,100,1
1424872880402,LocalReqLocalExe,bitDepthReduction,600,100,1
1424872880858,LocalReqLocalExe,checkIfSubtitlesAvailable,455,100,1
1424872883042,LocalReqLocalExe,checkIfSubtitlesExists,2184,100,1
1424872883042,LocalReqLocalExe,getSubtitles,2640,100,1
1424872883754,LocalReqLocalExe,applySubtitles,711,100,1
1424872883754,LocalReqLocalExe,videoProvisioner,30581,100,1
1424872977689,LocalReqLocalExe,checkIfAvailable,146,100,1
1424872977797,LocalReqLocalExe,downloadVideo,107,100,1
1424872977798,LocalReqLocalExe,getVideoResource,255,100,1
1424872998125,LocalReqLocalExe,scaleVideo,20327,100,1
1424872998537,LocalReqLocalExe,transcodeVideo,411,100,1
1424873000525,LocalReqLocalExe,bitDepthReduction,1987,100,1
1424873000526,LocalReqLocalExe,videoProvisioner,22984,100,1
1424873230173,LocalReqLocalExe,checkIfAvailable,230,100,1
1424873231042,LocalReqLocalExe,downloadVideo,868,100,1
1424873231042,LocalReqLocalExe,getVideoResource,1100,100,1
1424873294006,LocalReqLocalExe,scaleVideo,62963,100,1
1424873294549,LocalReqLocalExe,transcodeVideo,543,100,1
1424873296217,LocalReqLocalExe,bitDepthReduction,1667,100,1
1424873296218,LocalReqLocalExe,videoProvisioner,66276,100,1
1424873412921,LocalReqLocalExe,checkIfAvailable,3503,100,1
