timestamp,reqType,service,rt,numberOfReqs 
1422301120884,local,checkIfAvailable,1906,1
1422301129535,local,downloadVideo,8647,1
1422301129536,local,getVideoResource,10559,1
1422301131132,local,checkIfAvailable,238,1
1422301135596,local,downloadVideo,4463,1
1422301135597,local,getVideoResource,4704,1
1422301136075,local,checkIfAvailable,3465,1
1422301138699,local,downloadVideo,2622,1
1422301138699,local,getVideoResource,6101,1
1422301143336,local,checkIfAvailable,507,1
1422301148452,local,downloadVideo,5115,1
1422301148454,local,getVideoResource,5627,1
1422301187426,local,scaleVideo,51828,1
1422301188442,local,transcodeVideo,1015,1
1422301190260,local,bitDepthReduction,1817,1
1422301190260,local,videoProvisioner,59368,1
1422301190573,local,scaleVideo,61036,1
1422301190722,local,transcodeVideo,147,1
1422301196064,local,bitDepthReduction,5341,1
1422301196065,local,videoProvisioner,77089,1
1422301196317,local,scaleVideo,47862,1
1422301196354,local,transcodeVideo,36,1
1422301198338,local,bitDepthReduction,1983,1
1422301198339,local,videoProvisioner,55513,1
1422301258814,local,scaleVideo,120113,1
1422301259642,local,transcodeVideo,827,1
1422301261430,local,bitDepthReduction,1787,1
1422301261431,local,videoProvisioner,128834,1
1422301416134,local,checkIfAvailable,139,1
1422301417210,local,downloadVideo,1075,1
1422301417211,local,getVideoResource,1216,1
1422301468403,local,checkIfAvailable,1803,1
1422301469070,local,downloadVideo,666,1
1422301469072,local,getVideoResource,2473,1
1422301479307,local,scaleVideo,62096,1
1422301481454,local,transcodeVideo,2146,1
1422301482781,local,bitDepthReduction,1327,1
1422301482870,local,checkIfSubtitlesAvailable,87,1
1422301485606,local,checkIfSubtitlesExists,2735,1
1422301485716,local,getDefaultSubtitle,109,1
1422301485717,local,getSubtitles,2935,1
1422301487022,local,applySubtitles,1304,1
1422301487022,local,videoProvisioner,71028,1
1422301493918,local,scaleVideo,24845,1
1422301496110,local,transcodeVideo,2191,1
1422301496250,local,bitDepthReduction,139,1
1422301496702,local,checkIfSubtitlesAvailable,450,1
1422301497650,local,checkIfSubtitlesExists,947,1
1422301498470,local,getDefaultSubtitle,819,1
1422301498471,local,getSubtitles,2220,1
1422301498802,local,applySubtitles,330,1
1422301498803,local,videoProvisioner,32205,1
1422301776818,local,checkIfAvailable,680,1
1422301779150,local,downloadVideo,2331,1
1422301779151,local,getVideoResource,3013,1
1422301803746,local,scaleVideo,24594,1
1422301804158,local,transcodeVideo,411,1
1422301804906,local,bitDepthReduction,747,1
1422301804907,local,videoProvisioner,28770,1
1422301859722,remote,transcodeVideo,81,1
1422301863914,local,checkIfAvailable,1371,1
1422301865198,local,downloadVideo,1282,1
1422301865199,local,getVideoResource,2656,1
1422301893306,local,scaleVideo,28106,1
1422301893698,local,transcodeVideo,391,1
1422301894394,local,bitDepthReduction,695,1
1422301894395,local,videoProvisioner,31853,1
1422301959614,local,checkIfAvailable,237,1
1422301965998,local,downloadVideo,6383,1
1422301965999,local,getVideoResource,6622,1
1422301978071,local,checkIfAvailable,316,1
1422301979745,local,downloadVideo,1673,1
1422301979746,local,getVideoResource,1991,1
1422301987899,local,scaleVideo,21899,1
1422301988700,local,transcodeVideo,800,1
1422301990958,local,bitDepthReduction,2257,1
1422301990959,local,videoProvisioner,31583,1
1422302003438,local,checkIfAvailable,412,1
1422302004742,local,downloadVideo,1302,1
1422302004742,local,getVideoResource,1718,1
1422302016828,local,scaleVideo,37081,1
1422302017689,local,transcodeVideo,860,1
1422302018071,local,bitDepthReduction,380,1
1422302018227,local,checkIfSubtitlesAvailable,154,1
1422302019289,local,checkIfSubtitlesExists,1061,1
1422302019362,local,getDefaultSubtitle,72,1
1422302019653,local,translateSubtitleToLanguage,290,1
1422302019654,local,getSubtitles,1582,1
1422302023841,local,applySubtitles,4186,1
1422302023842,local,videoProvisioner,46088,1
1422302027986,local,scaleVideo,23243,1
1422302030074,local,transcodeVideo,2087,1
1422302031466,local,bitDepthReduction,1391,1
1422302031467,local,videoProvisioner,28443,1
1422302063958,local,checkIfAvailable,1205,1
1422302065178,local,downloadVideo,1218,1
1422302065181,local,getVideoResource,2429,1
1422302089278,local,scaleVideo,24096,1
1422302090034,local,transcodeVideo,755,1
1422302091398,local,bitDepthReduction,1363,1
1422302091399,local,videoProvisioner,28647,1
1422302185902,local,checkIfAvailable,3624,1
1422302186474,local,downloadVideo,571,1
1422302186475,local,getVideoResource,4198,1
1422302237694,local,checkIfAvailable,75,1
1422302238331,local,downloadVideo,636,1
1422302238331,local,getVideoResource,713,1
1422302255259,local,scaleVideo,68784,1
1422302257796,local,transcodeVideo,2535,1
1422302258791,local,bitDepthReduction,994,1
1422302262774,local,checkIfSubtitlesAvailable,3981,1
1422302264115,local,checkIfSubtitlesExists,1340,1
1422302265154,local,getDefaultSubtitle,1038,1
1422302265154,local,getSubtitles,6362,1
1422302265697,local,scaleVideo,27365,1
1422302266229,local,transcodeVideo,531,1
1422302266599,local,bitDepthReduction,369,1
1422302266600,local,videoProvisioner,28982,1
1422302266630,local,applySubtitles,1475,1
1422302266631,local,videoProvisioner,84354,1
1422302292350,local,checkIfAvailable,854,1
1422302295634,local,downloadVideo,3283,1
1422302295635,local,getVideoResource,4139,1
1422302315474,local,scaleVideo,19839,1
1422302318414,local,transcodeVideo,2939,1
1422302319662,local,bitDepthReduction,1247,1
1422302319663,local,videoProvisioner,28168,1
1422302336586,local,checkIfAvailable,191,1
1422302339646,local,downloadVideo,3059,1
1422302339647,local,getVideoResource,3252,1
1422302342910,local,checkIfAvailable,528,1
1422302343120,local,downloadVideo,209,1
1422302343120,local,getVideoResource,739,1
1422302364955,local,scaleVideo,25308,1
1422302367059,local,transcodeVideo,2103,1
1422302367299,local,scaleVideo,24178,1
1422302368171,local,bitDepthReduction,1111,1
1422302368171,local,videoProvisioner,31777,1
1422302368702,local,transcodeVideo,1402,1
1422302369290,local,bitDepthReduction,587,1
1422302369291,local,videoProvisioner,26911,1
1422302399602,local,checkIfAvailable,350,1
1422302400190,local,downloadVideo,587,1
1422302400191,local,getVideoResource,939,1
1422302424286,local,scaleVideo,24095,1
1422302424398,local,transcodeVideo,111,1
1422302427546,local,bitDepthReduction,3147,1
1422302427547,local,videoProvisioner,28296,1
1422302521410,local,checkIfAvailable,1126,1
1422302522342,local,downloadVideo,931,1
1422302522343,local,getVideoResource,2060,1
1422302544930,local,scaleVideo,22587,1
1422302545550,local,transcodeVideo,619,1
1422302545762,local,bitDepthReduction,211,1
1422302545763,local,videoProvisioner,25480,1
1422302637994,local,checkIfAvailable,1847,1
1422302638202,local,downloadVideo,207,1
1422302638203,local,getVideoResource,2057,1
1422302640194,local,checkIfAvailable,8304,1
1422302640391,local,downloadVideo,192,1
1422302640391,local,getVideoResource,8502,1
1422302655289,local,downloadVideo,5973,1
1422302655290,local,getVideoResource,6269,1
1422302673902,local,scaleVideo,35699,1
1422302674864,local,transcodeVideo,959,1
1422302677132,local,bitDepthReduction,2267,1
1422302677133,local,videoProvisioner,40987,1
1422302679417,local,scaleVideo,39025,1
1422302679984,local,transcodeVideo,562,1
1422302680064,local,bitDepthReduction,79,1
1422302680064,local,videoProvisioner,48175,1
1422302694086,local,scaleVideo,38795,1
1422302695738,local,transcodeVideo,1651,1
1422302700362,local,bitDepthReduction,4623,1
1422302700363,local,videoProvisioner,51343,1
1422302722670,local,checkIfAvailable,698,1
1422302723086,local,downloadVideo,415,1
1422302723087,local,getVideoResource,1116,1
1422302745922,local,scaleVideo,22835,1
1422302748218,local,transcodeVideo,2295,1
1422302749078,local,bitDepthReduction,859,1
1422302749079,local,videoProvisioner,27108,1
1422302870650,local,checkIfAvailable,2189,1
1422302871290,local,downloadVideo,639,1
1422302871291,local,getVideoResource,2831,1
1422302879223,local,checkIfAvailable,2081,1
1422302879328,local,downloadVideo,104,1
1422302879328,local,getVideoResource,2187,1
1422302889571,local,checkIfAvailable,8086,1
1422302893055,local,downloadVideo,3483,1
1422302893056,local,getVideoResource,11575,1
1422302909727,local,scaleVideo,38436,1
1422302912543,local,transcodeVideo,2815,1
1422302915528,local,bitDepthReduction,2984,1
1422302918247,local,checkIfSubtitlesAvailable,2706,1
1422302918953,local,checkIfSubtitlesExists,705,1
