timestamp,selfletID,service,numberOfReqs 
1422347505057, 4, videoProvisioner, 1
1422347505079, 3, videoProvisioner, 1
1422347512985, 2, videoProvisioner, 1
1422347520876, 4, videoProvisioner, 1
1422347528775, 4, videoProvisioner, 1
1422347536673, 2, videoProvisioner, 1
1422347544572, 2, videoProvisioner, 1
1422347552470, 3, videoProvisioner, 1
1422347560368, 3, videoProvisioner, 1
1422347568267, 2, videoProvisioner, 1
1422347576165, 4, videoProvisioner, 1
1422347584063, 4, videoProvisioner, 1
1422347591961, 4, videoProvisioner, 1
1422347599859, 2, videoProvisioner, 1
1422347607757, 3, videoProvisioner, 1
1422347615657, 4, videoProvisioner, 1
1422347623555, 4, videoProvisioner, 1
1422347631453, 4, videoProvisioner, 1
1422347639351, 2, videoProvisioner, 1
1422347647249, 2, videoProvisioner, 1
1422347655147, 4, videoProvisioner, 1
1422347663046, 2, videoProvisioner, 1
1422347670944, 2, videoProvisioner, 1
1422347678843, 4, videoProvisioner, 1
1422347686741, 3, videoProvisioner, 1
1422347694639, 3, videoProvisioner, 1
1422347702538, 3, videoProvisioner, 1
1422347710436, 4, videoProvisioner, 1
1422347718334, 2, videoProvisioner, 1
1422347726262, 4, videoProvisioner, 1
1422347734131, 2, videoProvisioner, 1
1422347742029, 4, videoProvisioner, 1
1422347749927, 4, videoProvisioner, 1
1422347757825, 2, videoProvisioner, 1
1422347765724, 3, videoProvisioner, 1
1422347773622, 3, videoProvisioner, 1
1422347781520, 3, videoProvisioner, 1
1422347789418, 3, videoProvisioner, 1
1422347797317, 3, videoProvisioner, 1
1422347805215, 2, videoProvisioner, 1
1422347811976, 4, videoProvisioner, 1
1422347818738, 4, videoProvisioner, 1
1422347825499, 3, videoProvisioner, 1
1422347832260, 5, videoProvisioner, 1
1422347839022, 3, videoProvisioner, 1
1422347845783, 4, videoProvisioner, 1
1422347852545, 4, videoProvisioner, 1
1422347859306, 2, videoProvisioner, 1
1422347866067, 2, videoProvisioner, 1
1422347872828, 4, videoProvisioner, 1
1422347879590, 5, videoProvisioner, 1
1422347886351, 5, videoProvisioner, 1
1422347893113, 7, videoProvisioner, 1
1422347899873, 5, videoProvisioner, 1
1422347906634, 4, videoProvisioner, 1
1422347913396, 2, videoProvisioner, 1
1422347920157, 5, videoProvisioner, 1
1422347926919, 7, videoProvisioner, 1
1422347933679, 5, videoProvisioner, 1
1422347940441, 5, videoProvisioner, 1
1422347947204, 7, videoProvisioner, 1
1422347953963, 7, videoProvisioner, 1
1422347960725, 2, videoProvisioner, 1
1422347967486, 6, videoProvisioner, 1
1422347974248, 7, videoProvisioner, 1
1422347981009, 5, videoProvisioner, 1
1422347981014, 5, videoProvisioner, 1
1422347987776, 3, videoProvisioner, 1
1422347994537, 3, videoProvisioner, 1
1422348001298, 3, videoProvisioner, 1
1422348008060, 2, videoProvisioner, 1
1422348014821, 7, videoProvisioner, 1
1422348021583, 6, videoProvisioner, 1
1422348028343, 6, videoProvisioner, 1
1422348035105, 3, videoProvisioner, 1
1422348041868, 6, videoProvisioner, 1
1422348048628, 4, videoProvisioner, 1
1422348055389, 6, videoProvisioner, 1
1422348062151, 4, videoProvisioner, 1
1422348068911, 6, videoProvisioner, 1
1422348075673, 2, videoProvisioner, 1
1422348082434, 2, videoProvisioner, 1
1422348089195, 2, videoProvisioner, 1
1422348095957, 3, videoProvisioner, 1
1422348102718, 3, videoProvisioner, 1
1422348109480, 4, videoProvisioner, 1
1422348114658, 5, videoProvisioner, 1
1422348119836, 3, videoProvisioner, 1
1422348125015, 3, videoProvisioner, 1
1422348130193, 3, videoProvisioner, 1
1422348135371, 5, videoProvisioner, 1
1422348140550, 7, videoProvisioner, 1
1422348145729, 2, videoProvisioner, 1
1422348150907, 4, videoProvisioner, 1
1422348156085, 7, videoProvisioner, 1
1422348161263, 7, videoProvisioner, 1
1422348166442, 3, videoProvisioner, 1
1422348171619, 5, videoProvisioner, 1
1422348176797, 2, videoProvisioner, 1
1422348181977, 8, videoProvisioner, 1
1422348187154, 5, videoProvisioner, 1
1422348192333, 4, videoProvisioner, 1
1422348197511, 5, videoProvisioner, 1
1422348202690, 8, videoProvisioner, 1
1422348207868, 2, videoProvisioner, 1
1422348213046, 4, videoProvisioner, 1
1422348218225, 7, videoProvisioner, 1
1422348223403, 8, videoProvisioner, 1
1422348228605, 8, videoProvisioner, 1
1422348233759, 6, videoProvisioner, 1
1422348238938, 8, videoProvisioner, 1
1422348244116, 7, videoProvisioner, 1
1422348249295, 8, videoProvisioner, 1
1422348254472, 6, videoProvisioner, 1
1422348259651, 5, videoProvisioner, 1
1422348264830, 6, videoProvisioner, 1
1422348270008, 9, videoProvisioner, 1
1422348275186, 8, videoProvisioner, 1
1422348280364, 6, videoProvisioner, 1
1422348285543, 8, videoProvisioner, 1
1422348290721, 5, videoProvisioner, 1
1422348295899, 6, videoProvisioner, 1
1422348301077, 9, videoProvisioner, 1
1422348306256, 7, videoProvisioner, 1
1422348311434, 9, videoProvisioner, 1
1422348316612, 3, videoProvisioner, 1
1422348321791, 10, videoProvisioner, 1
1422348326969, 10, videoProvisioner, 1
1422348332147, 9, videoProvisioner, 1
1422348337325, 9, videoProvisioner, 1
1422348342503, 8, videoProvisioner, 1
1422348347682, 2, videoProvisioner, 1
1422348352861, 5, videoProvisioner, 1
1422348358039, 9, videoProvisioner, 1
1422348363218, 6, videoProvisioner, 1
1422348368396, 8, videoProvisioner, 1
1422348373574, 3, videoProvisioner, 1
1422348378752, 7, videoProvisioner, 1
1422348383930, 9, videoProvisioner, 1
1422348389108, 3, videoProvisioner, 1
1422348394287, 6, videoProvisioner, 1
1422348399465, 8, videoProvisioner, 1
1422348404643, 8, videoProvisioner, 1
1422348409822, 8, videoProvisioner, 1
1422348415146, 9, videoProvisioner, 1
1422348420470, 7, videoProvisioner, 1
1422348425795, 8, videoProvisioner, 1
1422348431118, 4, videoProvisioner, 1
1422348436443, 3, videoProvisioner, 1
1422348441767, 8, videoProvisioner, 1
1422348447092, 5, videoProvisioner, 1
1422348452416, 4, videoProvisioner, 1
