timestamp,service,rt,selfletID,numberOfReqs 
1423142449869,videoProvisioner,25617,3, 1
1423142483653,videoProvisioner,51509,2, 1
1423142507461,videoProvisioner,67419,2, 1
1423142510769,videoProvisioner,39133,3, 1
1423142517035,videoProvisioner,100235,3, 1
1423142518238,videoProvisioner,30806,4, 1
1423142527362,videoProvisioner,79422,2, 1
1423142544204,videoProvisioner,33075,4, 1
1423142560293,videoProvisioner,57064,3, 1
1423142560594,videoProvisioner,81060,4, 1
1423142571420,videoProvisioner,44497,3, 1
1423142597834,videoProvisioner,102504,3, 1
1423142617933,videoProvisioner,98908,2, 1
1423142633319,videoProvisioner,74803,4, 1
1423142660836,videoProvisioner,126015,2, 1
1423142665547,videoProvisioner,51743,4, 1
1423142687049,videoProvisioner,144329,2, 1
1423142691109,videoProvisioner,45712,3, 1
1423142696322,videoProvisioner,240483,2, 1
1423142699980,videoProvisioner,149361,2, 1
1423142703841,videoProvisioner,113732,4, 1
1423142712062,videoProvisioner,58767,3, 1
1423142716072,videoProvisioner,110167,4, 1
1423142723891,videoProvisioner,125884,2, 1
1423142735268,videoProvisioner,97770,3, 1
1423142751507,videoProvisioner,74518,2, 1
1423142753562,videoProvisioner,123962,2, 1
1423142754414,videoProvisioner,93221,2, 1
1423142764539,videoProvisioner,95448,3, 1
1423142765091,videoProvisioner,27189,3, 1
1423142765642,videoProvisioner,301905,2, 1
1423142774664,videoProvisioner,152962,2, 1
1423142782734,videoProvisioner,58355,2, 1
1423142796318,videoProvisioner,65177,2, 1
1423142810352,videoProvisioner,25122,6, 1
1423142825340,videoProvisioner,46871,2, 1
1423142837921,videoProvisioner,25646,5, 1
1423142842383,videoProvisioner,50391,2, 1
1423142846743,videoProvisioner,146059,4, 1
1423142851155,videoProvisioner,142573,2, 1
1423142853911,videoProvisioner,161125,2, 1
1423142857571,videoProvisioner,25013,7, 1
1423142863485,videoProvisioner,297071,4, 1
1423142867545,videoProvisioner,28225,6, 1
1423142869450,videoProvisioner,70697,2, 1
1423142872007,videoProvisioner,19165,3, 1
1423142872157,videoProvisioner,155676,2, 1
1423142875465,videoProvisioner,49667,2, 1
1423142878674,videoProvisioner,32592,5, 1
1423142889645,videoProvisioner,30042,5, 1
1423142894707,videoProvisioner,28342,3, 1
1423142901023,videoProvisioner,27897,7, 1
1423142909093,videoProvisioner,326882,4, 1
1423142910948,videoProvisioner,31061,5, 1
1423142917615,videoProvisioner,30967,7, 1
1423142920773,videoProvisioner,13841,3, 1
1423142922878,videoProvisioner,29468,6, 1
1423142930648,videoProvisioner,30477,5, 1
1423142945384,videoProvisioner,24929,5, 1
1423142950547,videoProvisioner,16570,2, 1
1423142954507,videoProvisioner,148993,4, 1
1423142965935,videoProvisioner,214511,2, 1
1423142974506,videoProvisioner,229843,2, 1
1423142975509,videoProvisioner,21248,7, 1
1423142979118,videoProvisioner,404806,4, 1
1423142985333,videoProvisioner,220387,2, 1
1423142991047,videoProvisioner,219339,4, 1
1423142995909,videoProvisioner,68693,3, 1
1423143005383,videoProvisioner,320495,4, 1
1423143007087,videoProvisioner,248902,2, 1
1423143011448,videoProvisioner,43665,2, 1
1423143011950,videoProvisioner,37405,3, 1
1423143013804,videoProvisioner,25737,4, 1
1423143016662,videoProvisioner,35356,7, 1
1423143027239,videoProvisioner,32411,5, 1
1423143034707,videoProvisioner,26356,6, 1
1423143036562,videoProvisioner,122869,4, 1
1423143044632,videoProvisioner,97132,4, 1
1423143049293,videoProvisioner,47703,2, 1
1423143052201,videoProvisioner,25150,7, 1
1423143055759,videoProvisioner,115021,2, 1
1423143056361,videoProvisioner,95339,7, 1
1423143057113,videoProvisioner,42002,2, 1
1423143066086,videoProvisioner,23499,3, 1
1423143077414,videoProvisioner,8937,3, 1
1423143081976,videoProvisioner,49746,4, 1
1423143094406,videoProvisioner,275369,4, 1
1423143105834,videoProvisioner,16644,2, 1
1423143105885,videoProvisioner,32230,2, 1
1423143106788,videoProvisioner,27954,3, 1
1423143110497,videoProvisioner,26485,6, 1
1423143112302,videoProvisioner,49004,4, 1
1423143130807,videoProvisioner,20904,4, 1
1423143132161,videoProvisioner,32614,4, 1
1423143135720,videoProvisioner,41351,4, 1
1423143135771,videoProvisioner,31046,2, 1
1423143138428,videoProvisioner,85484,5, 1
1423143141536,videoProvisioner,26455,2, 1
1423143146148,videoProvisioner,98384,5, 1
1423143147602,videoProvisioner,22163,3, 1
1423143149958,videoProvisioner,112550,5, 1
1423143155272,videoProvisioner,97151,5, 1
1423143159984,videoProvisioner,29368,4, 1
1423143166249,videoProvisioner,30455,6, 1
1423143170860,videoProvisioner,29887,7, 1
1423143179030,videoProvisioner,22523,4, 1
1423143180835,videoProvisioner,34684,7, 1
1423143187802,videoProvisioner,165929,5, 1
1423143189607,videoProvisioner,27922,3, 1
1423143207149,videoProvisioner,35107,3, 1
1423143209856,videoProvisioner,32636,6, 1
1423143212412,videoProvisioner,45548,5, 1
1423143213415,videoProvisioner,31017,4, 1
1423143217275,videoProvisioner,97014,5, 1
1423143224141,videoProvisioner,26208,8, 1
1423143237924,videoProvisioner,34813,2, 1
1423143243338,videoProvisioner,92009,5, 1
1423143245443,videoProvisioner,21619,6, 1
1423143245493,videoProvisioner,57916,5, 1
1423143256571,videoProvisioner,27569,4, 1
1423143266946,videoProvisioner,32765,3, 1
1423143271407,videoProvisioner,32048,3, 1
1423143272059,videoProvisioner,11987,2, 1
1423143274064,videoProvisioner,29527,2, 1
1423143274966,videoProvisioner,25250,8, 1
1423143282585,videoProvisioner,89830,5, 1
1423143286143,videoProvisioner,31249,8, 1
1423143288700,videoProvisioner,23450,4, 1
1423143292609,videoProvisioner,84320,5, 1
1423143301681,videoProvisioner,88213,5, 1
1423143308348,videoProvisioner,89702,5, 1
1423143313009,videoProvisioner,37402,4, 1
1423143320278,videoProvisioner,29135,5, 1
1423143321832,videoProvisioner,35868,9, 1
1423143323686,videoProvisioner,42900,6, 1
1423143326142,videoProvisioner,55713,6, 1
1423143327596,videoProvisioner,26098,4, 1
1423143336718,videoProvisioner,40398,7, 1
1423143339024,videoProvisioner,27169,8, 1
1423143346292,videoProvisioner,13286,4, 1
1423143351354,videoProvisioner,28997,10, 1
1423143355013,videoProvisioner,48337,6, 1
