timestamp,selflet,started,ended,lifetime 
1424279232562,100,1424276216661,1424279232562,3015901
1424279173450,101,1424276467712,1424279173450,2705738
1424268727793,10,1424266022059,1424268727792,2705733
1424279182605,102,1424276476818,1424279182604,2705786
1424279507887,103,1424276492079,1424279507886,3015807
1424279479828,104,1424276774161,1424279479828,2705667
1424279791754,105,1424276775965,1424279791754,3015789
1424279542529,106,1424276836859,1424279542528,2705669
1424279789605,107,1424277083926,1424279789605,2705679
1424280105145,108,1424277099267,1424280105145,3005878
1424279818957,109,1424277113275,1424279818957,2705682
1424283691725,110,1424277388798,1424283691725,6302927
1424280717396,111,1424277401424,1424280717396,3315972
1424269864801,11,1424266278624,1424269864801,3586177
1424280403593,113,1424277697951,1424280403593,2705642
1424280411699,114,1424277706031,1424280411699,2705668
1424280426778,115,1424277721098,1424280426778,2705680
1424281032406,116,1424278016607,1424281032406,3015799
1424280758252,117,1424278052620,1424280758252,2705632
1424280765581,118,1424278059915,1424280765581,2705666
1424269393865,12,1424266317837,1424269393865,3076028
1424269115510,13,1424266349731,1424269115509,2765778
1424269687790,14,1424266611895,1424269687790,3075895
1424269388821,15,1424266633065,1424269388821,2755756
1424270091386,16,1424266685273,1424270091386,3406113
1424281038517,17,1424266922171,1424281038517,14116346
1424269944553,18,1424266948678,1424269944553,2995875
1424270001063,19,1424267085071,1424270001062,2915991
1424270277907,20,1424267242010,1424270277907,3035897
1424270584631,21,1424267288607,1424270584630,3296023
1424268710195,2,1424265324092,1424268710195,3386103
1424281107448,22,1424267301982,1424281107448,13805466
1424270363384,23,1424267557502,1424270363383,2805881
1424270355512,24,1424267609736,1424270355511,2745775
1424274431583,25,1424267787468,1424274431582,6644114
1424271334641,26,1424267898551,1424271334641,3436090
1424271370401,27,1424267934304,1424271370400,3436096
1424270864697,28,1424267948904,1424270864697,2915793
1424275222542,29,1424268418603,1424275222541,6803938
1424275383975,30,1424268439768,1424275383975,6944207
1424271216793,31,1424268441005,1424271216793,2775788
1424268709098,3,1424265322986,1424268709097,3386111
1424271529925,32,1424268824149,1424271529925,2705776
1424271567736,34,1424268862017,1424271567736,2705719
1424279336720,35,1424269132987,1424279336720,10203733
1424272230055,36,1424269164121,1424272230055,3065934
1424275644641,37,1424269200923,1424275644641,6443718
1424272264446,38,1424269478632,1424272264446,2785814
1424272508884,39,1424269633096,1424272508883,2875787
1424272563375,40,1424269677595,1424272563375,2885780
1424272610954,41,1424269815195,1424272610953,2795758
1424268698040,4,1424265321988,1424268698040,3376052
1424272550385,42,1424269844610,1424272550384,2705774
1424272590906,43,1424269865171,1424272590906,2725735
1424277215962,44,1424270121755,1424277215962,7094207
1424276601051,45,1424270147085,1424276601051,6453966
1424276821424,46,1424270277670,1424276821424,6543754
1424280748624,48,1424270545418,1424280748624,10203206
1424277469719,49,1424270555552,1424277469719,6914167
1424281420447,50,1424270896637,1424281420447,10523810
1424268696473,5,1424265650539,1424268696473,3045934
1424281154273,52,1424270951016,1424281154272,10203256
1424278141650,53,1424271237520,1424278141650,6904130
1424278088472,55,1424271254305,1424278088471,6834166
1424278028941,56,1424271685314,1424278028941,6343627
1424278086884,57,1424271743371,1424278086884,6343513
1424278126560,58,1424271823068,1424278126560,6303492
1424278365745,59,1424272062332,1424278365744,6303412
1424275573871,60,1424272087730,1424275573871,3486141
1424275648792,61,1424272117627,1424275648792,3531165
1424268846866,6,1424265670843,1424268846866,3176023
1424278712733,62,1424272409263,1424278712733,6303470
1424275573703,63,1424272417750,1424275573703,3155953
1424276021813,64,1424272465581,1424276021812,3556231
1424279317236,65,1424272713686,1424279317236,6603550
1424275456705,66,1424272720967,1424275456704,2735737
1424276276575,67,1424272725252,1424276276575,3551323
1424279986970,68,1424273073181,1424279986970,6913789
1424279392474,69,1424273089098,1424279392474,6303376
1424276300187,70,1424273114112,1424276300186,3186074
1424276514902,71,1424273378911,1424276514901,3135990
1424272021120,7,1424265677474,1424272021120,6343646
1424276407230,72,1424273381337,1424276407229,3025892
1424276541768,73,1424273405836,1424276541767,3135931
1424276476986,74,1424273701243,1424276476985,2775742
1424276425538,75,1424273719819,1424276425538,2705719
1424280377047,76,1424273773563,1424280377047,6603484
1424277082817,77,1424274006887,1424277082817,3075930
1424277464723,78,1424274028628,1424277464723,3436095
1424276995709,79,1424274029837,1424276995708,2965871
1424277203518,80,1424274307667,1424277203518,2895851
1424277207203,81,1424274311404,1424277207202,2895798
1424268672317,8,1424265966526,1424268672317,2705791
1424277076679,82,1424274330879,1424277076678,2745799
1424277512769,83,1424274616957,1424277512769,2895812
1424278143004,84,1424274636884,1424278143004,3506120
1424278177208,85,1424274681075,1424278177208,3496133
1424277718254,86,1424274932463,1424277718254,2785791
1424278231413,87,1424274935383,1424278231413,3296030
1424277830173,88,1424274954355,1424277830173,2875818
1424278338010,89,1424275242105,1424278338010,3095905
1424277984590,90,1424275248802,1424277984590,2735788
1424278127064,91,1424275321274,1424278127063,2805789
1424268761894,9,1424265976140,1424268761894,2785754
1424278251106,92,1424275545432,1424278251105,2705673
1424278253332,93,1424275547619,1424278253331,2705712
1424278567547,95,1424275861854,1424278567546,2705692
1424278594472,96,1424275888716,1424278594471,2705755
1424282191092,97,1424275888044,1424282191092,6303048
1424278869950,98,1424276164223,1424278869949,2705726
1424278894669,99,1424276188993,1424278894669,2705676
