timestamp,reqType,service,rt,selflet,numberOfReqs 
1424276340311,LocalReqLocalExe,checkIfAvailable,28,100,1
1424276340772,LocalReqLocalExe,downloadVideo,460,100,1
1424276340773,LocalReqLocalExe,getVideoResource,491,100,1
1424276357852,LocalReqLocalExe,checkIfAvailable,63,100,1
1424276357853,LocalReqLocalExe,getVideoResource,65,100,1
1424276371369,LocalReqLocalExe,checkIfAvailable,3574,100,1
1424276371779,LocalReqLocalExe,scaleVideo,13925,100,1
1424276372284,LocalReqLocalExe,downloadVideo,914,100,1
1424276372285,LocalReqLocalExe,getVideoResource,4493,100,1
1424276375233,LocalReqLocalExe,transcodeVideo,3453,100,1
1424276377531,LocalReqLocalExe,bitDepthReduction,2296,100,1
1424276377531,LocalReqLocalExe,videoProvisioner,19744,100,1
1424276421650,LocalReqLocalExe,scaleVideo,80875,100,1
1424276422220,LocalReqLocalExe,transcodeVideo,570,100,1
1424276422377,LocalReqLocalExe,checkIfAvailable,3143,100,1
1424276422431,LocalReqLocalExe,downloadVideo,53,100,1
1424276422431,LocalReqLocalExe,getVideoResource,3199,100,1
1424276423509,LocalReqLocalExe,bitDepthReduction,1288,100,1
1424276423509,LocalReqLocalExe,videoProvisioner,83228,100,1
1424276445459,LocalReqLocalExe,scaleVideo,73173,100,1
1424276445924,LocalReqLocalExe,transcodeVideo,464,100,1
1424276449800,LocalReqLocalExe,scaleVideo,27368,100,1
1424276450053,LocalReqLocalExe,transcodeVideo,252,100,1
1424276452532,LocalReqLocalExe,bitDepthReduction,2478,100,1
1424276452533,LocalReqLocalExe,videoProvisioner,33302,100,1
1424276453028,LocalReqLocalExe,bitDepthReduction,7103,100,1
1424276453029,LocalReqLocalExe,videoProvisioner,85238,100,1
1424276593080,LocalReqLocalExe,checkIfAvailable,79,100,1
1424276594976,LocalReqLocalExe,downloadVideo,1895,100,1
1424276594976,LocalReqLocalExe,getVideoResource,1975,100,1
1424276603284,LocalReqLocalExe,scaleVideo,8307,100,1
1424276604044,LocalReqLocalExe,transcodeVideo,759,100,1
1424276604456,LocalReqLocalExe,bitDepthReduction,411,100,1
1424276604457,LocalReqLocalExe,videoProvisioner,11457,100,1
1424276654848,LocalReqLocalExe,checkIfAvailable,1790,100,1
1424276657260,LocalReqLocalExe,downloadVideo,2411,100,1
1424276657260,LocalReqLocalExe,getVideoResource,4203,100,1
1424276682628,LocalReqLocalExe,scaleVideo,25367,100,1
1424276682888,LocalReqLocalExe,transcodeVideo,259,100,1
1424276683924,LocalReqLocalExe,bitDepthReduction,1035,100,1
1424276685128,LocalReqLocalExe,checkIfSubtitlesAvailable,1202,100,1
1424276685440,LocalReqLocalExe,checkIfSubtitlesExists,311,100,1
1424276687172,LocalReqLocalExe,getDefaultSubtitle,1731,100,1
1424276688856,LocalReqLocalExe,translateSubtitleToLanguage,1683,100,1
1424276688857,LocalReqLocalExe,getSubtitles,4932,100,1
1424276688948,LocalReqLocalExe,applySubtitles,91,100,1
1424276688949,LocalReqLocalExe,videoProvisioner,35892,100,1
1424276770744,LocalReqLocalExe,checkIfAvailable,75,100,1
1424276777676,LocalReqLocalExe,downloadVideo,6931,100,1
1424276777677,LocalReqLocalExe,getVideoResource,7009,100,1
1424276803544,LocalReqLocalExe,scaleVideo,25867,100,1
1424276804644,LocalReqLocalExe,transcodeVideo,1099,100,1
1424276805840,LocalReqLocalExe,bitDepthReduction,1195,100,1
1424276805841,LocalReqLocalExe,videoProvisioner,35173,100,1
1424276813660,LocalReqLocalExe,checkIfAvailable,1705,100,1
1424276814272,LocalReqLocalExe,downloadVideo,611,100,1
1424276814272,LocalReqLocalExe,getVideoResource,2318,100,1
1424276833644,LocalReqLocalExe,scaleVideo,19371,100,1
1424276833960,LocalReqLocalExe,transcodeVideo,315,100,1
1424276835648,LocalReqLocalExe,bitDepthReduction,1687,100,1
1424276835649,LocalReqLocalExe,videoProvisioner,23695,100,1
1424276855092,LocalReqLocalExe,checkIfAvailable,596,100,1
1424276856636,LocalReqLocalExe,downloadVideo,1543,100,1
1424276856637,LocalReqLocalExe,getVideoResource,2141,100,1
1424276861387,LocalReqLocalExe,checkIfAvailable,5640,100,1
1424276861834,LocalReqLocalExe,downloadVideo,446,100,1
1424276861835,LocalReqLocalExe,getVideoResource,6089,100,1
1424276875828,LocalReqLocalExe,checkIfAvailable,3810,100,1
1424276876107,LocalReqLocalExe,downloadVideo,278,100,1
1424276876108,LocalReqLocalExe,getVideoResource,4097,100,1
1424276896627,LocalReqLocalExe,scaleVideo,39990,100,1
1424276898620,LocalReqLocalExe,transcodeVideo,1992,100,1
1424276899019,LocalReqLocalExe,bitDepthReduction,398,100,1
1424276903596,LocalReqLocalExe,checkIfSubtitlesAvailable,4575,100,1
1424276906177,LocalReqLocalExe,checkIfSubtitlesExists,2580,100,1
1424276907776,LocalReqLocalExe,getDefaultSubtitle,1598,100,1
1424276910134,LocalReqLocalExe,translateSubtitleToLanguage,2357,100,1
1424276910135,LocalReqLocalExe,getSubtitles,11115,100,1
1424276914657,LocalReqLocalExe,applySubtitles,4522,100,1
1424276914657,LocalReqLocalExe,videoProvisioner,60162,100,1
1424276921820,LocalReqLocalExe,scaleVideo,45711,100,1
1424276923452,LocalReqLocalExe,transcodeVideo,1631,100,1
1424276923784,LocalReqLocalExe,bitDepthReduction,331,100,1
1424276923785,LocalReqLocalExe,videoProvisioner,51774,100,1
1424276947148,LocalReqLocalExe,scaleVideo,85312,100,1
1424276948900,LocalReqLocalExe,checkIfAvailable,567,100,1
1424276949552,LocalReqLocalExe,transcodeVideo,2403,100,1
1424276949856,LocalReqLocalExe,bitDepthReduction,303,100,1
1424276949857,LocalReqLocalExe,videoProvisioner,94112,100,1
1424276950124,LocalReqLocalExe,downloadVideo,1223,100,1
1424276950125,LocalReqLocalExe,getVideoResource,1793,100,1
1424276969472,LocalReqLocalExe,scaleVideo,19347,100,1
1424276970164,LocalReqLocalExe,transcodeVideo,691,100,1
1424276972264,LocalReqLocalExe,bitDepthReduction,2099,100,1
1424276972264,LocalReqLocalExe,videoProvisioner,23932,100,1
1424276974628,LocalReqLocalExe,checkIfAvailable,21,100,1
1424276977712,LocalReqLocalExe,downloadVideo,3084,100,1
1424276977713,LocalReqLocalExe,getVideoResource,3107,100,1
1424277001836,LocalReqLocalExe,scaleVideo,24123,100,1
1424277002224,LocalReqLocalExe,transcodeVideo,387,100,1
1424277004144,LocalReqLocalExe,bitDepthReduction,1919,100,1
1424277004145,LocalReqLocalExe,videoProvisioner,29539,100,1
1424277062300,LocalReqLocalExe,checkIfAvailable,1362,100,1
1424277064964,LocalReqLocalExe,downloadVideo,2663,100,1
1424277064964,LocalReqLocalExe,getVideoResource,4026,100,1
1424277067536,LocalReqLocalExe,checkIfAvailable,342,100,1
1424277073696,LocalReqLocalExe,downloadVideo,6159,100,1
1424277073697,LocalReqLocalExe,getVideoResource,6504,100,1
1424277085707,LocalReqLocalExe,checkIfAvailable,2242,100,1
1424277090802,LocalReqLocalExe,downloadVideo,5094,100,1
1424277090803,LocalReqLocalExe,getVideoResource,7344,100,1
1424277095556,LocalReqLocalExe,scaleVideo,30591,100,1
1424277095642,LocalReqLocalExe,transcodeVideo,85,100,1
1424277096024,LocalReqLocalExe,bitDepthReduction,381,100,1
1424277096024,LocalReqLocalExe,videoProvisioner,35087,100,1
1424277099935,LocalReqLocalExe,scaleVideo,26238,100,1
1424277099986,LocalReqLocalExe,transcodeVideo,50,100,1
1424277100627,LocalReqLocalExe,bitDepthReduction,640,100,1
1424277100628,LocalReqLocalExe,videoProvisioner,33435,100,1
1424277116752,LocalReqLocalExe,checkIfAvailable,761,100,1
1424277116791,LocalReqLocalExe,downloadVideo,38,100,1
1424277116792,LocalReqLocalExe,getVideoResource,802,100,1
1424277116918,LocalReqLocalExe,scaleVideo,26114,100,1
1424277116978,LocalReqLocalExe,transcodeVideo,59,100,1
1424277119520,LocalReqLocalExe,bitDepthReduction,2542,100,1
1424277120601,LocalReqLocalExe,checkIfSubtitlesAvailable,1077,100,1
1424277123981,LocalReqLocalExe,checkIfSubtitlesExists,3379,100,1
1424277125960,LocalReqLocalExe,getDefaultSubtitle,1978,100,1
1424277125961,LocalReqLocalExe,getSubtitles,6440,100,1
1424277126335,LocalReqLocalExe,applySubtitles,373,100,1
1424277126336,LocalReqLocalExe,videoProvisioner,42878,100,1
1424277140268,LocalReqLocalExe,scaleVideo,23476,100,1
1424277140904,LocalReqLocalExe,transcodeVideo,635,100,1
1424277141164,LocalReqLocalExe,bitDepthReduction,259,100,1
1424277142284,LocalReqLocalExe,checkIfSubtitlesAvailable,1119,100,1
1424277142932,LocalReqLocalExe,checkIfSubtitlesExists,647,100,1
1424277142992,LocalReqLocalExe,getDefaultSubtitle,60,100,1
1424277142992,LocalReqLocalExe,getSubtitles,1827,100,1
1424277143204,LocalReqLocalExe,applySubtitles,211,100,1
1424277143204,LocalReqLocalExe,videoProvisioner,27215,100,1
1424277158760,LocalReqLocalExe,checkIfAvailable,1479,100,1
1424277159100,LocalReqLocalExe,downloadVideo,339,100,1
1424277159100,LocalReqLocalExe,getVideoResource,1820,100,1
1424277169731,LocalReqLocalExe,checkIfAvailable,4942,100,1
1424277169828,LocalReqLocalExe,downloadVideo,96,100,1
1424277169829,LocalReqLocalExe,getVideoResource,5041,100,1
1424277186256,LocalReqLocalExe,scaleVideo,27155,100,1
1424277186596,LocalReqLocalExe,transcodeVideo,339,100,1
1424277190202,LocalReqLocalExe,bitDepthReduction,3605,100,1
1424277190202,LocalReqLocalExe,videoProvisioner,32922,100,1
1424277198496,LocalReqLocalExe,scaleVideo,28667,100,1
1424277198872,LocalReqLocalExe,transcodeVideo,375,100,1
1424277199308,LocalReqLocalExe,bitDepthReduction,435,100,1
1424277199308,LocalReqLocalExe,videoProvisioner,34521,100,1
1424277630644,LocalReqLocalExe,checkIfAvailable,1672,100,1
1424277632780,LocalReqLocalExe,downloadVideo,2135,100,1
1424277632780,LocalReqLocalExe,getVideoResource,3809,100,1
1424277656644,LocalReqLocalExe,scaleVideo,23863,100,1
1424277657024,LocalReqLocalExe,transcodeVideo,379,100,1
1424277660336,LocalReqLocalExe,bitDepthReduction,3311,100,1
1424277660337,LocalReqLocalExe,videoProvisioner,31366,100,1
1424277683520,LocalReqLocalExe,checkIfAvailable,745,100,1
1424277685688,LocalReqLocalExe,downloadVideo,2167,100,1
1424277685688,LocalReqLocalExe,getVideoResource,2914,100,1
1424277703757,LocalReqLocalExe,checkIfAvailable,2210,100,1
1424277703800,LocalReqLocalExe,downloadVideo,42,100,1
1424277703801,LocalReqLocalExe,getVideoResource,2255,100,1
1424277707524,LocalReqLocalExe,scaleVideo,21835,100,1
1424277708072,LocalReqLocalExe,transcodeVideo,547,100,1
1424277708265,LocalReqLocalExe,bitDepthReduction,191,100,1
1424277708266,LocalReqLocalExe,videoProvisioner,25492,100,1
1424277722688,LocalReqLocalExe,checkIfAvailable,1126,100,1
1424277728797,LocalReqLocalExe,downloadVideo,6108,100,1
1424277728797,LocalReqLocalExe,getVideoResource,7235,100,1
1424277728848,LocalReqLocalExe,scaleVideo,25046,100,1
1424277732454,LocalReqLocalExe,transcodeVideo,3605,100,1
1424277738459,LocalReqLocalExe,bitDepthReduction,6004,100,1
1424277738459,LocalReqLocalExe,videoProvisioner,36914,100,1
1424277753784,LocalReqLocalExe,scaleVideo,24986,100,1
1424277755672,LocalReqLocalExe,transcodeVideo,1887,100,1
1424277756760,LocalReqLocalExe,bitDepthReduction,1087,100,1
1424277756761,LocalReqLocalExe,videoProvisioner,35200,100,1
1424277780660,LocalReqLocalExe,checkIfAvailable,4047,100,1
1424277782368,LocalReqLocalExe,downloadVideo,1707,100,1
1424277782368,LocalReqLocalExe,getVideoResource,5755,100,1
1424277812683,LocalReqLocalExe,checkIfAvailable,1037,100,1
1424277813093,LocalReqLocalExe,downloadVideo,405,100,1
1424277813094,LocalReqLocalExe,getVideoResource,1449,100,1
1424277832336,LocalReqLocalExe,scaleVideo,19241,100,1
1424277832602,LocalReqLocalExe,transcodeVideo,265,100,1
1424277836908,LocalReqLocalExe,bitDepthReduction,4305,100,1
1424277838148,LocalReqLocalExe,checkIfSubtitlesAvailable,1236,100,1
1424277838288,LocalReqLocalExe,checkIfSubtitlesExists,139,100,1
1424277839863,LocalReqLocalExe,getDefaultSubtitle,1574,100,1
1424277840208,LocalReqLocalExe,translateSubtitleToLanguage,345,100,1
1424277840208,LocalReqLocalExe,getSubtitles,3299,100,1
1424277840340,LocalReqLocalExe,applySubtitles,131,100,1
1424277840340,LocalReqLocalExe,videoProvisioner,28695,100,1
1424277845748,LocalReqLocalExe,scaleVideo,63379,100,1
1424277846016,LocalReqLocalExe,transcodeVideo,267,100,1
1424277846382,LocalReqLocalExe,bitDepthReduction,365,100,1
1424277846382,LocalReqLocalExe,videoProvisioner,69769,100,1
1424277848320,LocalReqLocalExe,checkIfAvailable,2893,100,1
1424277854624,LocalReqLocalExe,downloadVideo,6303,100,1
1424277854625,LocalReqLocalExe,getVideoResource,9199,100,1
1424277879240,LocalReqLocalExe,scaleVideo,24615,100,1
1424277879432,LocalReqLocalExe,transcodeVideo,191,100,1
1424277879792,LocalReqLocalExe,bitDepthReduction,360,100,1
1424277879792,LocalReqLocalExe,videoProvisioner,34366,100,1
1424277914012,LocalReqLocalExe,checkIfAvailable,1019,100,1
1424277915000,LocalReqLocalExe,downloadVideo,987,100,1
1424277915000,LocalReqLocalExe,getVideoResource,2008,100,1
1424277928572,LocalReqLocalExe,scaleVideo,13571,100,1
1424277929124,LocalReqLocalExe,transcodeVideo,551,100,1
1424277929780,LocalReqLocalExe,bitDepthReduction,655,100,1
1424277929780,LocalReqLocalExe,videoProvisioner,16788,100,1
1424276493889,LocalReqLocalExe,checkIfAvailable,965,101,1
1424276496552,LocalReqLocalExe,downloadVideo,2662,101,1
1424276496553,LocalReqLocalExe,getVideoResource,3629,101,1
1424276520954,LocalReqLocalExe,scaleVideo,24400,101,1
1424276521018,LocalReqLocalExe,transcodeVideo,62,101,1
1424276522338,LocalReqLocalExe,bitDepthReduction,1319,101,1
1424276522339,LocalReqLocalExe,videoProvisioner,29417,101,1
1424276533698,LocalReqLocalExe,checkIfAvailable,752,101,1
1424276535346,LocalReqLocalExe,downloadVideo,1647,101,1
1424276535347,LocalReqLocalExe,getVideoResource,2402,101,1
1424276540602,LocalReqLocalExe,checkIfAvailable,1400,101,1
1424276540915,LocalReqLocalExe,downloadVideo,310,101,1
1424276540916,LocalReqLocalExe,getVideoResource,1715,101,1
1424276546371,LocalReqLocalExe,checkIfAvailable,2162,101,1
1424276546471,LocalReqLocalExe,downloadVideo,99,101,1
1424276546472,LocalReqLocalExe,getVideoResource,2267,101,1
1424276574993,LocalReqLocalExe,scaleVideo,39645,101,1
1424276577414,LocalReqLocalExe,transcodeVideo,2420,101,1
1424276581620,LocalReqLocalExe,bitDepthReduction,4205,101,1
1424276581621,LocalReqLocalExe,videoProvisioner,48677,101,1
1424276584346,LocalReqLocalExe,scaleVideo,37874,101,1
1424276584583,LocalReqLocalExe,transcodeVideo,236,101,1
