timestamp,reqType,service,rt,numberOfReqs 
1421671571391,local,checkIfAvailable,2059,1
1421671571517,local,downloadVideo,121,1
1421671571518,local,getVideoResource,2187,1
1421671596389,local,scaleVideo,24870,1
1421671597697,local,transcodeVideo,1307,1
1421671599801,local,bitDepthReduction,2103,1
1421671599802,local,videoProvisioner,30472,1
1421671658537,local,checkIfAvailable,387,1
1421671661425,local,downloadVideo,2886,1
1421671661426,local,getVideoResource,3277,1
1421671673557,local,checkIfAvailable,394,1
1421671673956,local,downloadVideo,396,1
1421671673957,local,getVideoResource,795,1
1421671681326,local,scaleVideo,19899,1
1421671683110,local,transcodeVideo,1783,1
1421671683152,local,bitDepthReduction,41,1
1421671683153,local,videoProvisioner,25005,1
1421671698669,local,scaleVideo,24710,1
1421671701125,local,transcodeVideo,2455,1
1421671701441,local,bitDepthReduction,315,1
1421671701442,local,videoProvisioner,28280,1
1421671711317,remote,transcodeVideo,85,1
1421671735817,local,checkIfAvailable,96,1
1421671737305,local,downloadVideo,1487,1
1421671737306,local,getVideoResource,1586,1
1421671749098,local,checkIfAvailable,3367,1
1421671749099,local,getVideoResource,3369,1
1421671770677,local,scaleVideo,21577,1
1421671773329,local,transcodeVideo,2651,1
1421671774246,local,bitDepthReduction,916,1
1421671774246,local,videoProvisioner,28517,1
1421671787518,local,checkIfAvailable,494,1
1421671787662,local,downloadVideo,143,1
1421671787663,local,getVideoResource,640,1
1421671803094,local,scaleVideo,65787,1
1421671803119,local,transcodeVideo,24,1
1421671803197,local,bitDepthReduction,77,1
1421671803199,local,videoProvisioner,67479,1
1421671807114,local,checkIfAvailable,71,1
1421671809688,local,downloadVideo,2573,1
1421671809689,local,getVideoResource,2647,1
1421671812545,local,checkIfAvailable,460,1
1421671813082,local,downloadVideo,535,1
1421671813083,local,getVideoResource,1003,1
1421671820825,local,checkIfAvailable,6274,1
1421671822035,local,downloadVideo,1209,1
1421671822036,local,getVideoResource,7488,1
1421671837743,local,checkIfAvailable,673,1
1421671837744,local,getVideoResource,675,1
1421671846704,local,downloadVideo,566,1
1421671846705,local,getVideoResource,878,1
1421671861188,local,checkIfAvailable,344,1
1421671864691,local,downloadVideo,3502,1
1421671864691,local,getVideoResource,3849,1
1421671883302,local,checkIfAvailable,3691,1
1421671890871,local,downloadVideo,7568,1
1421671890873,local,getVideoResource,11265,1
1421671895257,local,scaleVideo,85567,1
1421671900707,local,transcodeVideo,5449,1
1421671900770,local,bitDepthReduction,62,1
1421671900771,local,videoProvisioner,93730,1
1421671902627,local,checkIfAvailable,1853,1
1421671903468,local,scaleVideo,90384,1
1421671906708,local,transcodeVideo,3239,1
1421671911930,local,downloadVideo,9300,1
1421671911930,local,getVideoResource,11159,1
1421671915839,local,bitDepthReduction,9130,1
1421671915839,local,videoProvisioner,103760,1
1421671931482,local,checkIfAvailable,15640,1
1421671934760,local,downloadVideo,3277,1
1421671934761,local,getVideoResource,18921,1
1421671990475,local,scaleVideo,125783,1
1421671992818,local,transcodeVideo,2342,1
1421671993306,local,scaleVideo,205643,1
1421671997010,local,bitDepthReduction,4191,1
1421671997011,local,videoProvisioner,136170,1
1421671998155,local,transcodeVideo,4848,1
1421671999194,local,checkIfAvailable,2180,1
1421672007350,local,downloadVideo,8155,1
1421672007350,local,getVideoResource,10338,1
1421672010230,local,bitDepthReduction,12074,1
1421672010706,local,checkIfSubtitlesAvailable,472,1
1421672018918,local,checkIfSubtitlesExists,8211,1
1421672019180,local,scaleVideo,128306,1
1421672020806,local,scaleVideo,108875,1
1421672021949,local,transcodeVideo,2763,1
1421672022261,local,getDefaultSubtitle,3342,1
1421672022262,local,getSubtitles,12031,1
1421672022775,local,transcodeVideo,1968,1
1421672022820,local,applySubtitles,558,1
1421672022821,local,videoProvisioner,235799,1
1421672024883,local,bitDepthReduction,2106,1
1421672024884,local,videoProvisioner,139020,1
1421672025955,local,bitDepthReduction,4005,1
1421672025955,local,videoProvisioner,146347,1
1421672035988,local,scaleVideo,189283,1
1421672040273,local,transcodeVideo,4284,1
1421672040502,local,bitDepthReduction,228,1
1421672040503,local,videoProvisioner,194677,1
1421672049371,local,scaleVideo,114609,1
1421672050401,local,transcodeVideo,1021,1
1421672050592,local,bitDepthReduction,190,1
1421672050592,local,videoProvisioner,142207,1
1421672072407,local,scaleVideo,65056,1
1421672072683,local,transcodeVideo,269,1
1421672085396,local,scaleVideo,247651,1
1421672086471,local,bitDepthReduction,13783,1
1421672087282,local,transcodeVideo,1885,1
1421672087515,local,checkIfSubtitlesAvailable,1033,1
1421672087893,local,bitDepthReduction,610,1
1421672087894,local,videoProvisioner,250826,1
1421672087927,local,checkIfAvailable,619,1
1421672091044,local,downloadVideo,3115,1
1421672091045,local,getVideoResource,3738,1
1421672092861,local,checkIfSubtitlesExists,5344,1
1421672095144,local,getDefaultSubtitle,2281,1
1421672096116,local,translateSubtitleToLanguage,971,1
1421672096117,local,getSubtitles,9645,1
1421672098941,local,scaleVideo,276904,1
1421672101049,local,transcodeVideo,2107,1
1421672101260,local,bitDepthReduction,210,1
1421672101261,local,videoProvisioner,286714,1
1421672103265,local,applySubtitles,7147,1
1421672103266,local,videoProvisioner,139830,1
1421672115373,local,scaleVideo,24327,1
1421672116501,local,transcodeVideo,1126,1
1421672119945,local,bitDepthReduction,3443,1
1421672119946,local,videoProvisioner,32640,1
1421672160985,local,checkIfAvailable,1110,1
1421672162297,local,downloadVideo,1311,1
1421672162298,local,getVideoResource,2423,1
1421672186421,local,scaleVideo,24122,1
1421672187497,local,transcodeVideo,1075,1
1421672188785,local,bitDepthReduction,1283,1
1421672188786,local,videoProvisioner,28912,1
1421672192693,local,checkIfAvailable,285,1
1421672193221,local,downloadVideo,527,1
1421672193222,local,getVideoResource,815,1
1421672198228,local,checkIfAvailable,818,1
1421672199476,local,downloadVideo,1247,1
1421672199477,local,getVideoResource,2068,1
1421672205589,local,scaleVideo,12366,1
1421672206414,local,transcodeVideo,824,1
1421672206713,local,bitDepthReduction,298,1
1421672206714,local,videoProvisioner,14307,1
1421672209493,local,scaleVideo,10015,1
1421672210213,local,transcodeVideo,719,1
1421672210925,local,bitDepthReduction,711,1
1421672210926,local,videoProvisioner,13517,1
1421672269413,local,checkIfAvailable,687,1
1421672270953,local,downloadVideo,1539,1
1421672270954,local,getVideoResource,2229,1
1421672271294,local,checkIfAvailable,58,1
1421672273905,local,downloadVideo,2610,1
1421672273905,local,getVideoResource,2670,1
1421672294618,local,scaleVideo,23663,1
1421672294953,local,transcodeVideo,334,1
1421672295582,local,bitDepthReduction,628,1
1421672295582,local,videoProvisioner,26857,1
1421672300549,local,scaleVideo,26643,1
1421672300997,local,transcodeVideo,447,1
1421672302309,local,bitDepthReduction,1311,1
1421672302310,local,videoProvisioner,31076,1
1421672393321,local,checkIfAvailable,724,1
1421672393669,local,downloadVideo,347,1
1421672393670,local,getVideoResource,1073,1
1421672417505,local,scaleVideo,23834,1
1421672417753,local,transcodeVideo,247,1
1421672418621,local,bitDepthReduction,867,1
1421672418869,local,checkIfSubtitlesAvailable,246,1
1421672419597,local,checkIfSubtitlesExists,727,1
1421672420413,local,getDefaultSubtitle,811,1
1421672420461,local,translateSubtitleToLanguage,47,1
1421672420462,local,getSubtitles,1840,1
1421672420769,local,applySubtitles,307,1
1421672420770,local,videoProvisioner,28174,1
1421672451745,local,checkIfAvailable,342,1
1421672457213,local,downloadVideo,5467,1
1421672457214,local,getVideoResource,5812,1
1421672471525,local,scaleVideo,14310,1
1421672471777,local,transcodeVideo,251,1
1421672471925,local,bitDepthReduction,147,1
1421672471926,local,videoProvisioner,20524,1
1421672485585,local,checkIfAvailable,400,1
1421672485803,local,getVideoResource,619,1
1421672495320,local,checkIfAvailable,3879,1
1421672498033,local,downloadVideo,2712,1
1421672498034,local,getVideoResource,6594,1
1421672504338,local,scaleVideo,18535,1
1421672506238,local,transcodeVideo,1899,1
1421672507198,local,bitDepthReduction,959,1
1421672507198,local,videoProvisioner,22014,1
1421672517417,local,scaleVideo,19382,1
1421672518549,local,bitDepthReduction,682,1
1421672519129,local,checkIfSubtitlesAvailable,578,1
1421672519173,local,checkIfSubtitlesExists,43,1
1421672521777,local,getDefaultSubtitle,2603,1
1421672521778,local,getSubtitles,3228,1
1421672521793,local,applySubtitles,15,1
1421672521794,local,videoProvisioner,30355,1
1421672565361,local,checkIfAvailable,6358,1
1421672565533,local,downloadVideo,171,1
1421672565534,local,getVideoResource,6532,1
1421672590125,local,scaleVideo,24590,1
1421672590353,local,transcodeVideo,227,1
1421672591613,local,bitDepthReduction,1259,1
1421672591614,local,videoProvisioner,32612,1
1421672657177,local,checkIfAvailable,577,1
1421672658333,local,downloadVideo,1155,1
1421672658334,local,getVideoResource,1735,1
1421672660701,local,checkIfAvailable,1596,1
1421672661594,local,downloadVideo,892,1
1421672661594,local,getVideoResource,2490,1
