timestamp,selfletID,service,numberOfReqs 
1421745292007, 3, videoProvisioner, 1
1421745292029, 4, videoProvisioner, 1
1421745302037, 4, videoProvisioner, 1
1421745312032, 4, videoProvisioner, 1
1421745322032, 2, videoProvisioner, 1
1421745332033, 3, videoProvisioner, 1
1421745342034, 2, videoProvisioner, 1
1421745352035, 4, videoProvisioner, 1
1421745362036, 3, videoProvisioner, 1
1421745372037, 2, videoProvisioner, 1
1421745382038, 3, videoProvisioner, 1
1421745392038, 4, videoProvisioner, 1
1421745402039, 2, videoProvisioner, 1
1421745412040, 3, videoProvisioner, 1
1421745422041, 3, videoProvisioner, 1
1421745432042, 3, videoProvisioner, 1
1421745442043, 4, videoProvisioner, 1
1421745452044, 2, videoProvisioner, 1
1421745462044, 4, videoProvisioner, 1
1421745472046, 4, videoProvisioner, 1
1421745482047, 2, videoProvisioner, 1
1421745492047, 3, videoProvisioner, 1
1421745502048, 3, videoProvisioner, 1
1421745512049, 2, videoProvisioner, 1
1421745522049, 2, videoProvisioner, 1
1421745532050, 2, videoProvisioner, 1
1421745542052, 3, videoProvisioner, 1
1421745552052, 4, videoProvisioner, 1
1421745562053, 3, videoProvisioner, 1
1421745572054, 2, videoProvisioner, 1
1421745582054, 2, videoProvisioner, 1
1421745592056, 2, videoProvisioner, 1
1421745598723, 3, videoProvisioner, 1
1421745605389, 2, videoProvisioner, 1
1421745612057, 4, videoProvisioner, 1
1421745618723, 2, videoProvisioner, 1
1421745625390, 3, videoProvisioner, 1
1421745632057, 2, videoProvisioner, 1
1421745638723, 7, videoProvisioner, 1
1421745645391, 2, videoProvisioner, 1
1421745652058, 7, videoProvisioner, 1
1421745658725, 6, videoProvisioner, 1
1421745665392, 3, videoProvisioner, 1
1421745672059, 5, videoProvisioner, 1
1421745678726, 2, videoProvisioner, 1
1421745685393, 7, videoProvisioner, 1
1421745692060, 5, videoProvisioner, 1
1421745698726, 3, videoProvisioner, 1
1421745705394, 5, videoProvisioner, 1
1421745712061, 7, videoProvisioner, 1
1421745718728, 4, videoProvisioner, 1
1421745725395, 6, videoProvisioner, 1
1421745732062, 5, videoProvisioner, 1
1421745738729, 5, videoProvisioner, 1
1421745745395, 4, videoProvisioner, 1
1421745752063, 7, videoProvisioner, 1
1421745758730, 3, videoProvisioner, 1
1421745765397, 3, videoProvisioner, 1
1421745772064, 6, videoProvisioner, 1
1421745778730, 2, videoProvisioner, 1
1421745785397, 6, videoProvisioner, 1
1421745792064, 5, videoProvisioner, 1
1421745798731, 3, videoProvisioner, 1
1421745805398, 2, videoProvisioner, 1
1421745812065, 2, videoProvisioner, 1
1421745818732, 4, videoProvisioner, 1
1421745825399, 6, videoProvisioner, 1
1421745832066, 6, videoProvisioner, 1
1421745838733, 7, videoProvisioner, 1
1421745845400, 5, videoProvisioner, 1
1421745852067, 4, videoProvisioner, 1
1421745858735, 5, videoProvisioner, 1
1421745865402, 6, videoProvisioner, 1
1421745872068, 6, videoProvisioner, 1
1421745878734, 3, videoProvisioner, 1
1421745885401, 7, videoProvisioner, 1
1421745892069, 3, videoProvisioner, 1
1421745897069, 4, videoProvisioner, 1
1421745902070, 7, videoProvisioner, 1
1421745907072, 2, videoProvisioner, 1
1421745912073, 3, videoProvisioner, 1
1421745917074, 3, videoProvisioner, 1
1421745922075, 2, videoProvisioner, 1
1421745927076, 5, videoProvisioner, 1
1421745932077, 2, videoProvisioner, 1
1421745937079, 4, videoProvisioner, 1
1421745942079, 7, videoProvisioner, 1
1421745947080, 7, videoProvisioner, 1
1421745952081, 5, videoProvisioner, 1
1421745957083, 2, videoProvisioner, 1
1421745962083, 2, videoProvisioner, 1
1421745967084, 2, videoProvisioner, 1
1421745972085, 6, videoProvisioner, 1
1421745977086, 5, videoProvisioner, 1
1421745982087, 2, videoProvisioner, 1
1421745987088, 6, videoProvisioner, 1
1421745992089, 8, videoProvisioner, 1
1421745997091, 8, videoProvisioner, 1
1421746002091, 3, videoProvisioner, 1
1421746007092, 8, videoProvisioner, 1
1421746012094, 5, videoProvisioner, 1
1421746017094, 6, videoProvisioner, 1
1421746022095, 4, videoProvisioner, 1
1421746027097, 7, videoProvisioner, 1
1421746032098, 8, videoProvisioner, 1
1421746037099, 7, videoProvisioner, 1
1421746042101, 5, videoProvisioner, 1
1421746047102, 6, videoProvisioner, 1
1421746052102, 7, videoProvisioner, 1
1421746057103, 3, videoProvisioner, 1
1421746062104, 7, videoProvisioner, 1
1421746067105, 5, videoProvisioner, 1
1421746072106, 8, videoProvisioner, 1
1421746077107, 2, videoProvisioner, 1
1421746082109, 9, videoProvisioner, 1
1421746087110, 4, videoProvisioner, 1
1421746092111, 8, videoProvisioner, 1
1421746097111, 4, videoProvisioner, 1
1421746102113, 8, videoProvisioner, 1
1421746107113, 9, videoProvisioner, 1
1421746112115, 7, videoProvisioner, 1
1421746117116, 8, videoProvisioner, 1
1421746122117, 7, videoProvisioner, 1
1421746127118, 5, videoProvisioner, 1
1421746132120, 9, videoProvisioner, 1
1421746137120, 8, videoProvisioner, 1
1421746142121, 4, videoProvisioner, 1
1421746147122, 6, videoProvisioner, 1
1421746152124, 4, videoProvisioner, 1
1421746157124, 8, videoProvisioner, 1
1421746162126, 9, videoProvisioner, 1
1421746167127, 6, videoProvisioner, 1
1421746172128, 2, videoProvisioner, 1
1421746177129, 2, videoProvisioner, 1
1421746182130, 6, videoProvisioner, 1
1421746187132, 7, videoProvisioner, 1
1421746192133, 2, videoProvisioner, 1
1421746196135, 3, videoProvisioner, 1
1421746200136, 5, videoProvisioner, 1
1421746204137, 7, videoProvisioner, 1
1421746208139, 4, videoProvisioner, 1
1421746212140, 4, videoProvisioner, 1
1421746216141, 5, videoProvisioner, 1
1421746220143, 3, videoProvisioner, 1
1421746224144, 6, videoProvisioner, 1
1421746228145, 8, videoProvisioner, 1
1421746232147, 10, videoProvisioner, 1
1421746236148, 7, videoProvisioner, 1
1421746240149, 6, videoProvisioner, 1
1421746244150, 5, videoProvisioner, 1
1421746248152, 3, videoProvisioner, 1
1421746252153, 5, videoProvisioner, 1
1421746256155, 4, videoProvisioner, 1
1421746260156, 10, videoProvisioner, 1
1421746264158, 10, videoProvisioner, 1
1421746268159, 10, videoProvisioner, 1
1421746272160, 7, videoProvisioner, 1
1421746276162, 3, videoProvisioner, 1
1421746280163, 5, videoProvisioner, 1
1421746284165, 6, videoProvisioner, 1
1421746288166, 5, videoProvisioner, 1
1421746292167, 3, videoProvisioner, 1
1421746296169, 4, videoProvisioner, 1
1421746300170, 9, videoProvisioner, 1
1421746304171, 4, videoProvisioner, 1
1421746308174, 7, videoProvisioner, 1
1421746312175, 8, videoProvisioner, 1
1421746316177, 7, videoProvisioner, 1
1421746320179, 2, videoProvisioner, 1
1421746324180, 7, videoProvisioner, 1
1421746328183, 10, videoProvisioner, 1
1421746332185, 7, videoProvisioner, 1
1421746336186, 9, videoProvisioner, 1
1421746340188, 10, videoProvisioner, 1
1421746344190, 7, videoProvisioner, 1
1421746348192, 3, videoProvisioner, 1
1421746352194, 7, videoProvisioner, 1
1421746356195, 9, videoProvisioner, 1
1421746360198, 2, videoProvisioner, 1
1421746364199, 5, videoProvisioner, 1
1421746368201, 6, videoProvisioner, 1
1421746372203, 3, videoProvisioner, 1
1421746376205, 9, videoProvisioner, 1
1421746380206, 3, videoProvisioner, 1
1421746384208, 6, videoProvisioner, 1
1421746388210, 3, videoProvisioner, 1
1421746392211, 4, videoProvisioner, 1
1421746396213, 9, videoProvisioner, 1
1421746400215, 6, videoProvisioner, 1
1421746404217, 2, videoProvisioner, 1
1421746408219, 8, videoProvisioner, 1
1421746412220, 10, videoProvisioner, 1
1421746416222, 6, videoProvisioner, 1
1421746420224, 8, videoProvisioner, 1
1421746424226, 3, videoProvisioner, 1
1421746428227, 2, videoProvisioner, 1
1421746432229, 7, videoProvisioner, 1
1421746436232, 10, videoProvisioner, 1
1421746440233, 3, videoProvisioner, 1
1421746444235, 10, videoProvisioner, 1
1421746448237, 3, videoProvisioner, 1
1421746452238, 10, videoProvisioner, 1
1421746456240, 3, videoProvisioner, 1
1421746460246, 9, videoProvisioner, 1
1421746464243, 10, videoProvisioner, 1
1421746468245, 7, videoProvisioner, 1
1421746472248, 7, videoProvisioner, 1
1421746476249, 10, videoProvisioner, 1
1421746480250, 8, videoProvisioner, 1
1421746484252, 9, videoProvisioner, 1
1421746488253, 9, videoProvisioner, 1
1421746492255, 12, videoProvisioner, 1
1421746495590, 9, videoProvisioner, 1
1421746498929, 3, videoProvisioner, 1
1421746502259, 2, videoProvisioner, 1
1421746505594, 3, videoProvisioner, 1
1421746508928, 6, videoProvisioner, 1
1421746512263, 3, videoProvisioner, 1
1421746515597, 2, videoProvisioner, 1
1421746518933, 5, videoProvisioner, 1
1421746522266, 12, videoProvisioner, 1
1421746525601, 10, videoProvisioner, 1
1421746528935, 11, videoProvisioner, 1
1421746532270, 10, videoProvisioner, 1
1421746535604, 3, videoProvisioner, 1
1421746538939, 12, videoProvisioner, 1
1421746542274, 3, videoProvisioner, 1
1421746545609, 11, videoProvisioner, 1
1421746548943, 11, videoProvisioner, 1
1421746552277, 11, videoProvisioner, 1
