timestamp,service,rt,selfletID,numberOfReqs 
1424354202366,videoProvisioner,16351,4, 1
1424354221867,videoProvisioner,35875,3, 1
1424354224075,videoProvisioner,28053,2, 1
1424354232847,videoProvisioner,26831,3, 1
1424354253249,videoProvisioner,37231,4, 1
1424354254552,videoProvisioner,18530,4, 1
1424354279225,videoProvisioner,13200,3, 1
1424354284239,videoProvisioner,28216,2, 1
1424354301884,videoProvisioner,25858,3, 1
1424354310657,videoProvisioner,24629,3, 1
1424354332358,videoProvisioner,36329,4, 1
1424354339325,videoProvisioner,33296,4, 1
1424354349199,videoProvisioner,123180,2, 1
1424354349901,videoProvisioner,103879,2, 1
1424354362833,videoProvisioner,46802,2, 1
1424354365039,videoProvisioner,29005,3, 1
1424354381481,videoProvisioner,35445,4, 1
1424354413172,videoProvisioner,37134,2, 1
1424354418990,videoProvisioner,92958,2, 1
1424354428317,videoProvisioner,72281,4, 1
1424354428367,videoProvisioner,22325,3, 1
1424354439545,videoProvisioner,43505,2, 1
1424354440047,videoProvisioner,54007,4, 1
1424354451826,videoProvisioner,35783,3, 1
1424354472727,videoProvisioner,26680,2, 1
1424354477591,videoProvisioner,21543,2, 1
1424354493182,videoProvisioner,127145,4, 1
1424354502756,videoProvisioner,36707,3, 1
1424354520053,videoProvisioner,27334,5, 1
1424354523365,videoProvisioner,37313,3, 1
1424354524869,videoProvisioner,25482,7, 1
1424354528930,videoProvisioner,22876,6, 1
1424354531236,videoProvisioner,95191,3, 1
1424354533192,videoProvisioner,107147,4, 1
1424354535598,videoProvisioner,59548,4, 1
1424354547027,videoProvisioner,27639,2, 1
1424354552190,videoProvisioner,39469,4, 1
1424354557303,videoProvisioner,31247,5, 1
1424354563220,videoProvisioner,23830,3, 1
1424354573244,videoProvisioner,40522,5, 1
1424354573546,videoProvisioner,27489,7, 1
1424354582768,videoProvisioner,30044,6, 1
1424354586377,videoProvisioner,26986,5, 1
1424354595149,videoProvisioner,22423,2, 1
1424354601965,videoProvisioner,22572,5, 1
1424354618906,videoProvisioner,32846,7, 1
1424354623318,videoProvisioner,30590,4, 1
1424354632640,videoProvisioner,26578,3, 1
1424354634545,videoProvisioner,68486,4, 1
1424354649837,videoProvisioner,37108,7, 1
1424354650239,videoProvisioner,30843,6, 1
1424354655806,videoProvisioner,29742,6, 1
1424354674251,videoProvisioner,34853,3, 1
1424354686632,videoProvisioner,53900,7, 1
1424354691344,videoProvisioner,91949,7, 1
1424354696055,videoProvisioner,23320,2, 1
1424354698211,videoProvisioner,52146,3, 1
1424354707136,videoProvisioner,54403,7, 1
1424354716211,videoProvisioner,30142,5, 1
1424354729844,videoProvisioner,30440,4, 1
1424354732000,videoProvisioner,65933,3, 1
1424354741573,videoProvisioner,35502,7, 1
1424354759926,videoProvisioner,80525,3, 1
1424354760277,videoProvisioner,40872,7, 1
1424354765792,videoProvisioner,39719,4, 1
1424354771656,videoProvisioner,32249,4, 1
1424354773110,videoProvisioner,27036,5, 1
1424354774914,videoProvisioner,82177,2, 1
1424354785289,videoProvisioner,32548,2, 1
1424354787244,videoProvisioner,27835,4, 1
1424354792507,videoProvisioner,26431,5, 1
1424354800277,videoProvisioner,67538,3, 1
1424354805941,videoProvisioner,26531,6, 1
1424354816416,videoProvisioner,30338,4, 1
1424354816467,videoProvisioner,157066,3, 1
1424354822782,videoProvisioner,50038,3, 1
1424354832205,videoProvisioner,36125,5, 1
1424354840726,videoProvisioner,24641,8, 1
1424354841428,videoProvisioner,30343,2, 1
1424354847392,videoProvisioner,134654,3, 1
1424354856715,videoProvisioner,35628,7, 1
1424354861777,videoProvisioner,30688,2, 1
1424354862629,videoProvisioner,71550,6, 1
1424354862629,videoProvisioner,26539,4, 1
1424354865687,videoProvisioner,39599,7, 1
1424354871651,videoProvisioner,15556,6, 1
1424354876713,videoProvisioner,30621,3, 1
1424354882628,videoProvisioner,21532,4, 1
1424354888945,videoProvisioner,82862,5, 1
1424354891152,videoProvisioner,50061,8, 1
1424354896064,videoProvisioner,29966,7, 1
1424354896966,videoProvisioner,45871,8, 1
1424354898170,videoProvisioner,97089,8, 1
1424354901728,videoProvisioner,25628,6, 1
1424354916715,videoProvisioner,45616,2, 1
1424354941927,videoProvisioner,35819,9, 1
1424354958120,videoProvisioner,72017,9, 1
1424354963934,videoProvisioner,67829,4, 1
1424354976013,videoProvisioner,94912,2, 1
1424354979371,videoProvisioner,33253,5, 1
1424354983230,videoProvisioner,27110,4, 1
1424354986037,videoProvisioner,24916,7, 1
1424354986338,videoProvisioner,55224,2, 1
1424354989747,videoProvisioner,13622,7, 1
1424354990499,videoProvisioner,79390,8, 1
1424355006789,videoProvisioner,25662,9, 1
1424355017214,videoProvisioner,116108,2, 1
1424355024684,videoProvisioner,28554,9, 1
1424355027693,videoProvisioner,41565,5, 1
1424355027744,videoProvisioner,91629,5, 1
1424355033259,videoProvisioner,62135,2, 1
1424355036669,videoProvisioner,120559,8, 1
1424355039026,videoProvisioner,27892,7, 1
1424355040730,videoProvisioner,49601,5, 1
1424355045993,videoProvisioner,29857,4, 1
1424355053565,videoProvisioner,27428,9, 1
1424355057776,videoProvisioner,26637,7, 1
1424355060735,videoProvisioner,24594,6, 1
1424355067152,videoProvisioner,141039,8, 1
1424355071863,videoProvisioner,20719,5, 1
1424355078582,videoProvisioner,37441,7, 1
1424355081140,videoProvisioner,34997,4, 1
1424355085603,videoProvisioner,119480,8, 1
1424355087909,videoProvisioner,136790,8, 1
1424355089312,videoProvisioner,33166,6, 1
1424355090516,videoProvisioner,89385,2, 1
1424355095982,videoProvisioner,34836,4, 1
1424355099392,videoProvisioner,93260,2, 1
1424355100695,videoProvisioner,34548,3, 1
1424355101848,videoProvisioner,11694,5, 1
1424355106360,videoProvisioner,35211,3, 1
1424355107964,videoProvisioner,31814,4, 1
1424355117288,videoProvisioner,36136,3, 1
1424355120247,videoProvisioner,34095,6, 1
1424355121902,videoProvisioner,27747,7, 1
1424355125113,videoProvisioner,103977,8, 1
1424355126217,videoProvisioner,28061,6, 1
1424355132787,videoProvisioner,241683,8, 1
1424355140256,videoProvisioner,34097,10, 1
1424355141309,videoProvisioner,31149,8, 1
1424355142211,videoProvisioner,28050,12, 1
1424355145520,videoProvisioner,27357,5, 1
1424355146723,videoProvisioner,24559,4, 1
1424355161107,videoProvisioner,26940,10, 1
1424355161659,videoProvisioner,31493,6, 1
1424355172637,videoProvisioner,30467,9, 1
1424355178051,videoProvisioner,75893,7, 1
1424355178503,videoProvisioner,24329,6, 1
1424355193990,videoProvisioner,31814,5, 1
1424355195493,videoProvisioner,29315,5, 1
1424355217096,videoProvisioner,38915,4, 1
1424355217697,videoProvisioner,23511,5, 1
1424355221006,videoProvisioner,34822,12, 1
1424355222359,videoProvisioner,16169,5, 1
1424355226720,videoProvisioner,52540,2, 1
1424355231332,videoProvisioner,73156,10, 1
1424355232184,videoProvisioner,50001,2, 1
1424355233036,videoProvisioner,311925,8, 1
1424355233839,videoProvisioner,31650,7, 1
1424355235042,videoProvisioner,44857,2, 1
1424355236145,videoProvisioner,97977,8, 1
1424355236997,videoProvisioner,110832,8, 1
1424355238451,videoProvisioner,28259,3, 1
1424355240105,videoProvisioner,298989,8, 1
1424355250631,videoProvisioner,12431,7, 1
1424355254541,videoProvisioner,32346,12, 1
1424355255343,videoProvisioner,37149,6, 1
1424355257298,videoProvisioner,31101,5, 1
1424355265418,videoProvisioner,31219,8, 1
1424355273137,videoProvisioner,58944,4, 1
1424355278651,videoProvisioner,28447,10, 1
1424355284264,videoProvisioner,30058,3, 1
1424355286972,videoProvisioner,44771,11, 1
1424355288376,videoProvisioner,30169,11, 1
1424355293739,videoProvisioner,27530,6, 1
1424355305969,videoProvisioner,135790,4, 1
1424355308575,videoProvisioner,158402,8, 1
