timestamp,reqType,service,rt,selflet,numberOfReqs 
1423647237309,LocalReqLocalExe,checkIfAvailable,1779,10,1
1423647239299,LocalReqLocalExe,downloadVideo,1989,10,1
1423647239299,LocalReqLocalExe,getVideoResource,3770,10,1
1423647267406,LocalReqLocalExe,scaleVideo,28106,10,1
1423647268302,LocalReqLocalExe,transcodeVideo,895,10,1
1423647270182,LocalReqLocalExe,bitDepthReduction,1879,10,1
1423647270183,LocalReqLocalExe,videoProvisioner,34655,10,1
1423647646602,LocalReqLocalExe,checkIfAvailable,1051,10,1
1423647647798,LocalReqLocalExe,downloadVideo,1195,10,1
1423647647799,LocalReqLocalExe,getVideoResource,2248,10,1
1423647707490,LocalReqLocalExe,scaleVideo,59690,10,1
1423647708015,LocalReqLocalExe,transcodeVideo,524,10,1
1423647710483,LocalReqLocalExe,bitDepthReduction,2468,10,1
1423647710483,LocalReqLocalExe,videoProvisioner,64933,10,1
1423647961478,LocalReqLocalExe,checkIfAvailable,840,10,1
1423647962843,LocalReqLocalExe,downloadVideo,1364,10,1
1423647962843,LocalReqLocalExe,getVideoResource,2206,10,1
1423647986170,LocalReqLocalExe,scaleVideo,23326,10,1
1423647986558,LocalReqLocalExe,transcodeVideo,387,10,1
1423647986734,LocalReqLocalExe,bitDepthReduction,175,10,1
1423647986735,LocalReqLocalExe,videoProvisioner,26099,10,1
1423648086014,LocalReqLocalExe,checkIfAvailable,339,10,1
1423648086370,LocalReqLocalExe,downloadVideo,355,10,1
1423648086371,LocalReqLocalExe,getVideoResource,696,10,1
1423648108950,LocalReqLocalExe,scaleVideo,22579,10,1
1423648109002,LocalReqLocalExe,transcodeVideo,50,10,1
1423648109846,LocalReqLocalExe,bitDepthReduction,843,10,1
1423648110674,LocalReqLocalExe,checkIfSubtitlesAvailable,826,10,1
1423648111882,LocalReqLocalExe,checkIfSubtitlesExists,1207,10,1
1423648112074,LocalReqLocalExe,getDefaultSubtitle,191,10,1
1423648112146,LocalReqLocalExe,translateSubtitleToLanguage,71,10,1
1423648112147,LocalReqLocalExe,getSubtitles,2300,10,1
1423648113998,LocalReqLocalExe,applySubtitles,1851,10,1
1423648113999,LocalReqLocalExe,videoProvisioner,28325,10,1
1423648133938,LocalReqLocalExe,checkIfAvailable,251,10,1
1423648135058,LocalReqLocalExe,downloadVideo,1119,10,1
1423648135059,LocalReqLocalExe,getVideoResource,1372,10,1
1423648153386,LocalReqLocalExe,scaleVideo,18326,10,1
1423648154234,LocalReqLocalExe,transcodeVideo,847,10,1
1423648154723,LocalReqLocalExe,bitDepthReduction,488,10,1
1423648154723,LocalReqLocalExe,videoProvisioner,21037,10,1
1423648516106,LocalReqLocalExe,checkIfAvailable,315,10,1
1423648518030,LocalReqLocalExe,downloadVideo,1923,10,1
1423648518031,LocalReqLocalExe,getVideoResource,2241,10,1
1423648588758,LocalReqLocalExe,scaleVideo,70727,10,1
1423648589278,LocalReqLocalExe,transcodeVideo,519,10,1
1423648590382,LocalReqLocalExe,bitDepthReduction,1103,10,1
1423648590383,LocalReqLocalExe,videoProvisioner,74593,10,1
1423648728330,LocalReqLocalExe,checkIfAvailable,2466,10,1
1423648730882,LocalReqLocalExe,downloadVideo,2551,10,1
1423648730883,LocalReqLocalExe,getVideoResource,5019,10,1
1423648757482,LocalReqLocalExe,scaleVideo,26599,10,1
1423648757886,LocalReqLocalExe,transcodeVideo,403,10,1
1423648758270,LocalReqLocalExe,bitDepthReduction,383,10,1
1423648758910,LocalReqLocalExe,checkIfSubtitlesAvailable,638,10,1
1423648759598,LocalReqLocalExe,checkIfSubtitlesExists,687,10,1
1423648759886,LocalReqLocalExe,getDefaultSubtitle,287,10,1
1423648759887,LocalReqLocalExe,getSubtitles,1616,10,1
1423648760230,LocalReqLocalExe,applySubtitles,343,10,1
1423648760231,LocalReqLocalExe,videoProvisioner,34368,10,1
1423648924990,LocalReqLocalExe,checkIfAvailable,1546,10,1
1423648925522,LocalReqLocalExe,downloadVideo,531,10,1
1423648925523,LocalReqLocalExe,getVideoResource,2079,10,1
1423648945098,LocalReqLocalExe,scaleVideo,19575,10,1
1423648945650,LocalReqLocalExe,transcodeVideo,551,10,1
1423648945942,LocalReqLocalExe,bitDepthReduction,291,10,1
1423648945943,LocalReqLocalExe,videoProvisioner,22499,10,1
1423648997406,LocalReqLocalExe,checkIfAvailable,1354,10,1
1423648997870,LocalReqLocalExe,downloadVideo,463,10,1
1423648997871,LocalReqLocalExe,getVideoResource,1819,10,1
1423649017454,LocalReqLocalExe,scaleVideo,19583,10,1
1423649019510,LocalReqLocalExe,transcodeVideo,2055,10,1
1423649021778,LocalReqLocalExe,bitDepthReduction,2267,10,1
1423649021779,LocalReqLocalExe,videoProvisioner,25727,10,1
1423649238014,LocalReqLocalExe,checkIfAvailable,1905,10,1
1423649239170,LocalReqLocalExe,downloadVideo,1155,10,1
1423649239171,LocalReqLocalExe,getVideoResource,3062,10,1
1423649263775,LocalReqLocalExe,scaleVideo,24604,10,1
1423649265434,LocalReqLocalExe,transcodeVideo,1659,10,1
1423649265986,LocalReqLocalExe,bitDepthReduction,547,10,1
1423649267062,LocalReqLocalExe,checkIfSubtitlesAvailable,1074,10,1
1423649267306,LocalReqLocalExe,checkIfSubtitlesExists,243,10,1
1423649267307,LocalReqLocalExe,getSubtitles,1320,10,1
1423649268410,LocalReqLocalExe,applySubtitles,1103,10,1
1423649268411,LocalReqLocalExe,videoProvisioner,32302,10,1
1423649301638,LocalReqLocalExe,checkIfAvailable,496,10,1
1423649302798,LocalReqLocalExe,downloadVideo,1159,10,1
1423649302799,LocalReqLocalExe,getVideoResource,1658,10,1
