timestamp,service,rt,selfletID,numberOfReqs 
1423647108822,videoProvisioner,23365,16, 1
1423647113988,videoProvisioner,28506,6, 1
1423647127281,videoProvisioner,21797,54, 1
1423647127632,videoProvisioner,32142,43, 1
1423647146036,videoProvisioner,30551,55, 1
1423647153909,videoProvisioner,18422,43, 1
1423647168604,videoProvisioner,23115,12, 1
1423647187860,videoProvisioner,32370,3, 1
1423647191721,videoProvisioner,26230,6, 1
1423647195783,videoProvisioner,70296,3, 1
1423647207768,videoProvisioner,32275,14, 1
1423647213536,videoProvisioner,28043,52, 1
1423647224770,videoProvisioner,29275,49, 1
1423647238311,videoProvisioner,32816,13, 1
1423647251401,videoProvisioner,35904,38, 1
1423647270209,videoProvisioner,34710,10, 1
1423647282094,videoProvisioner,26593,17, 1
1423647304311,videoProvisioner,28808,23, 1
1423647310780,videoProvisioner,85282,16, 1
1423647316597,videoProvisioner,31093,16, 1
1423647322112,videoProvisioner,76612,4, 1
1423647323366,videoProvisioner,27860,26, 1
1423647334346,videoProvisioner,68840,24, 1
1423647335951,videoProvisioner,10442,14, 1
1423647340915,videoProvisioner,35409,42, 1
1423647344425,videoProvisioner,28917,7, 1
1423647373657,videoProvisioner,28146,47, 1
1423647389852,videoProvisioner,24339,35, 1
1423647409809,videoProvisioner,34294,41, 1
1423647423848,videoProvisioner,24998,20, 1
1423647426003,videoProvisioner,33819,54, 1
1423647426004,videoProvisioner,90494,35, 1
1423647430365,videoProvisioner,74853,9, 1
1423647432821,videoProvisioner,27304,41, 1
1423647449664,videoProvisioner,37479,2, 1
1423647454025,videoProvisioner,28506,8, 1
1423647458789,videoProvisioner,73273,51, 1
1423647465055,videoProvisioner,32869,25, 1
1423647482149,videoProvisioner,29961,28, 1
1423647489719,videoProvisioner,24197,47, 1
1423647489769,videoProvisioner,70917,13, 1
1423647497791,videoProvisioner,25602,24, 1
1423647515286,videoProvisioner,29763,54, 1
1423647519096,videoProvisioner,80243,33, 1
1423647521152,videoProvisioner,28961,44, 1
1423647521703,videoProvisioner,76183,3, 1
1423647527770,videoProvisioner,28912,27, 1
1423647532081,videoProvisioner,73226,29, 1
1423647544263,videoProvisioner,25403,2, 1
1423647549777,videoProvisioner,70921,2, 1
1423647550479,videoProvisioner,38287,9, 1
1423647557598,videoProvisioner,32072,6, 1
1423647559253,videoProvisioner,27059,35, 1
1423647577653,videoProvisioner,25457,19, 1
1423647578506,videoProvisioner,12976,56, 1
1423647583469,videoProvisioner,37940,55, 1
