timestamp,reqType,service,rt,selflet,numberOfReqs 
1428058121943,LocalReqLocalExe,checkIfAvailable,807,10,1
1428058122101,LocalReqLocalExe,downloadVideo,157,10,1
1428058122101,LocalReqLocalExe,getVideoResource,965,10,1
1428058149709,LocalReqLocalExe,scaleVideo,27607,10,1
1428058149853,LocalReqLocalExe,transcodeVideo,143,10,1
1428058151197,LocalReqLocalExe,bitDepthReduction,1343,10,1
1428058151197,LocalReqLocalExe,videoProvisioner,30062,10,1
1428059255929,LocalReqLocalExe,checkIfAvailable,1254,10,1
1428059257349,LocalReqLocalExe,downloadVideo,1420,10,1
1428059257349,LocalReqLocalExe,getVideoResource,2674,10,1
1428059258337,LocalReqLocalExe,checkIfAvailable,291,10,1
1428059259345,LocalReqLocalExe,downloadVideo,1006,10,1
1428059259346,LocalReqLocalExe,getVideoResource,1301,10,1
1428059265387,LocalReqLocalExe,scaleVideo,8037,10,1
1428059266385,LocalReqLocalExe,transcodeVideo,997,10,1
1428059266466,LocalReqLocalExe,bitDepthReduction,80,10,1
1428059266466,LocalReqLocalExe,videoProvisioner,11792,10,1
1428059280913,LocalReqLocalExe,scaleVideo,21566,10,1
1428059281637,LocalReqLocalExe,transcodeVideo,723,10,1
1428059282277,LocalReqLocalExe,bitDepthReduction,639,10,1
1428059282277,LocalReqLocalExe,videoProvisioner,24233,10,1
1428059332369,LocalReqLocalExe,checkIfAvailable,992,10,1
1428059332389,LocalReqLocalExe,downloadVideo,19,10,1
1428059332389,LocalReqLocalExe,getVideoResource,1013,10,1
1428059398073,LocalReqLocalExe,scaleVideo,65683,10,1
1428059398113,LocalReqLocalExe,transcodeVideo,39,10,1
1428059399073,LocalReqLocalExe,bitDepthReduction,960,10,1
1428059399073,LocalReqLocalExe,videoProvisioner,67707,10,1
1428059445389,LocalReqLocalExe,checkIfAvailable,588,10,1
1428059447177,LocalReqLocalExe,downloadVideo,1788,10,1
1428059447177,LocalReqLocalExe,getVideoResource,2377,10,1
1428059472273,LocalReqLocalExe,scaleVideo,25095,10,1
1428059472297,LocalReqLocalExe,transcodeVideo,23,10,1
1428059472325,LocalReqLocalExe,bitDepthReduction,28,10,1
1428059472325,LocalReqLocalExe,videoProvisioner,27525,10,1
1428059626685,LocalReqLocalExe,checkIfAvailable,439,10,1
1428059626685,LocalReqLocalExe,getVideoResource,440,10,1
1428059637289,LocalReqLocalExe,checkIfAvailable,2473,10,1
1428059637789,LocalReqLocalExe,downloadVideo,499,10,1
1428059637789,LocalReqLocalExe,getVideoResource,2974,10,1
1428059651575,LocalReqLocalExe,scaleVideo,24889,10,1
1428059652724,LocalReqLocalExe,transcodeVideo,1148,10,1
1428059656065,LocalReqLocalExe,bitDepthReduction,3341,10,1
1428059656065,LocalReqLocalExe,videoProvisioner,29820,10,1
1428059662733,LocalReqLocalExe,scaleVideo,24943,10,1
1428059663525,LocalReqLocalExe,transcodeVideo,791,10,1
1428059668021,LocalReqLocalExe,bitDepthReduction,4496,10,1
1428059668022,LocalReqLocalExe,videoProvisioner,33208,10,1
1428059668309,LocalReqLocalExe,checkIfAvailable,2053,10,1
1428059669877,LocalReqLocalExe,downloadVideo,1568,10,1
1428059669878,LocalReqLocalExe,getVideoResource,3622,10,1
1428059670657,LocalReqLocalExe,checkIfAvailable,1542,10,1
1428059670989,LocalReqLocalExe,downloadVideo,331,10,1
1428059670991,LocalReqLocalExe,getVideoResource,1877,10,1
1428059690907,LocalReqLocalExe,scaleVideo,21028,10,1
1428059693178,LocalReqLocalExe,transcodeVideo,2271,10,1
1428059694953,LocalReqLocalExe,bitDepthReduction,1775,10,1
1428059694954,LocalReqLocalExe,videoProvisioner,28699,10,1
1428059698469,LocalReqLocalExe,scaleVideo,27477,10,1
1428059699057,LocalReqLocalExe,transcodeVideo,587,10,1
1428059699757,LocalReqLocalExe,bitDepthReduction,699,10,1
1428059699758,LocalReqLocalExe,videoProvisioner,30644,10,1
1428059865165,LocalReqLocalExe,checkIfAvailable,607,10,1
1428059868985,LocalReqLocalExe,downloadVideo,3820,10,1
1428059868985,LocalReqLocalExe,getVideoResource,4428,10,1
1428059894821,LocalReqLocalExe,scaleVideo,25835,10,1
1428059894913,LocalReqLocalExe,transcodeVideo,91,10,1
1428059898009,LocalReqLocalExe,bitDepthReduction,3096,10,1
1428059898010,LocalReqLocalExe,videoProvisioner,33453,10,1
1428059909685,LocalReqLocalExe,checkIfAvailable,104,10,1
1428059911413,LocalReqLocalExe,downloadVideo,1728,10,1
1428059911413,LocalReqLocalExe,getVideoResource,1832,10,1
1428059970597,LocalReqLocalExe,scaleVideo,59183,10,1
1428059971009,LocalReqLocalExe,transcodeVideo,411,10,1
1428059972953,LocalReqLocalExe,bitDepthReduction,1944,10,1
1428059972953,LocalReqLocalExe,videoProvisioner,63373,10,1
1428060029097,LocalReqLocalExe,checkIfAvailable,1956,10,1
1428060031773,LocalReqLocalExe,downloadVideo,2675,10,1
1428060031773,LocalReqLocalExe,getVideoResource,4633,10,1
1428060050101,LocalReqLocalExe,checkIfAvailable,447,10,1
1428060050293,LocalReqLocalExe,downloadVideo,191,10,1
1428060050293,LocalReqLocalExe,getVideoResource,640,10,1
1428060055057,LocalReqLocalExe,scaleVideo,23283,10,1
1428060055369,LocalReqLocalExe,transcodeVideo,311,10,1
1428060057465,LocalReqLocalExe,bitDepthReduction,2095,10,1
1428060057466,LocalReqLocalExe,videoProvisioner,30326,10,1
