timestamp,service,rt,selfletID,numberOfReqs 
1428058037904,videoProvisioner,26324,14, 1
1428058049287,videoProvisioner,28165,37, 1
1428058058364,videoProvisioner,27247,31, 1
1428058069746,videoProvisioner,28628,12, 1
1428058086396,videoProvisioner,25275,28, 1
1428058093070,videoProvisioner,21948,23, 1
1428058103501,videoProvisioner,22378,26, 1
1428058116990,videoProvisioner,25866,35, 1
1428058131080,videoProvisioner,29954,46, 1
1428058137299,videoProvisioner,86180,45, 1
1428058145575,videoProvisioner,34447,29, 1
1428058151242,videoProvisioner,30114,10, 1
1428058165182,videoProvisioner,34053,46, 1
1428058165684,videoProvisioner,14553,17, 1
1428058173707,videoProvisioner,32577,3, 1
1428058180777,videoProvisioner,9643,4, 1
1428058205897,videoProvisioner,24762,16, 1
1428058225300,videoProvisioner,64168,28, 1
1428058234476,videoProvisioner,33339,30, 1
1428058245104,videoProvisioner,33965,13, 1
1428058255531,videoProvisioner,34391,35, 1
1428058259893,videoProvisioner,28752,17, 1
1428058261047,videoProvisioner,69911,7, 1
1428058272279,videoProvisioner,31137,43, 1
1428058285915,videoProvisioner,34772,21, 1
1428058288773,videoProvisioner,27629,13, 1
1428058292533,videoProvisioner,21387,21, 1
1428058321059,videoProvisioner,39912,15, 1
1428058321059,videoProvisioner,29911,17, 1
1428058322162,videoProvisioner,21013,11, 1
1428058344120,videoProvisioner,32969,26, 1
1428058350286,videoProvisioner,29135,38, 1
1428058358408,videoProvisioner,30589,41, 1
1428058363321,videoProvisioner,28835,2, 1
1428058369687,videoProvisioner,28534,16, 1
1428058377406,videoProvisioner,29586,31, 1
1428058389787,videoProvisioner,28633,16, 1
1428058390439,videoProvisioner,35952,42, 1
1428058396956,videoProvisioner,29135,13, 1
1428058400014,videoProvisioner,25525,25, 1
1428058407734,videoProvisioner,26578,36, 1
1428058419262,videoProvisioner,31439,44, 1
1428058429340,videoProvisioner,34850,3, 1
1428058433200,videoProvisioner,25376,25, 1
1428058436409,videoProvisioner,35252,32, 1
1428058449943,videoProvisioner,28784,6, 1
1428058453703,videoProvisioner,25877,44, 1
1428058460772,videoProvisioner,26279,44, 1
1428058469295,videoProvisioner,28135,29, 1
1428058479321,videoProvisioner,31493,15, 1
1428058482630,videoProvisioner,28135,3, 1
1428058488651,videoProvisioner,27489,15, 1
1428058500783,videoProvisioner,32954,31, 1
1428058503140,videoProvisioner,28644,21, 1
1428058506450,videoProvisioner,18619,18, 1
1428058512066,videoProvisioner,97574,7, 1
1428058516026,videoProvisioner,34862,21, 1
1428058528962,videoProvisioner,34464,40, 1
1428058529513,videoProvisioner,21681,26, 1
1428058538237,videoProvisioner,37071,36, 1
1428058544402,videoProvisioner,23235,32, 1
1428058559695,videoProvisioner,25194,34, 1
1428058573433,videoProvisioner,32265,37, 1
1428058577343,videoProvisioner,29507,7, 1
1428058589322,videoProvisioner,74823,12, 1
1428058591377,videoProvisioner,36875,41, 1
1428058596740,videoProvisioner,22236,15, 1
1428058603056,videoProvisioner,75222,46, 1
1428058610876,videoProvisioner,29705,37, 1
1428058615638,videoProvisioner,27800,8, 1
1428058623208,videoProvisioner,28702,39, 1
1428058630877,videoProvisioner,69708,43, 1
1428058633985,videoProvisioner,32812,7, 1
1428058635238,videoProvisioner,27398,12, 1
1428058645613,videoProvisioner,31106,21, 1
1428058652380,videoProvisioner,32872,20, 1
1428058653182,videoProvisioner,85345,29, 1
1428058663308,videoProvisioner,33796,39, 1
1428058668823,videoProvisioner,34311,44, 1
1428058673835,videoProvisioner,24319,21, 1
1428058676192,videoProvisioner,36679,4, 1
1428058682108,videoProvisioner,37594,3, 1
1428058685116,videoProvisioner,30599,3, 1
1428058686419,videoProvisioner,26901,4, 1
1428058690930,videoProvisioner,26411,43, 1
1428058702809,videoProvisioner,78300,17, 1
1428058707221,videoProvisioner,12694,6, 1
1428058709326,videoProvisioner,29803,4, 1
1428058711582,videoProvisioner,27058,18, 1
1428058720454,videoProvisioner,30929,22, 1
1428058729627,videoProvisioner,30099,46, 1
1428058732985,videoProvisioner,13453,8, 1
1428058738699,videoProvisioner,34170,21, 1
1428058746569,videoProvisioner,32038,15, 1
1428058753937,videoProvisioner,24402,17, 1
1428058754338,videoProvisioner,79816,7, 1
1428058759401,videoProvisioner,24865,12, 1
1428058762007,videoProvisioner,92486,17, 1
1428058762509,videoProvisioner,37976,9, 1
1428058773436,videoProvisioner,33899,15, 1
1428058777146,videoProvisioner,67616,27, 1
1428058779452,videoProvisioner,24911,16, 1
1428058781256,videoProvisioner,36718,45, 1
1428058785567,videoProvisioner,36026,16, 1
1428058786169,videoProvisioner,26627,24, 1
1428058795041,videoProvisioner,30498,2, 1
1428058799202,videoProvisioner,29658,11, 1
1428058804215,videoProvisioner,24669,25, 1
1428058805370,videoProvisioner,30824,7, 1
1428058812139,videoProvisioner,22590,13, 1
1428058822017,videoProvisioner,27467,31, 1
1428058828735,videoProvisioner,29184,36, 1
1428058831743,videoProvisioner,27190,36, 1
1428058855605,videoProvisioner,36049,43, 1
1428058856608,videoProvisioner,22048,26, 1
1428058858413,videoProvisioner,28855,13, 1
1428058869641,videoProvisioner,30079,8, 1
1428058869641,videoProvisioner,15076,11, 1
1428058870995,videoProvisioner,86447,30, 1
1428058875306,videoProvisioner,30744,36, 1
1428058881722,videoProvisioner,72168,4, 1
1428058883076,videoProvisioner,58519,9, 1
1428058886635,videoProvisioner,22068,18, 1
1428058888239,videoProvisioner,73684,38, 1
1428058890044,videoProvisioner,30478,35, 1
1428058894606,videoProvisioner,25036,46, 1
1428058902075,videoProvisioner,27504,15, 1
1428058912401,videoProvisioner,32830,28, 1
1428058913053,videoProvisioner,23479,24, 1
1428058922978,videoProvisioner,18400,19, 1
1428058923380,videoProvisioner,23804,17, 1
1428058931353,videoProvisioner,81789,5, 1
1428058931704,videoProvisioner,47132,23, 1
1428058939273,videoProvisioner,29694,24, 1
1428058945239,videoProvisioner,26656,18, 1
1428058950453,videoProvisioner,27869,29, 1
1428058954917,videoProvisioner,12325,30, 1
1428058955519,videoProvisioner,28933,45, 1
1428058959680,videoProvisioner,29093,43, 1
1428058960232,videoProvisioner,25643,2, 1
1428058975420,videoProvisioner,80845,27, 1
1428058979881,videoProvisioner,21283,14, 1
1428058981084,videoProvisioner,26488,20, 1
1428058987851,videoProvisioner,25251,6, 1
1428058995320,videoProvisioner,80739,29, 1
1428058995521,videoProvisioner,28920,23, 1
1428058999631,videoProvisioner,25026,20, 1
1428059004644,videoProvisioner,66054,4, 1
1428059005195,videoProvisioner,26590,24, 1
1428059005797,videoProvisioner,23190,46, 1
1428059008855,videoProvisioner,38252,14, 1
1428059018829,videoProvisioner,32220,32, 1
1428059019030,videoProvisioner,72436,34, 1
1428059021487,videoProvisioner,70891,19, 1
1428059022790,videoProvisioner,24177,17, 1
1428059026499,videoProvisioner,19883,7, 1
1428059027602,videoProvisioner,36992,16, 1
1428059035372,videoProvisioner,32758,35, 1
1428059039682,videoProvisioner,29064,7, 1
1428059039833,videoProvisioner,25214,36, 1
1428059048756,videoProvisioner,30135,40, 1
1428059053269,videoProvisioner,30647,14, 1
1428059055525,videoProvisioner,16897,6, 1
1428059056928,videoProvisioner,26303,18, 1
1428059059234,videoProvisioner,16604,3, 1
1428059062743,videoProvisioner,12110,34, 1
1428059063445,videoProvisioner,28819,19, 1
1428059075525,videoProvisioner,28894,9, 1
1428059079485,videoProvisioner,84873,26, 1
1428059085700,videoProvisioner,31066,7, 1
1428059091064,videoProvisioner,32428,27, 1
1428059092618,videoProvisioner,25979,37, 1
1428059094925,videoProvisioner,68302,42, 1
1428059097632,videoProvisioner,10986,4, 1
1428059099086,videoProvisioner,36449,35, 1
1428059108260,videoProvisioner,29615,13, 1
1428059109112,videoProvisioner,26467,9, 1
1428059113123,videoProvisioner,42483,19, 1
1428059115630,videoProvisioner,24982,22, 1
1428059116933,videoProvisioner,22283,3, 1
1428059129865,videoProvisioner,23211,12, 1
1428059131269,videoProvisioner,32618,25, 1
1428059137134,videoProvisioner,18475,12, 1
1428059137435,videoProvisioner,22778,7, 1
1428059140192,videoProvisioner,29536,22, 1
1428059149766,videoProvisioner,27106,38, 1
1428059161546,videoProvisioner,30883,9, 1
1428059164203,videoProvisioner,25537,9, 1
1428059165406,videoProvisioner,38744,2, 1
1428059166409,videoProvisioner,31744,28, 1
1428059170168,videoProvisioner,95526,8, 1
1428059176585,videoProvisioner,29916,20, 1
1428059177538,videoProvisioner,34871,28, 1
1428059179844,videoProvisioner,25172,2, 1
1428059182401,videoProvisioner,79748,39, 1
1428059185058,videoProvisioner,26385,30, 1
1428059185409,videoProvisioner,34739,29, 1
1428059201602,videoProvisioner,34925,41, 1
1428059202003,videoProvisioner,27323,46, 1
1428059204910,videoProvisioner,34232,46, 1
1428059205763,videoProvisioner,27082,38, 1
1428059212730,videoProvisioner,50054,21, 1
1428059213934,videoProvisioner,23248,22, 1
1428059213984,videoProvisioner,31300,20, 1
1428059227670,videoProvisioner,28982,24, 1
1428059229325,videoProvisioner,26635,2, 1
1428059233836,videoProvisioner,19142,23, 1
1428059236192,videoProvisioner,25499,39, 1
1428059239852,videoProvisioner,33161,34, 1
1428059244114,videoProvisioner,26086,26, 1
1428059248827,videoProvisioner,27464,8, 1
1428059253089,videoProvisioner,66405,38, 1
1428059254042,videoProvisioner,29345,45, 1
1428059257351,videoProvisioner,25985,9, 1
1428059258303,videoProvisioner,30272,2, 1
1428059261261,videoProvisioner,26561,40, 1
1428059266525,videoProvisioner,11819,10, 1
1428059272390,videoProvisioner,27687,38, 1
1428059278656,videoProvisioner,83969,43, 1
1428059278756,videoProvisioner,30718,30, 1
1428059279559,videoProvisioner,28185,29, 1
1428059280361,videoProvisioner,38992,41, 1
