timestamp,reqType,service,rt,numberOfReqs 
1421846831794,local,checkIfAvailable,2363,1
1421846832152,local,downloadVideo,354,1
1421846832153,local,getVideoResource,2723,1
1421846858500,local,scaleVideo,26346,1
1421846859132,local,transcodeVideo,631,1
1421846860176,local,bitDepthReduction,1043,1
1421846860176,local,videoProvisioner,30747,1
1421846870044,local,checkIfAvailable,625,1
1421846870476,local,downloadVideo,431,1
1421846870476,local,getVideoResource,1058,1
1421846878292,local,scaleVideo,7815,1
1421846878348,local,transcodeVideo,55,1
1421846879296,local,bitDepthReduction,948,1
1421846879297,local,videoProvisioner,9879,1
1421846890420,local,checkIfAvailable,998,1
1421846891140,local,downloadVideo,719,1
1421846891141,local,getVideoResource,1720,1
1421846910076,local,checkIfAvailable,652,1
1421846910516,local,downloadVideo,438,1
1421846910517,local,getVideoResource,1094,1
1421846915072,local,scaleVideo,23931,1
1421846915493,local,transcodeVideo,420,1
1421846916333,local,bitDepthReduction,839,1
1421846916334,local,videoProvisioner,26915,1
1421846920009,local,checkIfAvailable,585,1
1421846924725,local,downloadVideo,4714,1
1421846924726,local,getVideoResource,5303,1
1421846936680,local,scaleVideo,26162,1
1421846937602,local,transcodeVideo,921,1
1421846938443,local,bitDepthReduction,840,1
1421846938443,local,videoProvisioner,29021,1
1421846943837,local,checkIfAvailable,4410,1
1421846945673,local,scaleVideo,20946,1
1421846945873,local,transcodeVideo,199,1
1421846946748,local,downloadVideo,2909,1
1421846946749,local,getVideoResource,7322,1
1421846946804,local,bitDepthReduction,930,1
1421846946805,local,videoProvisioner,27382,1
1421846970592,local,scaleVideo,23842,1
1421846973164,local,transcodeVideo,2571,1
1421846973324,local,bitDepthReduction,159,1
1421846973580,local,checkIfSubtitlesAvailable,255,1
1421846973623,local,checkIfSubtitlesExists,43,1
1421846974728,local,getDefaultSubtitle,1104,1
1421846975039,local,translateSubtitleToLanguage,311,1
1421846975040,local,getSubtitles,1716,1
1421846975432,local,applySubtitles,391,1
1421846975432,local,videoProvisioner,36006,1
1421847011760,local,checkIfAvailable,2325,1
1421847011760,local,getVideoResource,2326,1
1421847029604,local,checkIfAvailable,165,1
1421847029605,local,getVideoResource,167,1
1421847033709,local,scaleVideo,21948,1
1421847034207,local,transcodeVideo,496,1
1421847035488,local,bitDepthReduction,1280,1
1421847035489,local,videoProvisioner,26055,1
1421847055340,local,scaleVideo,25734,1
1421847057896,local,transcodeVideo,2555,1
1421847058668,local,bitDepthReduction,772,1
1421847058668,local,videoProvisioner,29231,1
1421847071076,local,checkIfAvailable,1634,1
1421847071440,local,downloadVideo,363,1
1421847071440,local,getVideoResource,1998,1
1421847091346,local,checkIfAvailable,1900,1
1421847091431,local,downloadVideo,84,1
1421847091431,local,getVideoResource,1986,1
1421847091650,local,scaleVideo,20209,1
1421847092376,local,transcodeVideo,725,1
1421847092842,local,bitDepthReduction,465,1
1421847092842,local,videoProvisioner,23401,1
1421847099884,local,checkIfAvailable,435,1
1421847102069,local,downloadVideo,2184,1
1421847102070,local,getVideoResource,2622,1
1421847118662,local,scaleVideo,27230,1
1421847119323,local,transcodeVideo,660,1
1421847120199,local,bitDepthReduction,875,1
1421847120200,local,videoProvisioner,30756,1
1421847124500,local,scaleVideo,22429,1
1421847124720,local,transcodeVideo,219,1
1421847125284,local,bitDepthReduction,563,1
1421847125284,local,videoProvisioner,25837,1
1421847146544,local,checkIfAvailable,426,1
1421847147664,local,downloadVideo,1120,1
1421847147664,local,getVideoResource,1547,1
1421847173508,local,scaleVideo,25843,1
1421847174572,local,transcodeVideo,1063,1
1421847176136,local,bitDepthReduction,1563,1
1421847176136,local,videoProvisioner,30019,1
1421847199736,local,checkIfAvailable,282,1
1421847199808,local,downloadVideo,71,1
1421847199808,local,getVideoResource,355,1
1421847208080,local,checkIfAvailable,1958,1
1421847209613,local,downloadVideo,1532,1
1421847209613,local,getVideoResource,3492,1
1421847212843,local,checkIfAvailable,51,1
1421847213089,local,downloadVideo,245,1
1421847213091,local,getVideoResource,303,1
1421847235629,local,scaleVideo,35820,1
1421847238120,local,transcodeVideo,2490,1
1421847239706,local,bitDepthReduction,1585,1
1421847239706,local,videoProvisioner,40253,1
1421847246255,local,scaleVideo,36641,1
1421847248648,local,transcodeVideo,2392,1
1421847251739,local,bitDepthReduction,3090,1
1421847251739,local,videoProvisioner,45619,1
1421847252414,local,checkIfAvailable,6286,1
1421847254432,local,downloadVideo,2017,1
1421847254432,local,getVideoResource,8307,1
1421847257839,local,scaleVideo,44747,1
1421847258836,local,transcodeVideo,996,1
1421847260105,local,bitDepthReduction,1268,1
1421847260106,local,videoProvisioner,47319,1
1421847267187,local,checkIfAvailable,1060,1
1421847270353,local,downloadVideo,3165,1
1421847270354,local,getVideoResource,4228,1
1421847280053,local,scaleVideo,25620,1
1421847281186,local,checkIfAvailable,1721,1
1421847282072,local,scaleVideo,11718,1
1421847282314,local,transcodeVideo,2260,1
1421847283265,local,bitDepthReduction,950,1
1421847283265,local,videoProvisioner,37141,1
1421847283779,local,transcodeVideo,1706,1
1421847284985,local,downloadVideo,3798,1
1421847284985,local,getVideoResource,5523,1
1421847285774,local,bitDepthReduction,1994,1
1421847286043,local,checkIfSubtitlesAvailable,268,1
1421847286043,local,getSubtitles,269,1
1421847286348,local,checkIfAvailable,216,1
1421847287136,local,applySubtitles,1092,1
1421847287137,local,videoProvisioner,21012,1
1421847288464,local,downloadVideo,2115,1
1421847288464,local,getVideoResource,2335,1
1421847294998,local,scaleVideo,10012,1
1421847296305,local,checkIfAvailable,3506,1
1421847297707,local,transcodeVideo,2707,1
1421847298856,local,bitDepthReduction,1148,1
1421847298856,local,videoProvisioner,19395,1
1421847299000,local,downloadVideo,2693,1
1421847299001,local,getVideoResource,6206,1
1421847314505,local,scaleVideo,26040,1
1421847314646,local,transcodeVideo,140,1
1421847314953,local,bitDepthReduction,307,1
1421847314953,local,videoProvisioner,28825,1
1421847319212,local,scaleVideo,20211,1
1421847319347,local,transcodeVideo,135,1
1421847319765,local,bitDepthReduction,417,1
1421847319767,local,videoProvisioner,26972,1
1421847321052,local,checkIfAvailable,1587,1
1421847323008,local,downloadVideo,1956,1
1421847323008,local,getVideoResource,3544,1
1421847334021,local,checkIfAvailable,1221,1
1421847334926,local,downloadVideo,904,1
1421847334926,local,getVideoResource,2127,1
1421847348316,local,scaleVideo,25307,1
1421847348860,local,transcodeVideo,543,1
1421847351453,local,bitDepthReduction,2592,1
1421847351454,local,videoProvisioner,31990,1
1421847361698,local,scaleVideo,26770,1
1421847361879,local,transcodeVideo,179,1
1421847362184,local,bitDepthReduction,304,1
1421847362184,local,videoProvisioner,29386,1
1421847364224,local,checkIfAvailable,4756,1
1421847365692,local,downloadVideo,1468,1
1421847365692,local,getVideoResource,6224,1
1421847390276,local,scaleVideo,24583,1
1421847390872,local,transcodeVideo,595,1
1421847391608,local,bitDepthReduction,736,1
1421847391608,local,videoProvisioner,32141,1
1421847425196,local,checkIfAvailable,718,1
1421847427608,local,downloadVideo,2412,1
1421847427608,local,getVideoResource,3131,1
1421847439598,local,checkIfAvailable,116,1
1421847441816,local,downloadVideo,2216,1
1421847441816,local,getVideoResource,2335,1
1421847450201,local,scaleVideo,22592,1
1421847451447,local,transcodeVideo,1245,1
1421847452848,local,bitDepthReduction,1399,1
1421847452849,local,videoProvisioner,28372,1
1421847459793,local,checkIfAvailable,305,1
1421847459808,local,downloadVideo,14,1
1421847459809,local,getVideoResource,322,1
1421847467486,local,scaleVideo,25669,1
1421847469948,local,checkIfAvailable,5459,1
1421847470832,local,downloadVideo,883,1
1421847470833,local,getVideoResource,6346,1
1421847471289,local,transcodeVideo,3802,1
