timestamp,selfletID,service,numberOfReqs 
1421846799378, 4, videoProvisioner, 1
1421846799402, 4, videoProvisioner, 1
1421846809409, 4, videoProvisioner, 1
1421846819405, 3, videoProvisioner, 1
1421846829405, 2, videoProvisioner, 1
1421846839407, 3, videoProvisioner, 1
1421846849410, 4, videoProvisioner, 1
1421846859411, 4, videoProvisioner, 1
1421846869412, 2, videoProvisioner, 1
1421846879413, 4, videoProvisioner, 1
1421846889414, 2, videoProvisioner, 1
1421846899416, 3, videoProvisioner, 1
1421846909417, 2, videoProvisioner, 1
1421846919418, 2, videoProvisioner, 1
1421846929420, 4, videoProvisioner, 1
1421846939421, 2, videoProvisioner, 1
1421846949422, 3, videoProvisioner, 1
1421846959423, 3, videoProvisioner, 1
1421846969425, 4, videoProvisioner, 1
1421846979426, 3, videoProvisioner, 1
1421846989427, 3, videoProvisioner, 1
1421846999429, 3, videoProvisioner, 1
1421847009430, 2, videoProvisioner, 1
1421847019431, 3, videoProvisioner, 1
1421847029433, 2, videoProvisioner, 1
1421847039434, 4, videoProvisioner, 1
1421847049435, 3, videoProvisioner, 1
1421847059437, 4, videoProvisioner, 1
1421847069438, 2, videoProvisioner, 1
1421847079439, 4, videoProvisioner, 1
1421847089441, 2, videoProvisioner, 1
1421847099442, 2, videoProvisioner, 1
1421847106109, 4, videoProvisioner, 1
1421847112777, 3, videoProvisioner, 1
1421847119444, 4, videoProvisioner, 1
1421847126111, 4, videoProvisioner, 1
1421847132779, 4, videoProvisioner, 1
1421847139446, 4, videoProvisioner, 1
1421847146114, 2, videoProvisioner, 1
1421847152780, 4, videoProvisioner, 1
1421847159448, 3, videoProvisioner, 1
1421847166114, 4, videoProvisioner, 1
1421847172782, 4, videoProvisioner, 1
1421847179450, 3, videoProvisioner, 1
1421847186116, 4, videoProvisioner, 1
1421847192784, 3, videoProvisioner, 1
1421847199451, 2, videoProvisioner, 1
1421847206118, 2, videoProvisioner, 1
1421847212785, 2, videoProvisioner, 1
1421847219453, 3, videoProvisioner, 1
1421847226120, 4, videoProvisioner, 1
1421847232788, 3, videoProvisioner, 1
1421847239455, 3, videoProvisioner, 1
1421847246122, 2, videoProvisioner, 1
1421847252794, 3, videoProvisioner, 1
1421847259457, 4, videoProvisioner, 1
1421847266124, 2, videoProvisioner, 1
1421847272791, 4, videoProvisioner, 1
1421847279459, 2, videoProvisioner, 1
1421847286127, 2, videoProvisioner, 1
1421847292793, 2, videoProvisioner, 1
1421847299460, 4, videoProvisioner, 1
1421847306128, 3, videoProvisioner, 1
1421847312795, 4, videoProvisioner, 1
1421847319462, 2, videoProvisioner, 1
1421847326130, 4, videoProvisioner, 1
1421847332797, 2, videoProvisioner, 1
1421847339464, 4, videoProvisioner, 1
1421847346132, 3, videoProvisioner, 1
1421847352799, 4, videoProvisioner, 1
1421847359466, 2, videoProvisioner, 1
1421847366133, 3, videoProvisioner, 1
1421847372800, 4, videoProvisioner, 1
1421847379468, 4, videoProvisioner, 1
1421847386135, 3, videoProvisioner, 1
1421847392803, 3, videoProvisioner, 1
1421847399470, 4, videoProvisioner, 1
1421847404471, 4, videoProvisioner, 1
1421847409472, 3, videoProvisioner, 1
1421847414473, 4, videoProvisioner, 1
1421847419475, 3, videoProvisioner, 1
1421847424476, 2, videoProvisioner, 1
1421847429477, 3, videoProvisioner, 1
1421847434478, 4, videoProvisioner, 1
1421847439479, 2, videoProvisioner, 1
1421847444480, 4, videoProvisioner, 1
1421847449481, 4, videoProvisioner, 1
1421847454483, 4, videoProvisioner, 1
1421847459485, 2, videoProvisioner, 1
1421847464485, 2, videoProvisioner, 1
1421847469487, 3, videoProvisioner, 1
1421847474488, 2, videoProvisioner, 1
1421847479489, 3, videoProvisioner, 1
1421847484491, 4, videoProvisioner, 1
1421847489492, 3, videoProvisioner, 1
1421847494493, 3, videoProvisioner, 1
1421847499494, 4, videoProvisioner, 1
1421847504495, 2, videoProvisioner, 1
1421847509497, 2, videoProvisioner, 1
1421847514498, 2, videoProvisioner, 1
1421847519499, 2, videoProvisioner, 1
1421847524500, 3, videoProvisioner, 1
1421847529501, 3, videoProvisioner, 1
1421847534503, 3, videoProvisioner, 1
1421847539504, 4, videoProvisioner, 1
1421847544505, 4, videoProvisioner, 1
1421847549506, 4, videoProvisioner, 1
1421847554508, 3, videoProvisioner, 1
1421847559509, 4, videoProvisioner, 1
1421847564510, 4, videoProvisioner, 1
1421847569511, 4, videoProvisioner, 1
1421847574513, 4, videoProvisioner, 1
1421847579514, 2, videoProvisioner, 1
1421847584515, 2, videoProvisioner, 1
1421847589516, 3, videoProvisioner, 1
1421847594517, 3, videoProvisioner, 1
1421847599519, 3, videoProvisioner, 1
1421847604521, 4, videoProvisioner, 1
1421847609521, 4, videoProvisioner, 1
1421847614522, 3, videoProvisioner, 1
1421847619524, 2, videoProvisioner, 1
1421847624525, 3, videoProvisioner, 1
1421847629525, 2, videoProvisioner, 1
1421847634528, 4, videoProvisioner, 1
1421847639529, 4, videoProvisioner, 1
1421847644530, 4, videoProvisioner, 1
1421847649531, 4, videoProvisioner, 1
1421847654532, 2, videoProvisioner, 1
1421847659534, 2, videoProvisioner, 1
1421847664535, 3, videoProvisioner, 1
1421847669536, 4, videoProvisioner, 1
1421847674537, 3, videoProvisioner, 1
1421847679538, 3, videoProvisioner, 1
1421847684539, 4, videoProvisioner, 1
1421847689541, 4, videoProvisioner, 1
1421847694542, 2, videoProvisioner, 1
1421847699543, 2, videoProvisioner, 1
1421847703546, 2, videoProvisioner, 1
1421847707545, 2, videoProvisioner, 1
1421847711546, 4, videoProvisioner, 1
1421847715548, 4, videoProvisioner, 1
1421847719549, 2, videoProvisioner, 1
1421847723555, 2, videoProvisioner, 1
1421847727552, 2, videoProvisioner, 1
1421847731553, 4, videoProvisioner, 1
1421847735553, 3, videoProvisioner, 1
1421847739555, 3, videoProvisioner, 1
1421847743558, 3, videoProvisioner, 1
1421847747558, 4, videoProvisioner, 1
1421847751559, 4, videoProvisioner, 1
1421847755560, 2, videoProvisioner, 1
1421847759561, 2, videoProvisioner, 1
1421847763563, 3, videoProvisioner, 1
1421847767564, 2, videoProvisioner, 1
1421847771565, 3, videoProvisioner, 1
1421847775567, 4, videoProvisioner, 1
1421847779568, 3, videoProvisioner, 1
1421847783569, 4, videoProvisioner, 1
1421847787569, 2, videoProvisioner, 1
1421847791571, 4, videoProvisioner, 1
1421847795572, 2, videoProvisioner, 1
1421847799574, 2, videoProvisioner, 1
1421847803575, 3, videoProvisioner, 1
1421847807576, 2, videoProvisioner, 1
1421847811577, 2, videoProvisioner, 1
1421847815579, 2, videoProvisioner, 1
1421847819580, 2, videoProvisioner, 1
1421847823581, 4, videoProvisioner, 1
1421847827582, 4, videoProvisioner, 1
1421847831584, 2, videoProvisioner, 1
1421847835585, 4, videoProvisioner, 1
1421847839586, 2, videoProvisioner, 1
1421847843587, 4, videoProvisioner, 1
1421847847589, 4, videoProvisioner, 1
1421847851590, 4, videoProvisioner, 1
1421847855591, 2, videoProvisioner, 1
1421847859592, 3, videoProvisioner, 1
1421847863593, 3, videoProvisioner, 1
1421847867594, 2, videoProvisioner, 1
1421847871595, 4, videoProvisioner, 1
1421847875597, 4, videoProvisioner, 1
1421847879598, 4, videoProvisioner, 1
1421847883599, 2, videoProvisioner, 1
1421847887601, 4, videoProvisioner, 1
1421847891602, 3, videoProvisioner, 1
1421847895603, 4, videoProvisioner, 1
1421847899604, 2, videoProvisioner, 1
1421847903607, 2, videoProvisioner, 1
1421847907606, 3, videoProvisioner, 1
1421847911608, 3, videoProvisioner, 1
1421847915609, 2, videoProvisioner, 1
1421847919610, 2, videoProvisioner, 1
1421847923611, 4, videoProvisioner, 1
