timestamp,selfletID,service,numberOfReqs 
1422001893214, 16, videoProvisioner, 1
1422001893243, 40, videoProvisioner, 1
1422001903245, 26, videoProvisioner, 1
1422001913241, 15, videoProvisioner, 1
1422001923242, 6, videoProvisioner, 1
1422001933243, 19, videoProvisioner, 1
1422001943243, 49, videoProvisioner, 1
1422001953244, 12, videoProvisioner, 1
1422001963246, 40, videoProvisioner, 1
1422001973246, 9, videoProvisioner, 1
1422001983248, 2, videoProvisioner, 1
1422001993250, 37, videoProvisioner, 1
1422002003249, 31, videoProvisioner, 1
1422002013251, 7, videoProvisioner, 1
1422002023252, 11, videoProvisioner, 1
1422002033253, 21, videoProvisioner, 1
1422002043254, 31, videoProvisioner, 1
1422002053255, 38, videoProvisioner, 1
1422002063256, 13, videoProvisioner, 1
1422002073258, 41, videoProvisioner, 1
1422002083258, 42, videoProvisioner, 1
1422002093259, 19, videoProvisioner, 1
1422002103261, 26, videoProvisioner, 1
1422002113261, 51, videoProvisioner, 1
1422002123262, 10, videoProvisioner, 1
1422002133264, 21, videoProvisioner, 1
1422002143265, 47, videoProvisioner, 1
1422002153267, 24, videoProvisioner, 1
1422002163267, 19, videoProvisioner, 1
1422002173268, 21, videoProvisioner, 1
1422002183269, 12, videoProvisioner, 1
1422002193271, 42, videoProvisioner, 1
1422002199938, 7, videoProvisioner, 1
1422002206606, 7, videoProvisioner, 1
1422002213272, 32, videoProvisioner, 1
1422002219940, 40, videoProvisioner, 1
1422002226608, 22, videoProvisioner, 1
1422002233273, 46, videoProvisioner, 1
1422002239940, 29, videoProvisioner, 1
1422002247667, 42, videoProvisioner, 1
1422002247672, 20, videoProvisioner, 1
1422002254340, 8, videoProvisioner, 1
1422002261007, 13, videoProvisioner, 1
1422002267674, 26, videoProvisioner, 1
1422002274340, 19, videoProvisioner, 1
1422002281008, 20, videoProvisioner, 1
1422002287676, 23, videoProvisioner, 1
1422002294343, 14, videoProvisioner, 1
1422002301010, 30, videoProvisioner, 1
1422002307677, 38, videoProvisioner, 1
1422002314344, 4, videoProvisioner, 1
1422002321011, 10, videoProvisioner, 1
1422002327678, 42, videoProvisioner, 1
1422002334345, 45, videoProvisioner, 1
1422002341013, 32, videoProvisioner, 1
1422002347679, 8, videoProvisioner, 1
1422002354348, 16, videoProvisioner, 1
1422002361014, 7, videoProvisioner, 1
1422002367681, 8, videoProvisioner, 1
1422002374348, 3, videoProvisioner, 1
1422002381016, 19, videoProvisioner, 1
1422002387682, 25, videoProvisioner, 1
1422002394350, 39, videoProvisioner, 1
1422002401016, 31, videoProvisioner, 1
1422002407684, 35, videoProvisioner, 1
1422002414351, 12, videoProvisioner, 1
1422002421019, 21, videoProvisioner, 1
1422002427686, 32, videoProvisioner, 1
1422002434353, 10, videoProvisioner, 1
1422002441020, 16, videoProvisioner, 1
1422002447687, 19, videoProvisioner, 1
1422002454354, 51, videoProvisioner, 1
1422002461022, 37, videoProvisioner, 1
1422002467688, 50, videoProvisioner, 1
1422002474356, 10, videoProvisioner, 1
1422002481023, 21, videoProvisioner, 1
1422002487690, 18, videoProvisioner, 1
1422002494357, 40, videoProvisioner, 1
1422002499359, 28, videoProvisioner, 1
1422002504361, 15, videoProvisioner, 1
1422002509361, 7, videoProvisioner, 1
1422002514362, 24, videoProvisioner, 1
1422002519363, 11, videoProvisioner, 1
1422002524365, 13, videoProvisioner, 1
1422002529365, 16, videoProvisioner, 1
1422002534366, 33, videoProvisioner, 1
1422002539368, 10, videoProvisioner, 1
1422002544369, 20, videoProvisioner, 1
1422002549370, 3, videoProvisioner, 1
1422002554371, 35, videoProvisioner, 1
1422002559372, 25, videoProvisioner, 1
1422002564375, 5, videoProvisioner, 1
1422002569375, 7, videoProvisioner, 1
1422002574377, 12, videoProvisioner, 1
1422002579378, 6, videoProvisioner, 1
1422002584378, 20, videoProvisioner, 1
1422002589380, 37, videoProvisioner, 1
1422002594381, 20, videoProvisioner, 1
1422002599382, 38, videoProvisioner, 1
1422002604383, 24, videoProvisioner, 1
1422002609384, 44, videoProvisioner, 1
1422002614385, 45, videoProvisioner, 1
1422002619387, 4, videoProvisioner, 1
1422002624389, 10, videoProvisioner, 1
1422002629389, 43, videoProvisioner, 1
1422002634390, 40, videoProvisioner, 1
1422002639392, 23, videoProvisioner, 1
1422002644392, 42, videoProvisioner, 1
1422002649394, 37, videoProvisioner, 1
1422002654395, 16, videoProvisioner, 1
1422002659396, 11, videoProvisioner, 1
1422002664397, 44, videoProvisioner, 1
1422002669398, 18, videoProvisioner, 1
1422002674399, 30, videoProvisioner, 1
1422002679401, 38, videoProvisioner, 1
1422002684402, 21, videoProvisioner, 1
1422002689403, 13, videoProvisioner, 1
1422002694404, 50, videoProvisioner, 1
1422002699406, 3, videoProvisioner, 1
1422002704407, 38, videoProvisioner, 1
1422002709408, 50, videoProvisioner, 1
1422002714409, 30, videoProvisioner, 1
1422002719410, 20, videoProvisioner, 1
1422002724411, 32, videoProvisioner, 1
1422002729413, 45, videoProvisioner, 1
1422002734414, 45, videoProvisioner, 1
1422002739415, 2, videoProvisioner, 1
1422002744417, 36, videoProvisioner, 1
1422002749417, 17, videoProvisioner, 1
1422002754419, 40, videoProvisioner, 1
1422002759420, 50, videoProvisioner, 1
1422002764421, 21, videoProvisioner, 1
1422002769422, 20, videoProvisioner, 1
1422002774424, 30, videoProvisioner, 1
1422002779425, 44, videoProvisioner, 1
1422002784426, 43, videoProvisioner, 1
1422002789427, 20, videoProvisioner, 1
1422002794428, 36, videoProvisioner, 1
1422002798429, 15, videoProvisioner, 1
1422002802431, 30, videoProvisioner, 1
1422002806432, 21, videoProvisioner, 1
1422002810434, 8, videoProvisioner, 1
1422002814435, 48, videoProvisioner, 1
1422002818436, 49, videoProvisioner, 1
1422002822438, 45, videoProvisioner, 1
1422002826438, 27, videoProvisioner, 1
1422002830440, 7, videoProvisioner, 1
1422002834440, 45, videoProvisioner, 1
1422002838442, 5, videoProvisioner, 1
1422002842444, 45, videoProvisioner, 1
1422002846444, 11, videoProvisioner, 1
1422002850446, 37, videoProvisioner, 1
1422002854446, 43, videoProvisioner, 1
1422002858448, 6, videoProvisioner, 1
1422002862449, 5, videoProvisioner, 1
1422002866458, 29, videoProvisioner, 1
1422002870452, 11, videoProvisioner, 1
1422002874453, 40, videoProvisioner, 1
1422002878453, 29, videoProvisioner, 1
1422002882455, 33, videoProvisioner, 1
1422002886457, 14, videoProvisioner, 1
1422002890457, 8, videoProvisioner, 1
1422002894459, 50, videoProvisioner, 1
1422002898460, 35, videoProvisioner, 1
1422002902462, 15, videoProvisioner, 1
1422002906463, 19, videoProvisioner, 1
1422002910465, 30, videoProvisioner, 1
1422002914466, 14, videoProvisioner, 1
1422002918468, 4, videoProvisioner, 1
1422002922468, 5, videoProvisioner, 1
1422002926470, 40, videoProvisioner, 1
1422002930472, 24, videoProvisioner, 1
1422002934473, 46, videoProvisioner, 1
1422002938475, 22, videoProvisioner, 1
1422002942476, 7, videoProvisioner, 1
1422002946477, 36, videoProvisioner, 1
1422002950479, 49, videoProvisioner, 1
1422002954481, 31, videoProvisioner, 1
1422002958483, 13, videoProvisioner, 1
1422002962483, 19, videoProvisioner, 1
1422002966484, 47, videoProvisioner, 1
1422002970486, 12, videoProvisioner, 1
1422002974487, 33, videoProvisioner, 1
1422002978488, 21, videoProvisioner, 1
1422002982490, 37, videoProvisioner, 1
1422002986491, 15, videoProvisioner, 1
1422002990493, 25, videoProvisioner, 1
1422002994494, 25, videoProvisioner, 1
1422002998495, 11, videoProvisioner, 1
1422003002497, 7, videoProvisioner, 1
1422003006497, 3, videoProvisioner, 1
1422003010499, 16, videoProvisioner, 1
1422003014501, 27, videoProvisioner, 1
1422003018502, 18, videoProvisioner, 1
1422003022503, 48, videoProvisioner, 1
1422003026505, 17, videoProvisioner, 1
1422003030506, 10, videoProvisioner, 1
1422003034507, 32, videoProvisioner, 1
1422003038509, 7, videoProvisioner, 1
1422003042510, 24, videoProvisioner, 1
1422003046511, 47, videoProvisioner, 1
1422003050513, 12, videoProvisioner, 1
1422003054514, 42, videoProvisioner, 1
1422003058516, 11, videoProvisioner, 1
1422003062517, 40, videoProvisioner, 1
1422003066519, 17, videoProvisioner, 1
1422003070520, 46, videoProvisioner, 1
1422003074521, 20, videoProvisioner, 1
1422003078522, 42, videoProvisioner, 1
1422003082523, 12, videoProvisioner, 1
1422003086525, 42, videoProvisioner, 1
1422003090526, 16, videoProvisioner, 1
1422003094528, 32, videoProvisioner, 1
1422003097862, 22, videoProvisioner, 1
1422003101196, 10, videoProvisioner, 1
1422003104530, 29, videoProvisioner, 1
1422003107877, 17, videoProvisioner, 1
1422003111199, 29, videoProvisioner, 1
1422003114533, 39, videoProvisioner, 1
1422003117871, 23, videoProvisioner, 1
1422003121202, 3, videoProvisioner, 1
1422003124536, 9, videoProvisioner, 1
1422003127871, 11, videoProvisioner, 1
1422003131207, 19, videoProvisioner, 1
1422003134539, 7, videoProvisioner, 1
1422003137873, 16, videoProvisioner, 1
1422003141208, 34, videoProvisioner, 1
1422003144542, 41, videoProvisioner, 1
1422003147876, 42, videoProvisioner, 1
1422003151212, 23, videoProvisioner, 1
