timestamp,reqType,service,rt,numberOfReqs 
1421155492529,local,checkIfAvailable,3169,1
1421155493667,local,downloadVideo,1134,1
1421155493668,local,getVideoResource,4309,1
1421155519539,local,scaleVideo,25870,1
1421155519754,local,transcodeVideo,215,1
1421155522395,local,bitDepthReduction,2640,1
1421155522395,local,videoProvisioner,33037,1
1421155561091,local,checkIfAvailable,1739,1
1421155561591,local,downloadVideo,499,1
1421155561591,local,getVideoResource,2240,1
1421155583219,local,scaleVideo,21626,1
1421155583507,local,transcodeVideo,288,1
1421155586227,local,bitDepthReduction,2719,1
1421155586227,local,videoProvisioner,26876,1
1421155703787,local,checkIfAvailable,1089,1
1421155706039,local,downloadVideo,2252,1
1421155706039,local,getVideoResource,3342,1
1421155729147,local,scaleVideo,23107,1
1421155729403,local,transcodeVideo,256,1
1421155731759,local,bitDepthReduction,2355,1
1421155731759,local,videoProvisioner,29063,1
1421156004770,local,checkIfAvailable,368,1
1421156006503,local,downloadVideo,1732,1
1421156006503,local,getVideoResource,2102,1
1421156017037,local,checkIfAvailable,2632,1
1421156017714,local,downloadVideo,676,1
1421156017715,local,getVideoResource,3311,1
1421156029234,local,scaleVideo,22730,1
1421156029795,local,transcodeVideo,560,1
1421156030067,local,bitDepthReduction,271,1
1421156030068,local,videoProvisioner,25667,1
1421156047439,local,scaleVideo,29723,1
1421156049430,local,transcodeVideo,1991,1
1421156049510,local,bitDepthReduction,79,1
1421156049511,local,videoProvisioner,35108,1
1421156134647,local,checkIfAvailable,211,1
1421156134739,local,downloadVideo,91,1
1421156134739,local,getVideoResource,304,1
1421156148307,local,scaleVideo,13567,1
1421156148475,local,transcodeVideo,167,1
1421156148935,local,bitDepthReduction,460,1
1421156149290,local,checkIfSubtitlesAvailable,354,1
1421156149347,local,checkIfSubtitlesExists,55,1
1421156153355,local,getDefaultSubtitle,4008,1
1421156153591,local,translateSubtitleToLanguage,233,1
1421156153591,local,getSubtitles,4656,1
1421156153883,local,applySubtitles,291,1
1421156153883,local,videoProvisioner,19448,1
1421156279735,local,checkIfAvailable,2258,1
1421156282787,local,downloadVideo,3052,1
1421156282787,local,getVideoResource,5310,1
1421156306375,local,scaleVideo,23586,1
1421156306715,local,transcodeVideo,340,1
1421156307319,local,bitDepthReduction,604,1
1421156307319,local,videoProvisioner,29843,1
1421156419403,local,checkIfAvailable,1879,1
1421156420847,local,downloadVideo,1444,1
1421156420847,local,getVideoResource,3324,1
1421156444179,local,scaleVideo,23331,1
1421156446379,local,transcodeVideo,2200,1
1421156447374,local,bitDepthReduction,995,1
1421156447375,local,videoProvisioner,29852,1
1421156454371,local,checkIfAvailable,836,1
1421156457087,local,downloadVideo,2716,1
1421156457087,local,getVideoResource,3553,1
1421156490419,local,checkIfAvailable,871,1
1421156490457,local,downloadVideo,37,1
1421156490458,local,getVideoResource,911,1
1421156526111,local,scaleVideo,69023,1
1421156526865,local,transcodeVideo,754,1
1421156531608,local,checkIfAvailable,5382,1
1421156532556,local,bitDepthReduction,5689,1
1421156532557,local,videoProvisioner,79023,1
1421156535400,local,downloadVideo,3792,1
1421156535401,local,getVideoResource,9178,1
1421156558577,local,scaleVideo,23176,1
1421156559905,local,transcodeVideo,1327,1
1421156560665,local,bitDepthReduction,759,1
1421156560666,local,videoProvisioner,34444,1
1421156561927,local,scaleVideo,71468,1
1421156562019,local,transcodeVideo,92,1
1421156563015,local,bitDepthReduction,995,1
1421156563015,local,videoProvisioner,73468,1
1421156600246,local,checkIfAvailable,668,1
1421156602919,local,downloadVideo,2672,1
1421156602919,local,getVideoResource,3342,1
1421156622247,local,scaleVideo,19327,1
1421156622371,local,transcodeVideo,124,1
1421156626735,local,bitDepthReduction,4364,1
1421156626735,local,videoProvisioner,27158,1
1421156640739,local,checkIfAvailable,1148,1
1421156640739,local,getVideoResource,1149,1
1421156697419,local,scaleVideo,56679,1
1421156698319,local,transcodeVideo,900,1
1421156698490,local,bitDepthReduction,170,1
1421156699183,local,checkIfSubtitlesAvailable,691,1
1421156700635,local,checkIfSubtitlesExists,1452,1
1421156701303,local,getDefaultSubtitle,668,1
1421156701303,local,getSubtitles,2812,1
1421156701627,local,applySubtitles,323,1
1421156701627,local,videoProvisioner,62037,1
1421156944191,local,checkIfAvailable,3067,1
1421156948366,local,downloadVideo,4175,1
1421156948367,local,getVideoResource,7243,1
1421156972963,local,scaleVideo,24595,1
1421156973350,local,transcodeVideo,387,1
1421156975387,local,bitDepthReduction,2036,1
1421156975387,local,videoProvisioner,34264,1
1421157039103,local,checkIfAvailable,798,1
1421157041206,local,downloadVideo,2103,1
1421157041207,local,getVideoResource,2903,1
1421157065299,local,scaleVideo,24091,1
1421157065523,local,transcodeVideo,224,1
1421157065763,local,bitDepthReduction,240,1
1421157065763,local,videoProvisioner,27459,1
1421157117275,local,checkIfAvailable,2511,1
1421157118491,local,downloadVideo,1216,1
1421157118491,local,getVideoResource,3727,1
1421157142079,local,scaleVideo,23587,1
1421157142443,local,transcodeVideo,364,1
1421157144298,local,bitDepthReduction,1855,1
1421157144299,local,videoProvisioner,29535,1
1421157182563,local,checkIfAvailable,266,1
1421157184055,local,downloadVideo,1492,1
1421157184056,local,getVideoResource,1760,1
1421157208643,local,scaleVideo,24587,1
1421157208855,local,transcodeVideo,212,1
1421157211219,local,bitDepthReduction,2364,1
1421157211270,local,checkIfSubtitlesAvailable,50,1
1421157213899,local,checkIfSubtitlesExists,2628,1
1421157213915,local,getDefaultSubtitle,15,1
1421157213915,local,getSubtitles,2696,1
1421157215023,local,applySubtitles,1107,1
1421157215023,local,videoProvisioner,32727,1
1421157251774,local,checkIfAvailable,820,1
1421157255723,local,downloadVideo,3948,1
1421157255723,local,getVideoResource,4770,1
1421157257352,local,checkIfAvailable,1395,1
1421157257409,local,downloadVideo,56,1
1421157257409,local,getVideoResource,1453,1
1421157282252,local,scaleVideo,24842,1
1421157282614,local,scaleVideo,26890,1
1421157282927,local,transcodeVideo,674,1
1421157283659,local,bitDepthReduction,731,1
1421157283660,local,videoProvisioner,27705,1
1421157283678,local,transcodeVideo,1063,1
