timestamp,selfletID,service,numberOfReqs 
1421155309300, 18, videoProvisioner, 1
1421155309321, 8, videoProvisioner, 1
1421155319330, 3, videoProvisioner, 1
1421155329323, 12, videoProvisioner, 1
1421155339326, 15, videoProvisioner, 1
1421155349326, 23, videoProvisioner, 1
1421155359327, 20, videoProvisioner, 1
1421155369329, 17, videoProvisioner, 1
1421155379330, 3, videoProvisioner, 1
1421155389331, 22, videoProvisioner, 1
1421155399332, 18, videoProvisioner, 1
1421155409334, 14, videoProvisioner, 1
1421155419335, 5, videoProvisioner, 1
1421155429336, 21, videoProvisioner, 1
1421155439339, 16, videoProvisioner, 1
1421155449339, 17, videoProvisioner, 1
1421155459340, 16, videoProvisioner, 1
1421155469340, 4, videoProvisioner, 1
1421155479342, 25, videoProvisioner, 1
1421155489343, 10, videoProvisioner, 1
1421155499344, 24, videoProvisioner, 1
1421155509346, 21, videoProvisioner, 1
1421155519346, 13, videoProvisioner, 1
1421155529348, 2, videoProvisioner, 1
1421155539349, 7, videoProvisioner, 1
1421155549350, 20, videoProvisioner, 1
1421155559352, 10, videoProvisioner, 1
1421155569353, 25, videoProvisioner, 1
1421155579355, 11, videoProvisioner, 1
1421155589355, 19, videoProvisioner, 1
1421155599357, 21, videoProvisioner, 1
1421155609358, 23, videoProvisioner, 1
1421155616025, 8, videoProvisioner, 1
1421155622692, 26, videoProvisioner, 1
1421155629359, 21, videoProvisioner, 1
1421155636027, 24, videoProvisioner, 1
1421155642694, 7, videoProvisioner, 1
1421155649361, 11, videoProvisioner, 1
1421155656029, 12, videoProvisioner, 1
1421155662695, 11, videoProvisioner, 1
1421155669363, 2, videoProvisioner, 1
1421155676030, 14, videoProvisioner, 1
1421155682698, 25, videoProvisioner, 1
1421155689366, 6, videoProvisioner, 1
1421155696032, 12, videoProvisioner, 1
1421155702699, 10, videoProvisioner, 1
1421155709366, 3, videoProvisioner, 1
1421155716034, 3, videoProvisioner, 1
1421155722701, 13, videoProvisioner, 1
1421155729367, 13, videoProvisioner, 1
1421155736035, 21, videoProvisioner, 1
1421155742702, 26, videoProvisioner, 1
1421155749369, 17, videoProvisioner, 1
1421155756037, 2, videoProvisioner, 1
1421155762704, 8, videoProvisioner, 1
1421155769371, 13, videoProvisioner, 1
1421155776039, 14, videoProvisioner, 1
1421155782706, 17, videoProvisioner, 1
1421155789373, 22, videoProvisioner, 1
1421155796041, 3, videoProvisioner, 1
1421155802708, 24, videoProvisioner, 1
1421155809374, 12, videoProvisioner, 1
1421155816042, 11, videoProvisioner, 1
1421155822709, 11, videoProvisioner, 1
1421155829376, 3, videoProvisioner, 1
1421155836044, 20, videoProvisioner, 1
1421155842711, 4, videoProvisioner, 1
1421155849379, 7, videoProvisioner, 1
1421155856046, 24, videoProvisioner, 1
1421155862712, 6, videoProvisioner, 1
1421155869380, 23, videoProvisioner, 1
1421155876048, 22, videoProvisioner, 1
1421155882714, 25, videoProvisioner, 1
1421155889381, 11, videoProvisioner, 1
1421155896049, 3, videoProvisioner, 1
1421155902716, 25, videoProvisioner, 1
1421155909384, 7, videoProvisioner, 1
1421155914384, 17, videoProvisioner, 1
1421155919386, 19, videoProvisioner, 1
1421155924387, 23, videoProvisioner, 1
1421155929388, 24, videoProvisioner, 1
1421155934389, 19, videoProvisioner, 1
1421155939391, 15, videoProvisioner, 1
1421155944392, 2, videoProvisioner, 1
1421155949393, 20, videoProvisioner, 1
1421155954395, 3, videoProvisioner, 1
1421155959395, 23, videoProvisioner, 1
1421155964396, 24, videoProvisioner, 1
1421155969397, 23, videoProvisioner, 1
1421155974399, 22, videoProvisioner, 1
1421155979401, 15, videoProvisioner, 1
