timestamp,selfletID,service,numberOfReqs 
1421915946398, 26, videoProvisioner, 1
1421915946420, 8, videoProvisioner, 1
1421915956429, 42, videoProvisioner, 1
1421915966423, 5, videoProvisioner, 1
1421915976425, 8, videoProvisioner, 1
1421915986426, 45, videoProvisioner, 1
1421915996430, 19, videoProvisioner, 1
1421916006430, 47, videoProvisioner, 1
1421916016432, 31, videoProvisioner, 1
1421916026434, 13, videoProvisioner, 1
1421916036436, 41, videoProvisioner, 1
1421916046438, 9, videoProvisioner, 1
1421916056440, 10, videoProvisioner, 1
1421916066442, 46, videoProvisioner, 1
1421916076444, 49, videoProvisioner, 1
1421916086446, 20, videoProvisioner, 1
1421916096447, 19, videoProvisioner, 1
1421916106448, 24, videoProvisioner, 1
1421916116451, 37, videoProvisioner, 1
1421916126452, 25, videoProvisioner, 1
1421916136454, 29, videoProvisioner, 1
1421916146456, 21, videoProvisioner, 1
1421916156457, 11, videoProvisioner, 1
1421916166458, 13, videoProvisioner, 1
1421916176460, 24, videoProvisioner, 1
1421916186462, 43, videoProvisioner, 1
1421916196464, 24, videoProvisioner, 1
1421916206465, 4, videoProvisioner, 1
1421916216468, 29, videoProvisioner, 1
1421916226472, 7, videoProvisioner, 1
1421916236475, 33, videoProvisioner, 1
1421916246473, 6, videoProvisioner, 1
1421916253140, 17, videoProvisioner, 1
1421916259807, 4, videoProvisioner, 1
1421916266474, 39, videoProvisioner, 1
1421916273142, 43, videoProvisioner, 1
1421916279811, 38, videoProvisioner, 1
1421916286476, 34, videoProvisioner, 1
1421916293145, 50, videoProvisioner, 1
1421916299812, 48, videoProvisioner, 1
1421916306480, 4, videoProvisioner, 1
1421916313147, 22, videoProvisioner, 1
1421916319814, 18, videoProvisioner, 1
1421916326481, 16, videoProvisioner, 1
1421916333149, 13, videoProvisioner, 1
1421916339817, 18, videoProvisioner, 1
1421916346484, 37, videoProvisioner, 1
1421916353152, 9, videoProvisioner, 1
1421916359819, 23, videoProvisioner, 1
1421916366486, 30, videoProvisioner, 1
1421916373154, 20, videoProvisioner, 1
1421916379821, 22, videoProvisioner, 1
1421916386489, 26, videoProvisioner, 1
1421916393156, 32, videoProvisioner, 1
1421916399823, 4, videoProvisioner, 1
1421916406491, 3, videoProvisioner, 1
1421916413158, 14, videoProvisioner, 1
1421916419826, 17, videoProvisioner, 1
1421916426493, 51, videoProvisioner, 1
1421916433162, 22, videoProvisioner, 1
1421916439828, 13, videoProvisioner, 1
1421916446496, 48, videoProvisioner, 1
1421916453165, 13, videoProvisioner, 1
1421916459830, 45, videoProvisioner, 1
1421916466497, 35, videoProvisioner, 1
1421916473165, 47, videoProvisioner, 1
1421916479831, 42, videoProvisioner, 1
1421916486499, 15, videoProvisioner, 1
1421916493167, 24, videoProvisioner, 1
1421916499834, 25, videoProvisioner, 1
1421916506501, 32, videoProvisioner, 1
1421916513168, 9, videoProvisioner, 1
1421916519836, 6, videoProvisioner, 1
1421916526503, 17, videoProvisioner, 1
1421916533170, 17, videoProvisioner, 1
1421916539837, 13, videoProvisioner, 1
1421916546505, 3, videoProvisioner, 1
1421916551506, 44, videoProvisioner, 1
1421916556507, 35, videoProvisioner, 1
1421916561509, 43, videoProvisioner, 1
1421916566510, 51, videoProvisioner, 1
