timestamp,reqType,service,rt,selflet,numberOfReqs 
1425139667736,LocalReqLocalExe,checkIfAvailable,1404,100,1
1425139668514,LocalReqLocalExe,downloadVideo,776,100,1
1425139668514,LocalReqLocalExe,getVideoResource,2183,100,1
1425139692402,LocalReqLocalExe,scaleVideo,23887,100,1
1425139693485,LocalReqLocalExe,transcodeVideo,1082,100,1
1425139693561,LocalReqLocalExe,bitDepthReduction,75,100,1
1425139693946,LocalReqLocalExe,checkIfSubtitlesAvailable,383,100,1
1425139694157,LocalReqLocalExe,checkIfSubtitlesExists,210,100,1
1425139695542,LocalReqLocalExe,getDefaultSubtitle,1384,100,1
1425139695953,LocalReqLocalExe,translateSubtitleToLanguage,410,100,1
1425139695954,LocalReqLocalExe,getSubtitles,2392,100,1
1425139696053,LocalReqLocalExe,applySubtitles,98,100,1
1425139696054,LocalReqLocalExe,videoProvisioner,29724,100,1
1425139740186,LocalReqLocalExe,checkIfAvailable,63,100,1
1425139741814,LocalReqLocalExe,downloadVideo,1628,100,1
1425139741815,LocalReqLocalExe,getVideoResource,1694,100,1
1425139743388,LocalReqLocalExe,checkIfAvailable,764,100,1
1425139745328,LocalReqLocalExe,downloadVideo,1939,100,1
1425139745329,LocalReqLocalExe,getVideoResource,2706,100,1
1425139770335,LocalReqLocalExe,checkIfAvailable,1437,100,1
1425139770855,LocalReqLocalExe,scaleVideo,29039,100,1
1425139775006,LocalReqLocalExe,downloadVideo,4669,100,1
1425139775007,LocalReqLocalExe,getVideoResource,6110,100,1
1425139778258,LocalReqLocalExe,transcodeVideo,7402,100,1
1425139791762,LocalReqLocalExe,bitDepthReduction,13503,100,1
1425139791763,LocalReqLocalExe,videoProvisioner,51643,100,1
1425139809370,LocalReqLocalExe,scaleVideo,34362,100,1
1425139809946,LocalReqLocalExe,transcodeVideo,575,100,1
1425139810510,LocalReqLocalExe,bitDepthReduction,563,100,1
1425139810510,LocalReqLocalExe,videoProvisioner,41614,100,1
1425139822806,LocalReqLocalExe,checkIfAvailable,2609,100,1
1425139823466,LocalReqLocalExe,downloadVideo,659,100,1
1425139823466,LocalReqLocalExe,getVideoResource,3271,100,1
1425139824861,LocalReqLocalExe,scaleVideo,79531,100,1
1425139826378,LocalReqLocalExe,transcodeVideo,1516,100,1
1425139826616,LocalReqLocalExe,bitDepthReduction,237,100,1
1425139826904,LocalReqLocalExe,checkIfSubtitlesAvailable,274,100,1
1425139827842,LocalReqLocalExe,checkIfSubtitlesExists,933,100,1
1425139829507,LocalReqLocalExe,getDefaultSubtitle,1664,100,1
1425139829508,LocalReqLocalExe,getSubtitles,2891,100,1
1425139829838,LocalReqLocalExe,applySubtitles,330,100,1
1425139829839,LocalReqLocalExe,videoProvisioner,87216,100,1
1425139863254,LocalReqLocalExe,checkIfAvailable,3020,100,1
1425139864107,LocalReqLocalExe,downloadVideo,852,100,1
1425139864108,LocalReqLocalExe,getVideoResource,3875,100,1
1425139884382,LocalReqLocalExe,scaleVideo,20273,100,1
1425139885846,LocalReqLocalExe,transcodeVideo,1464,100,1
1425139887167,LocalReqLocalExe,bitDepthReduction,1320,100,1
1425139887168,LocalReqLocalExe,videoProvisioner,26936,100,1
1425139889281,LocalReqLocalExe,scaleVideo,65814,100,1
1425139890761,LocalReqLocalExe,transcodeVideo,1479,100,1
1425139891266,LocalReqLocalExe,bitDepthReduction,504,100,1
1425139891638,LocalReqLocalExe,checkIfSubtitlesAvailable,370,100,1
1425139891638,LocalReqLocalExe,getSubtitles,371,100,1
1425139892170,LocalReqLocalExe,applySubtitles,531,100,1
1425139892170,LocalReqLocalExe,videoProvisioner,71975,100,1
1425139854405,LocalReqLocalExe,checkIfAvailable,411,101,1
1425139854406,LocalReqLocalExe,getVideoResource,413,101,1
1425139864707,LocalReqLocalExe,scaleVideo,10299,101,1
1425139865071,LocalReqLocalExe,transcodeVideo,363,101,1
1425139865843,LocalReqLocalExe,bitDepthReduction,771,101,1
1425139865844,LocalReqLocalExe,videoProvisioner,11852,101,1
1425139874071,LocalReqLocalExe,checkIfAvailable,1061,101,1
1425139875767,LocalReqLocalExe,downloadVideo,1695,101,1
1425139875768,LocalReqLocalExe,getVideoResource,2758,101,1
1425139939791,LocalReqLocalExe,scaleVideo,64022,101,1
1425139940139,LocalReqLocalExe,transcodeVideo,347,101,1
1425139942735,LocalReqLocalExe,bitDepthReduction,2595,101,1
1425139942771,LocalReqLocalExe,checkIfSubtitlesAvailable,35,101,1
1425139945863,LocalReqLocalExe,checkIfSubtitlesExists,3091,101,1
1425139948227,LocalReqLocalExe,getDefaultSubtitle,2363,101,1
1425139948716,LocalReqLocalExe,translateSubtitleToLanguage,487,101,1
1425139948716,LocalReqLocalExe,getSubtitles,5980,101,1
1425139949179,LocalReqLocalExe,applySubtitles,462,101,1
1425139949180,LocalReqLocalExe,videoProvisioner,76171,101,1
1425128127489,LocalReqLocalExe,checkIfAvailable,221,10,1
1425128127763,LocalReqLocalExe,downloadVideo,273,10,1
1425128127764,LocalReqLocalExe,getVideoResource,497,10,1
1425128144788,LocalReqLocalExe,checkIfAvailable,2531,10,1
1425128145971,LocalReqLocalExe,downloadVideo,1182,10,1
1425128145972,LocalReqLocalExe,getVideoResource,3716,10,1
1425128171742,LocalReqLocalExe,scaleVideo,25769,10,1
1425128172266,LocalReqLocalExe,transcodeVideo,523,10,1
1425128172324,LocalReqLocalExe,bitDepthReduction,57,10,1
1425128172324,LocalReqLocalExe,videoProvisioner,30069,10,1
1425128193352,LocalReqLocalExe,checkIfAvailable,5087,10,1
1425128194265,LocalReqLocalExe,downloadVideo,911,10,1
1425128194265,LocalReqLocalExe,getVideoResource,6001,10,1
1425128209779,LocalReqLocalExe,scaleVideo,82014,10,1
1425128209903,LocalReqLocalExe,transcodeVideo,124,10,1
1425128211191,LocalReqLocalExe,bitDepthReduction,1287,10,1
1425128211192,LocalReqLocalExe,videoProvisioner,83926,10,1
1425128218454,LocalReqLocalExe,scaleVideo,24188,10,1
1425128218554,LocalReqLocalExe,transcodeVideo,99,10,1
1425128219094,LocalReqLocalExe,bitDepthReduction,539,10,1
1425128219095,LocalReqLocalExe,videoProvisioner,30832,10,1
1425128284670,LocalReqLocalExe,checkIfAvailable,377,10,1
1425128284671,LocalReqLocalExe,getVideoResource,379,10,1
1425128308026,LocalReqLocalExe,scaleVideo,23354,10,1
1425128308746,LocalReqLocalExe,transcodeVideo,719,10,1
1425128310454,LocalReqLocalExe,bitDepthReduction,1707,10,1
1425128310455,LocalReqLocalExe,videoProvisioner,26163,10,1
1425128413083,LocalReqLocalExe,checkIfAvailable,757,10,1
1425128413446,LocalReqLocalExe,downloadVideo,362,10,1
1425128413447,LocalReqLocalExe,getVideoResource,1122,10,1
1425128432034,LocalReqLocalExe,scaleVideo,18586,10,1
1425128433298,LocalReqLocalExe,transcodeVideo,1263,10,1
1425128433606,LocalReqLocalExe,checkIfAvailable,1272,10,1
1425128433705,LocalReqLocalExe,downloadVideo,98,10,1
1425128433706,LocalReqLocalExe,getVideoResource,1373,10,1
1425128436117,LocalReqLocalExe,bitDepthReduction,2818,10,1
1425128439835,LocalReqLocalExe,checkIfSubtitlesAvailable,3704,10,1
1425128442143,LocalReqLocalExe,checkIfSubtitlesExists,2307,10,1
1425128442525,LocalReqLocalExe,getDefaultSubtitle,381,10,1
1425128442526,LocalReqLocalExe,getSubtitles,6408,10,1
1425128442927,LocalReqLocalExe,applySubtitles,400,10,1
1425128442927,LocalReqLocalExe,videoProvisioner,30602,10,1
1425128448474,LocalReqLocalExe,scaleVideo,14767,10,1
1425128448998,LocalReqLocalExe,transcodeVideo,523,10,1
1425128449966,LocalReqLocalExe,bitDepthReduction,967,10,1
1425128449967,LocalReqLocalExe,videoProvisioner,17634,10,1
1425128520474,LocalReqLocalExe,checkIfAvailable,1453,10,1
1425128522634,LocalReqLocalExe,downloadVideo,2159,10,1
1425128522635,LocalReqLocalExe,getVideoResource,3614,10,1
1425128549010,LocalReqLocalExe,scaleVideo,26374,10,1
1425128549278,LocalReqLocalExe,transcodeVideo,267,10,1
1425128552514,LocalReqLocalExe,bitDepthReduction,3235,10,1
1425128552515,LocalReqLocalExe,videoProvisioner,33495,10,1
1425128562586,LocalReqLocalExe,checkIfAvailable,221,10,1
1425128562719,LocalReqLocalExe,downloadVideo,132,10,1
1425128562719,LocalReqLocalExe,getVideoResource,355,10,1
1425128581802,LocalReqLocalExe,scaleVideo,19082,10,1
1425128583586,LocalReqLocalExe,transcodeVideo,1783,10,1
1425128584814,LocalReqLocalExe,bitDepthReduction,1227,10,1
1425128584815,LocalReqLocalExe,videoProvisioner,22451,10,1
1425128592534,LocalReqLocalExe,checkIfAvailable,163,10,1
1425128592738,LocalReqLocalExe,downloadVideo,203,10,1
1425128592739,LocalReqLocalExe,getVideoResource,369,10,1
1425128659238,LocalReqLocalExe,scaleVideo,66498,10,1
1425128661066,LocalReqLocalExe,transcodeVideo,1827,10,1
1425128661278,LocalReqLocalExe,bitDepthReduction,211,10,1
1425128661279,LocalReqLocalExe,videoProvisioner,68909,10,1
1425128672818,LocalReqLocalExe,checkIfAvailable,427,10,1
1425128675266,LocalReqLocalExe,downloadVideo,2447,10,1
1425128675267,LocalReqLocalExe,getVideoResource,2877,10,1
1425128753826,LocalReqLocalExe,checkIfAvailable,1414,10,1
1425128756311,LocalReqLocalExe,downloadVideo,2484,10,1
1425128756311,LocalReqLocalExe,getVideoResource,3900,10,1
1425128762084,LocalReqLocalExe,scaleVideo,86817,10,1
1425128763344,LocalReqLocalExe,transcodeVideo,1259,10,1
