timestamp,reqType,service,rt,numberOfReqs 
1421514414396,local,checkIfAvailable,4380,1
1421514415243,local,downloadVideo,841,1
1421514415243,local,getVideoResource,5227,1
1421514436299,local,checkIfAvailable,5027,1
1421514437736,local,downloadVideo,1436,1
1421514437736,local,getVideoResource,6465,1
1421514438927,local,scaleVideo,23683,1
1421514440001,local,checkIfAvailable,2469,1
1421514440641,local,transcodeVideo,1712,1
1421514441881,local,bitDepthReduction,1237,1
1421514441882,local,videoProvisioner,31868,1
1421514443750,local,downloadVideo,3748,1
1421514443752,local,getVideoResource,6223,1
1421514510009,local,scaleVideo,72272,1
1421514510490,local,transcodeVideo,480,1
1421514511471,local,bitDepthReduction,980,1
1421514512557,local,checkIfSubtitlesAvailable,1083,1
1421514512994,local,checkIfSubtitlesExists,436,1
1421514516053,local,getDefaultSubtitle,3058,1
1421514516053,local,getSubtitles,4580,1
1421514516196,local,applySubtitles,142,1
1421514516197,local,videoProvisioner,84925,1
1421514518678,local,scaleVideo,74925,1
1421514519686,local,transcodeVideo,1007,1
1421514522914,local,bitDepthReduction,3227,1
1421514522915,local,videoProvisioner,85387,1
1421514632822,local,checkIfAvailable,103,1
1421514633462,local,downloadVideo,639,1
1421514633463,local,getVideoResource,756,1
1421514706710,local,scaleVideo,73246,1
1421514709638,local,transcodeVideo,2927,1
1421514710826,local,bitDepthReduction,1187,1
1421514710882,local,checkIfSubtitlesAvailable,54,1
1421514713214,local,checkIfSubtitlesExists,2331,1
1421514713482,local,getDefaultSubtitle,267,1
1421514713858,local,translateSubtitleToLanguage,375,1
1421514713859,local,getSubtitles,3032,1
1421514714078,local,applySubtitles,219,1
1421514714079,local,videoProvisioner,81373,1
1421514604438,local,checkIfAvailable,477,1
1421514609892,local,downloadVideo,5449,1
1421514609893,local,getVideoResource,5932,1
1421514616513,local,checkIfAvailable,21,1
1421514616672,local,downloadVideo,157,1
1421514616673,local,getVideoResource,217,1
1421514653668,local,scaleVideo,36994,1
1421514653941,local,transcodeVideo,270,1
1421514654991,local,bitDepthReduction,1048,1
1421514654993,local,videoProvisioner,38538,1
1421514693645,local,scaleVideo,83751,1
1421514693707,local,transcodeVideo,60,1
1421514694040,local,bitDepthReduction,332,1
1421514694229,local,checkIfSubtitlesAvailable,184,1
1421514697649,local,checkIfSubtitlesExists,3419,1
1421514701465,local,getDefaultSubtitle,3814,1
1421514701467,local,getSubtitles,7426,1
1421514702440,local,checkIfAvailable,2148,1
1421514702539,local,applySubtitles,1071,1
1421514702539,local,videoProvisioner,98579,1
1421514702718,local,downloadVideo,277,1
1421514702718,local,getVideoResource,2427,1
1421514704830,remote,scaleVideo,81283,1
1421514727768,local,scaleVideo,25049,1
1421514727808,local,transcodeVideo,39,1
1421514730228,local,bitDepthReduction,2419,1
1421514731296,local,checkIfSubtitlesAvailable,1066,1
1421514731772,local,checkIfSubtitlesExists,475,1
1421514732760,local,getDefaultSubtitle,987,1
1421514732760,local,getSubtitles,2531,1
1421514733020,local,applySubtitles,259,1
1421514733020,local,videoProvisioner,32729,1
1421502944954,local,checkIfAvailable,1015,1
1421502946069,local,downloadVideo,1111,1
1421502946070,local,getVideoResource,2132,1
1421502959416,local,checkIfAvailable,489,1
1421502962436,local,downloadVideo,3019,1
1421502962437,local,getVideoResource,3511,1
1421502970843,local,scaleVideo,24772,1
1421502971082,local,transcodeVideo,238,1
1421502972220,local,bitDepthReduction,1137,1
1421502972221,local,videoProvisioner,28283,1
1421502973024,local,scaleVideo,10586,1
1421502974204,local,checkIfAvailable,271,1
1421502974941,local,downloadVideo,736,1
1421502974941,local,getVideoResource,1010,1
1421502975085,local,transcodeVideo,2060,1
1421502977353,local,bitDepthReduction,2267,1
1421502977354,local,videoProvisioner,18428,1
1421502984896,local,scaleVideo,9953,1
1421502986556,local,transcodeVideo,1659,1
1421502988164,local,bitDepthReduction,1607,1
1421502988166,local,videoProvisioner,14236,1
1421503069320,local,checkIfAvailable,362,1
1421503071428,local,downloadVideo,2107,1
1421503071429,local,getVideoResource,2472,1
1421503074407,local,checkIfAvailable,1447,1
1421503075730,local,downloadVideo,1322,1
1421503075731,local,getVideoResource,2772,1
1421503086281,local,checkIfAvailable,1317,1
