timestamp,selfletID,service,numberOfReqs 
1421760544741, 4, videoProvisioner, 1
1421760554270, 4, videoProvisioner, 1
1421760564265, 2, videoProvisioner, 1
1421760574266, 4, videoProvisioner, 1
1421760584267, 3, videoProvisioner, 1
1421760594268, 4, videoProvisioner, 1
1421760604270, 2, videoProvisioner, 1
1421760614270, 4, videoProvisioner, 1
1421760624272, 4, videoProvisioner, 1
1421760634273, 4, videoProvisioner, 1
1421760644275, 3, videoProvisioner, 1
1421760654275, 4, videoProvisioner, 1
1421760664277, 3, videoProvisioner, 1
1421760674278, 2, videoProvisioner, 1
1421760684279, 2, videoProvisioner, 1
1421760694281, 3, videoProvisioner, 1
1421760704282, 3, videoProvisioner, 1
1421760714283, 4, videoProvisioner, 1
1421760724284, 4, videoProvisioner, 1
1421760734286, 2, videoProvisioner, 1
1421760744287, 2, videoProvisioner, 1
1421760754288, 3, videoProvisioner, 1
1421760764288, 2, videoProvisioner, 1
1421760774290, 4, videoProvisioner, 1
1421760784291, 2, videoProvisioner, 1
1421760794292, 4, videoProvisioner, 1
1421760804294, 4, videoProvisioner, 1
1421760814295, 3, videoProvisioner, 1
1421760824297, 3, videoProvisioner, 1
1421760834298, 2, videoProvisioner, 1
1421760844299, 4, videoProvisioner, 1
1421760854300, 2, videoProvisioner, 1
1421760860967, 4, videoProvisioner, 1
1421760867636, 3, videoProvisioner, 1
1421760874302, 4, videoProvisioner, 1
1421760880970, 4, videoProvisioner, 1
1421760887636, 4, videoProvisioner, 1
1421760894303, 4, videoProvisioner, 1
1421760900971, 4, videoProvisioner, 1
1421760907637, 2, videoProvisioner, 1
1421760914306, 4, videoProvisioner, 1
1421760920971, 4, videoProvisioner, 1
1421760927639, 5, videoProvisioner, 1
1421760934307, 3, videoProvisioner, 1
1421760940974, 6, videoProvisioner, 1
1421760947641, 2, videoProvisioner, 1
1421760954308, 5, videoProvisioner, 1
1421760960976, 3, videoProvisioner, 1
1421760967642, 7, videoProvisioner, 1
1421760974311, 5, videoProvisioner, 1
1421760980977, 5, videoProvisioner, 1
1421760987645, 7, videoProvisioner, 1
1421760994312, 7, videoProvisioner, 1
1421761000979, 6, videoProvisioner, 1
1421761007646, 3, videoProvisioner, 1
1421761014313, 6, videoProvisioner, 1
1421761020981, 2, videoProvisioner, 1
1421761027648, 7, videoProvisioner, 1
1421761034316, 5, videoProvisioner, 1
1421761040982, 3, videoProvisioner, 1
1421761047650, 4, videoProvisioner, 1
1421761054317, 3, videoProvisioner, 1
1421761060984, 5, videoProvisioner, 1
1421761067651, 5, videoProvisioner, 1
1421761074319, 4, videoProvisioner, 1
1421761080986, 7, videoProvisioner, 1
1421761087653, 4, videoProvisioner, 1
1421761094320, 7, videoProvisioner, 1
1421761100988, 6, videoProvisioner, 1
1421761107655, 3, videoProvisioner, 1
1421761114322, 6, videoProvisioner, 1
1421761120990, 5, videoProvisioner, 1
1421761127656, 3, videoProvisioner, 1
1421761134324, 3, videoProvisioner, 1
1421761140991, 4, videoProvisioner, 1
1421761147659, 2, videoProvisioner, 1
1421761152660, 5, videoProvisioner, 1
1421761157660, 2, videoProvisioner, 1
1421761162662, 5, videoProvisioner, 1
1421761167663, 3, videoProvisioner, 1
1421761172665, 6, videoProvisioner, 1
1421761177666, 6, videoProvisioner, 1
1421761182667, 3, videoProvisioner, 1
1421761187668, 6, videoProvisioner, 1
1421761192669, 2, videoProvisioner, 1
1421761197670, 4, videoProvisioner, 1
1421761202672, 2, videoProvisioner, 1
1421761207673, 5, videoProvisioner, 1
1421761212674, 2, videoProvisioner, 1
1421761217675, 2, videoProvisioner, 1
1421761222676, 5, videoProvisioner, 1
1421761227678, 4, videoProvisioner, 1
1421761232679, 7, videoProvisioner, 1
1421761237680, 2, videoProvisioner, 1
1421761242681, 4, videoProvisioner, 1
1421761247682, 8, videoProvisioner, 1
1421761252684, 6, videoProvisioner, 1
1421761257685, 6, videoProvisioner, 1
1421761262686, 3, videoProvisioner, 1
1421761267686, 8, videoProvisioner, 1
1421761272689, 3, videoProvisioner, 1
1421761277689, 8, videoProvisioner, 1
1421761282691, 6, videoProvisioner, 1
1421761287694, 3, videoProvisioner, 1
1421761292693, 2, videoProvisioner, 1
1421761297695, 6, videoProvisioner, 1
1421761302696, 7, videoProvisioner, 1
1421761307697, 5, videoProvisioner, 1
1421761312698, 8, videoProvisioner, 1
1421761317700, 5, videoProvisioner, 1
1421761322701, 5, videoProvisioner, 1
1421761327702, 5, videoProvisioner, 1
1421761332703, 6, videoProvisioner, 1
1421761337705, 9, videoProvisioner, 1
1421761342705, 5, videoProvisioner, 1
1421761347707, 6, videoProvisioner, 1
1421761352708, 7, videoProvisioner, 1
1421761357710, 3, videoProvisioner, 1
1421761362710, 6, videoProvisioner, 1
1421761367712, 6, videoProvisioner, 1
1421761372713, 10, videoProvisioner, 1
1421761377714, 7, videoProvisioner, 1
1421761382715, 7, videoProvisioner, 1
1421761387716, 3, videoProvisioner, 1
1421761392718, 9, videoProvisioner, 1
1421761397719, 9, videoProvisioner, 1
1421761402720, 4, videoProvisioner, 1
1421761407721, 6, videoProvisioner, 1
1421761412723, 6, videoProvisioner, 1
1421761417723, 7, videoProvisioner, 1
1421761422725, 5, videoProvisioner, 1
1421761427727, 4, videoProvisioner, 1
1421761432727, 10, videoProvisioner, 1
1421761437728, 9, videoProvisioner, 1
1421761442730, 3, videoProvisioner, 1
1421761447731, 7, videoProvisioner, 1
1421761451732, 3, videoProvisioner, 1
1421761455733, 3, videoProvisioner, 1
1421761459735, 4, videoProvisioner, 1
1421761463736, 4, videoProvisioner, 1
1421761467737, 2, videoProvisioner, 1
1421761471738, 7, videoProvisioner, 1
1421761475740, 2, videoProvisioner, 1
1421761479741, 6, videoProvisioner, 1
1421761483742, 2, videoProvisioner, 1
1421761487743, 6, videoProvisioner, 1
1421761491744, 4, videoProvisioner, 1
1421761495746, 10, videoProvisioner, 1
1421761499747, 5, videoProvisioner, 1
1421761503748, 8, videoProvisioner, 1
1421761507749, 5, videoProvisioner, 1
1421761511751, 10, videoProvisioner, 1
1421761515752, 3, videoProvisioner, 1
1421761519754, 3, videoProvisioner, 1
1421761523754, 8, videoProvisioner, 1
1421761527756, 3, videoProvisioner, 1
1421761531757, 10, videoProvisioner, 1
1421761535758, 10, videoProvisioner, 1
1421761539760, 6, videoProvisioner, 1
1421761543761, 4, videoProvisioner, 1
1421761547762, 10, videoProvisioner, 1
1421761551763, 7, videoProvisioner, 1
1421761555765, 7, videoProvisioner, 1
1421761559765, 10, videoProvisioner, 1
1421761563767, 10, videoProvisioner, 1
1421761567768, 3, videoProvisioner, 1
1421761571769, 7, videoProvisioner, 1
1421761575770, 9, videoProvisioner, 1
1421761579772, 4, videoProvisioner, 1
1421761583773, 9, videoProvisioner, 1
1421761587774, 4, videoProvisioner, 1
1421761591775, 11, videoProvisioner, 1
1421761595777, 4, videoProvisioner, 1
1421761599778, 6, videoProvisioner, 1
1421761603779, 6, videoProvisioner, 1
1421761607780, 11, videoProvisioner, 1
1421761611781, 4, videoProvisioner, 1
1421761615783, 9, videoProvisioner, 1
1421761619784, 6, videoProvisioner, 1
1421761623786, 6, videoProvisioner, 1
1421761627787, 9, videoProvisioner, 1
1421761631787, 8, videoProvisioner, 1
1421761635789, 3, videoProvisioner, 1
1421761639791, 8, videoProvisioner, 1
1421761643792, 7, videoProvisioner, 1
1421761647792, 4, videoProvisioner, 1
1421761651794, 3, videoProvisioner, 1
1421761655795, 11, videoProvisioner, 1
1421761659797, 10, videoProvisioner, 1
1421761663798, 11, videoProvisioner, 1
1421761667798, 6, videoProvisioner, 1
1421761671800, 9, videoProvisioner, 1
1421761675801, 9, videoProvisioner, 1
1421761679802, 11, videoProvisioner, 1
1421761683804, 6, videoProvisioner, 1
1421761687805, 7, videoProvisioner, 1
1421761691807, 7, videoProvisioner, 1
1421761695808, 8, videoProvisioner, 1
1421761699809, 4, videoProvisioner, 1
1421761703810, 4, videoProvisioner, 1
1421761707811, 8, videoProvisioner, 1
1421761711813, 11, videoProvisioner, 1
1421761715814, 9, videoProvisioner, 1
1421761719815, 3, videoProvisioner, 1
1421761723817, 11, videoProvisioner, 1
1421761727819, 11, videoProvisioner, 1
1421761731819, 3, videoProvisioner, 1
1421761735820, 4, videoProvisioner, 1
1421761739821, 2, videoProvisioner, 1
1421761743823, 7, videoProvisioner, 1
1421761747824, 6, videoProvisioner, 1
1421761751158, 4, videoProvisioner, 1
1421761754493, 5, videoProvisioner, 1
1421761757827, 12, videoProvisioner, 1
1421761761161, 3, videoProvisioner, 1
1421761764496, 4, videoProvisioner, 1
1421761767830, 3, videoProvisioner, 1
1421761771164, 6, videoProvisioner, 1
1421761774498, 10, videoProvisioner, 1
1421761777832, 4, videoProvisioner, 1
1421761781167, 5, videoProvisioner, 1
1421761784501, 5, videoProvisioner, 1
1421761787835, 9, videoProvisioner, 1
1421761791169, 8, videoProvisioner, 1
1421761794504, 9, videoProvisioner, 1
1421761797838, 3, videoProvisioner, 1
1421761801172, 9, videoProvisioner, 1
1421761804506, 5, videoProvisioner, 1
1421761807841, 9, videoProvisioner, 1
1421761811175, 12, videoProvisioner, 1
1421761814509, 6, videoProvisioner, 1
1421761817843, 3, videoProvisioner, 1
1421761821177, 6, videoProvisioner, 1
1421761824512, 5, videoProvisioner, 1
1421761827846, 5, videoProvisioner, 1
1421761831180, 11, videoProvisioner, 1
1421761834514, 4, videoProvisioner, 1
1421761837849, 10, videoProvisioner, 1
1421761841183, 4, videoProvisioner, 1
1421761844517, 8, videoProvisioner, 1
1421761847852, 5, videoProvisioner, 1
1421761851185, 6, videoProvisioner, 1
1421761854519, 5, videoProvisioner, 1
1421761857853, 7, videoProvisioner, 1
1421761861189, 7, videoProvisioner, 1
1421761864523, 5, videoProvisioner, 1
1421761867857, 6, videoProvisioner, 1
1421761871191, 12, videoProvisioner, 1
1421761874525, 11, videoProvisioner, 1
1421761877860, 6, videoProvisioner, 1
1421761881194, 9, videoProvisioner, 1
1421761884527, 3, videoProvisioner, 1
1421761887862, 7, videoProvisioner, 1
1421761891196, 9, videoProvisioner, 1
1421761894530, 3, videoProvisioner, 1
1421761897865, 2, videoProvisioner, 1
1421761901199, 5, videoProvisioner, 1
1421761904533, 10, videoProvisioner, 1
1421761907868, 8, videoProvisioner, 1
1421761911201, 13, videoProvisioner, 1
1421761914535, 4, videoProvisioner, 1
1421761917870, 8, videoProvisioner, 1
1421761921205, 3, videoProvisioner, 1
1421761924538, 6, videoProvisioner, 1
1421761927872, 10, videoProvisioner, 1
1421761931208, 9, videoProvisioner, 1
1421761934541, 10, videoProvisioner, 1
1421761937875, 12, videoProvisioner, 1
1421761941209, 7, videoProvisioner, 1
1421761944544, 13, videoProvisioner, 1
1421761947878, 3, videoProvisioner, 1
1421761951212, 11, videoProvisioner, 1
1421761954547, 13, videoProvisioner, 1
1421761957881, 6, videoProvisioner, 1
1421761961214, 4, videoProvisioner, 1
1421761964550, 13, videoProvisioner, 1
1421761967883, 11, videoProvisioner, 1
1421761971217, 4, videoProvisioner, 1
1421761974552, 12, videoProvisioner, 1
1421761977886, 12, videoProvisioner, 1
1421761981220, 4, videoProvisioner, 1
1421761984554, 4, videoProvisioner, 1
1421761987889, 13, videoProvisioner, 1
1421761991223, 14, videoProvisioner, 1
