timestamp,service,rt,selfletID,numberOfReqs 
1425127295500,videoProvisioner,23389,2, 1
1425127308691,videoProvisioner,26550,3, 1
1425127312753,videoProvisioner,40620,3, 1
1425127321879,videoProvisioner,29742,4, 1
1425127328950,videoProvisioner,26808,3, 1
1425127346099,videoProvisioner,33959,4, 1
1425127354623,videoProvisioner,32481,4, 1
1425127364953,videoProvisioner,32810,2, 1
1425127382754,videoProvisioner,30608,4, 1
1425127426777,videoProvisioner,44626,3, 1
1425127432544,videoProvisioner,30389,4, 1
1425127433947,videoProvisioner,41794,3, 1
1425127441969,videoProvisioner,99824,3, 1
1425127446432,videoProvisioner,34275,2, 1
1425127447585,videoProvisioner,85436,4, 1
1425127483537,videoProvisioner,61379,2, 1
1425127486145,videoProvisioner,53985,2, 1
1425127487348,videoProvisioner,115198,2, 1
1425127502240,videoProvisioner,30073,4, 1
1425127507405,videoProvisioner,55242,3, 1
1425127545317,videoProvisioner,43145,4, 1
1425127576346,videoProvisioner,114181,3, 1
1425127582312,videoProvisioner,100144,3, 1
1425127586524,videoProvisioner,34343,2, 1
1425127592189,videoProvisioner,100019,3, 1
1425127601665,videoProvisioner,69489,2, 1
1425127606229,videoProvisioner,14043,4, 1
1425127607232,videoProvisioner,65054,2, 1
1425127615604,videoProvisioner,103430,2, 1
1425127619414,videoProvisioner,97239,3, 1
1425127633903,videoProvisioner,28382,2, 1
1425127640723,videoProvisioner,28534,4, 1
1425127666395,videoProvisioner,27536,6, 1
1425127679633,videoProvisioner,117452,3, 1
1425127692772,videoProvisioner,250610,3, 1
1425127699339,videoProvisioner,120488,3, 1
1425127699740,videoProvisioner,127557,3, 1
1425127701044,videoProvisioner,82188,2, 1
1425127702799,videoProvisioner,30603,4, 1
1425127714380,videoProvisioner,48851,4, 1
1425127720347,videoProvisioner,94823,2, 1
1425127721250,videoProvisioner,89059,4, 1
1425127722554,videoProvisioner,37022,5, 1
1425127723957,videoProvisioner,125103,3, 1
1425127725261,videoProvisioner,79734,7, 1
1425127728419,videoProvisioner,36220,4, 1
1425127729773,videoProvisioner,30907,5, 1
1425127742409,videoProvisioner,30208,6, 1
1425127746971,videoProvisioner,41437,3, 1
1425127749177,videoProvisioner,16973,7, 1
1425127751434,videoProvisioner,165915,3, 1
1425127758052,videoProvisioner,32515,7, 1
1425127760358,videoProvisioner,108164,3, 1
1425127762364,videoProvisioner,43495,3, 1
1425127766376,videoProvisioner,107515,3, 1
1425127774748,videoProvisioner,95884,3, 1
1425127775450,videoProvisioner,23243,6, 1
1425127776202,videoProvisioner,37330,5, 1
1425127782870,videoProvisioner,37330,2, 1
1425127786681,videoProvisioner,27807,3, 1
1425127787935,videoProvisioner,22393,2, 1
1425127812151,videoProvisioner,19939,6, 1
1425127812302,videoProvisioner,40092,2, 1
1425127812754,videoProvisioner,33876,5, 1
1425127813306,videoProvisioner,27762,7, 1
1425127826542,videoProvisioner,27663,7, 1
1425127826893,videoProvisioner,14679,5, 1
1425127839127,videoProvisioner,33580,2, 1
1425127842235,videoProvisioner,16685,6, 1
1425127854118,videoProvisioner,35236,5, 1
1425127875878,videoProvisioner,30326,2, 1
1425127885755,videoProvisioner,26869,7, 1
1425127905359,videoProvisioner,53140,2, 1
1425127907565,videoProvisioner,35345,2, 1
1425127910673,videoProvisioner,28450,5, 1
1425127914584,videoProvisioner,37362,2, 1
1425127930628,videoProvisioner,28400,6, 1
1425127957151,videoProvisioner,91597,4, 1
1425127968882,videoProvisioner,51651,2, 1
1425127970887,videoProvisioner,132002,4, 1
1425127972594,videoProvisioner,30358,5, 1
1425127975702,videoProvisioner,143485,4, 1
1425127986079,videoProvisioner,88853,3, 1
1425127999065,videoProvisioner,76833,2, 1
1425128001622,videoProvisioner,64388,4, 1
1425128001973,videoProvisioner,24731,7, 1
1425128004730,videoProvisioner,97500,3, 1
1425128004881,videoProvisioner,77648,5, 1
1425128004981,videoProvisioner,72748,2, 1
1425128010346,videoProvisioner,28103,5, 1
1425128012351,videoProvisioner,60114,3, 1
1425128021276,videoProvisioner,64038,6, 1
1425128023783,videoProvisioner,36539,3, 1
1425128024785,videoProvisioner,77549,6, 1
